,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Antoine Griezmann,7.0,fr  FRA,"FW,LM",30-039,90,66,64,2,0,1,17,1,1,2,0,1,0,53,10,3,51,14,1,0,0,58,0,0,3,0
1,Lionel Messi,10.0,ar  ARG,"FW,AM",33-309,90,87,79,8,3,0,20,1,4,2,1,0,0,71,5,11,76,10,0,0,1,71,0,2,3,2
2,Ilaix,27.0,es  ESP,CM,18-100,71,33,33,0,0,0,8,0,1,0,0,0,0,31,1,1,2,30,1,0,0,30,0,0,2,0
3,Pedri,16.0,es  ESP,CM,18-155,19,22,19,3,2,0,5,0,0,1,0,0,0,21,1,0,2,20,0,0,0,20,0,0,0,0
4,Frenkie de Jong,21.0,nl  NED,CM,23-352,90,69,69,0,0,0,20,2,3,0,0,0,0,56,8,5,6,60,0,0,2,63,0,0,1,1
5,Sergio Busquets,5.0,es  ESP,DM,32-287,80,136,129,7,7,3,19,3,0,0,0,0,0,113,8,15,18,116,1,0,0,125,1,0,4,0
6,Francisco Trincão,17.0,pt  POR,RW,21-121,10,4,4,0,0,0,2,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0
7,Jordi Alba,18.0,es  ESP,"WB,LB",32-039,90,113,103,10,2,0,14,2,5,0,0,0,0,80,18,15,93,10,2,8,0,94,0,1,2,6
8,Sergi Roberto,20.0,es  ESP,"WB,RB",29-081,90,111,101,10,1,0,10,1,1,0,0,0,0,90,16,5,15,84,3,9,0,103,0,1,2,0
9,Samuel Umtiti,23.0,fr  FRA,CB,27-166,90,81,79,2,2,0,8,0,0,0,0,0,0,73,6,2,63,13,2,0,1,78,0,0,0,0
10,Gerard Piqué,3.0,es  ESP,CB,34-086,90,74,72,2,2,0,4,1,0,0,0,0,0,68,2,4,4,68,2,0,0,74,0,0,0,0
11,Óscar Mingueza,28.0,es  ESP,CB,21-351,71,71,68,3,2,0,4,1,0,0,0,0,0,67,2,2,14,56,0,1,0,69,0,1,0,0
12,Ousmane Dembélé,11.0,fr  FRA,"LW,RM",23-349,19,15,14,1,0,0,2,2,2,1,0,1,0,12,2,1,1,14,0,0,0,12,0,0,0,1
13,Marc-André ter Stegen,1.0,de  GER,GK,28-364,90,22,13,9,1,0,2,1,0,0,0,0,0,18,0,4,2,19,0,0,1,21,0,0,0,0
14,14 Players,,,,,990,904,847,57,22,4,135,15,17,6,1,2,0,757,79,68,351,514,12,18,5,822,1,5,17,10
