,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Antoine Griezmann,7.0,fr  FRA,"FW,LM",30-039,90,0,0,0,0,0,0,1,0.0,1,13,5,38.5,1,8,4,0,0,0,0,1,1,0,0
1,Lionel Messi,10.0,ar  ARG,"FW,AM",33-309,90,0,0,0,0,0,0,0,,0,2,1,50.0,0,0,2,0,0,0,0,0,0,0,0
2,Ilaix,27.0,es  ESP,CM,18-100,71,1,0,0,1,0,0,2,0.0,2,25,8,32.0,3,12,10,1,0,0,1,1,2,1,0
3,Pedri,16.0,es  ESP,CM,18-155,19,2,2,1,1,0,1,4,25.0,3,5,3,60.0,2,1,2,0,0,0,0,0,2,0,0
4,Frenkie de Jong,21.0,nl  NED,CM,23-352,90,0,0,0,0,0,0,1,0.0,1,5,2,40.0,2,3,0,0,0,0,0,0,0,0,0
5,Sergio Busquets,5.0,es  ESP,DM,32-287,80,4,3,0,3,1,0,1,0.0,1,22,10,45.5,7,11,4,2,0,0,2,1,5,1,1
6,Francisco Trincão,17.0,pt  POR,RW,21-121,10,1,1,1,0,0,0,0,,0,3,0,0.0,1,1,1,0,0,0,0,0,1,0,0
7,Jordi Alba,18.0,es  ESP,"WB,LB",32-039,90,0,0,0,0,0,0,0,,0,5,3,60.0,2,2,1,1,0,0,1,0,0,0,0
8,Sergi Roberto,20.0,es  ESP,"WB,RB",29-081,90,0,0,0,0,0,0,2,0.0,2,8,2,25.0,2,3,3,0,0,0,0,3,3,0,0
9,Samuel Umtiti,23.0,fr  FRA,CB,27-166,90,0,0,0,0,0,0,0,,0,8,2,25.0,1,6,1,2,1,0,1,0,0,7,0
10,Gerard Piqué,3.0,es  ESP,CB,34-086,90,0,0,0,0,0,0,0,,0,3,0,0.0,2,1,0,0,0,0,0,1,1,6,0
11,Óscar Mingueza,28.0,es  ESP,CB,21-351,71,1,1,0,1,0,0,0,,0,6,3,50.0,1,3,2,1,0,0,1,2,3,1,1
12,Ousmane Dembélé,11.0,fr  FRA,"LW,RM",23-349,19,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0
13,Marc-André ter Stegen,1.0,de  GER,GK,28-364,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,9,7,2,6,1,1,11,9.1,10,106,40,37.7,24,51,31,7,1,0,6,9,18,16,2
