,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Roberto Soldado,9.0,es  ESP,FW,35-337,60,1,0,0,2,1,0,0,1,1,0,0,0,1,1,1,50.0
1,Jorge Molina,23.0,es  ESP,FW,39-007,30,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,50.0
2,Darwin Machís,11.0,ve  VEN,LW,28-081,75,0,0,0,0,1,1,0,1,2,0,0,0,6,1,2,33.3
3,Adrián Marín,18.0,es  ESP,LW,24-110,15,1,0,0,2,0,0,1,1,0,0,0,0,1,0,0,
4,Luis Javier Suárez,7.0,co  COL,RW,23-148,85,0,0,0,3,3,0,1,0,0,0,0,0,2,1,2,33.3
5,Fede Vico,14.0,es  ESP,RW,26-299,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
6,Yan Brice Eteki,8.0,cm  CMR,CM,23-246,60,0,0,0,3,0,0,0,2,1,0,0,0,4,0,0,
7,Maxime Gonalons,4.0,fr  FRA,CM,32-050,30,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,
8,Yangel Herrera,21.0,ve  VEN,CM,23-112,90,0,0,0,6,1,0,0,1,3,0,0,0,5,2,3,40.0
9,Quini,17.0,es  ESP,WB,31-217,90,0,0,0,1,1,0,0,2,0,0,0,0,8,0,0,
10,Dimitri Foulquier,2.0,fr  FRA,WB,28-037,90,0,0,0,0,2,0,1,2,0,0,0,0,5,0,2,0.0
11,Nehuén Pérez,3.0,ar  ARG,CB,20-309,90,1,0,0,2,0,0,0,2,0,0,0,0,4,0,0,
12,Germán Sánchez,6.0,es  ESP,CB,34-180,90,1,0,0,1,1,0,0,2,1,0,0,0,5,1,2,33.3
13,Víctor Díaz,16.0,es  ESP,CB,32-321,90,0,0,0,0,0,0,0,2,2,0,0,0,8,1,0,100.0
14,Aarón Escandell,13.0,es  ESP,GK,25-214,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
15,15 Players,,,,,990,4,0,0,22,10,1,3,18,11,0,0,0,55,8,13,38.1
