,Possession_Barcelona,Possession_Granada
0,81%,19%
1,Passing Accuracy,Passing Accuracy
2,822 of 904 —  91%,66%  — 138 of 209
3,Shots on Target,Shots on Target
4,4 of 16 —  25%,40%  — 2 of 5
5,Saves,Saves
6,0 of 2 —  0%,75%  — 3 of 4
7,Cards,Cards
8,,
