,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Antoine Griezmann,7.0,fr  FRA,"FW,LM",30-039,90,0,0,0,1,1,0,1,1,0,0,0,0,9,0,0,
1,Lionel Messi,10.0,ar  ARG,"FW,AM",33-309,90,0,0,0,0,5,0,4,0,0,0,0,0,3,0,0,
2,Ilaix,27.0,es  ESP,CM,18-100,71,0,0,0,2,4,0,1,1,0,0,0,0,3,1,1,50.0
3,Pedri,16.0,es  ESP,CM,18-155,19,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,
4,Frenkie de Jong,21.0,nl  NED,CM,23-352,90,0,0,0,0,2,0,3,0,0,0,0,0,6,1,2,33.3
5,Sergio Busquets,5.0,es  ESP,DM,32-287,80,0,0,0,0,6,0,0,1,3,0,0,0,9,2,1,66.7
6,Francisco Trincão,17.0,pt  POR,RW,21-121,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
7,Jordi Alba,18.0,es  ESP,"WB,LB",32-039,90,0,0,0,0,0,0,5,0,0,0,0,0,13,0,0,
8,Sergi Roberto,20.0,es  ESP,"WB,RB",29-081,90,0,0,0,1,0,1,1,3,0,0,0,0,5,1,0,100.0
9,Samuel Umtiti,23.0,fr  FRA,CB,27-166,90,0,0,0,3,2,0,0,0,0,0,0,0,14,4,2,66.7
10,Gerard Piqué,3.0,es  ESP,CB,34-086,90,0,0,0,2,0,0,0,1,0,0,0,0,8,3,1,75.0
11,Óscar Mingueza,28.0,es  ESP,CB,21-351,71,0,0,0,1,0,0,0,2,1,0,0,0,1,1,1,50.0
12,Ousmane Dembélé,11.0,fr  FRA,"LW,RM",23-349,19,0,0,0,1,0,1,2,0,0,0,0,0,2,0,0,
13,Marc-André ter Stegen,1.0,de  GER,GK,28-364,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,0,0,0,11,21,2,17,9,7,0,0,0,76,13,8,61.9
