,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,9,Jordi Alba,Barcelona,Blocked,21.0,Right Foot,,,,,
1,25,Yangel Herrera,Granada,Off Target,16.0,Left Foot,,,,,
2,39,Yan Brice Eteki,Granada,Off Target,26.0,Right Foot,,Roberto Soldado,Pass (Live),Yangel Herrera,Pass (Live)
3,,,,,,,,,,,
4,53,Sergi Roberto,Barcelona,Off Target,14.0,Right Foot,Volley,Frenkie de Jong,Pass (Live),Lionel Messi,Pass (Live)
5,63,Darwin Machís,Granada,Goal,9.0,Left Foot,,,,,
6,74,Ousmane Dembélé,Barcelona,Blocked,15.0,Left Foot,,Frenkie de Jong,Pass (Live),,
7,79,Jorge Molina,Granada,Goal,9.0,Head,,Adrián Marín,Pass (Live),Luis Javier Suárez,Pass (Live)
8,80,Luis Javier Suárez,Granada,Blocked,24.0,Right Foot,,Yangel Herrera,Pass (Live),Adrián Marín,Pass (Live)
9,83,Francisco Trincão,Barcelona,Blocked,25.0,Left Foot,,Frenkie de Jong,Pass (Live),,
