,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2021-08-11,20:00,Super Cup,UEFA Super Cup,Wed,Away,D,1  (5),1  (6),eng  Chelsea,,,39,,Raúl Albiol,4-3-3,Sergey Karasev,Match Report,
1,2021-08-16,20:00,La Liga,Matchweek 1,Mon,Home,D,0,0,Granada,1.3,0.4,61,7837.0,Raúl Albiol,4-4-2,Pablo González,Match Report,
2,2021-08-21,19:30,La Liga,Matchweek 2,Sat,Away,D,0,0,Espanyol,0.7,1.3,59,11095.0,Raúl Albiol,4-4-2,Jorge Figueroa,Match Report,
3,2021-08-29,22:00,La Liga,Matchweek 3,Sun,Away,D,2,2,Atlético Madrid,0.5,2.2,51,26840.0,Raúl Albiol,4-4-2,César Soto,Match Report,
4,2021-09-14,21:00,Champions Lg,Group stage,Tue,Home,D,2,2,it  Atalanta,2.3,1.3,48,12916.0,Raúl Albiol,4-4-2,Clément Turpin,Match Report,
5,2021-09-19,14:00,La Liga,Matchweek 5,Sun,Away,D,0,0,Mallorca,1.5,0.7,65,9168.0,Raúl Albiol,4-3-3,Carlos del Cerro,Match Report,
6,2021-09-22,22:00,La Liga,Matchweek 6,Wed,Home,W,4,1,Elche,3.0,1.2,60,8234.0,Mario Gaspar,4-3-3,Alejandro Muñíz,Match Report,
7,2021-09-25,21:00,La Liga,Matchweek 7,Sat,Away,D,0,0,Real Madrid,0.7,1.4,52,23985.0,Raúl Albiol,4-3-3,Jesús Gil,Match Report,
8,2021-09-29,20:00,Champions Lg,Group stage,Wed,Away,L,1,2,eng  Manchester Utd,2.3,1.1,44,73130.0,Raúl Albiol,4-3-3,Felix Zwayer,Match Report,
9,2021-10-03,18:30,La Liga,Matchweek 8,Sun,Home,W,2,0,Betis,2.8,0.7,58,16719.0,Manu Trigueros,4-1-4-1,José Sánchez,Match Report,
10,2021-10-17,18:30,La Liga,Matchweek 9,Sun,Home,L,1,2,Osasuna,0.7,0.8,72,14831.0,Manu Trigueros,4-3-3,Adrián Cordero,Match Report,
11,2021-10-20,21:00,Champions Lg,Group stage,Wed,Away,W,4,1,ch  Young Boys,2.7,2.7,50,27398.0,Raúl Albiol,3-5-2,Sergey Karasev,Match Report,
12,2021-10-23,21:00,La Liga,Matchweek 10,Sat,Away,L,1,2,Athletic Club,0.7,2.6,48,38698.0,Raúl Albiol,4-4-2,Guillermo Cuadra,Match Report,
13,2021-10-26,21:30,La Liga,Matchweek 11,Tue,Home,D,3,3,Cádiz,1.6,1.1,76,12190.0,Mario Gaspar,4-3-3,Alejandro Hernández,Match Report,
14,2021-10-30,18:30,La Liga,Matchweek 12,Sat,Away,L,0,2,Valencia,1.1,1.2,74,31487.0,Raúl Albiol,4-4-1-1,José Luis Munuera,Match Report,
15,2021-11-02,21:00,Champions Lg,Group stage,Tue,Home,W,2,0,ch  Young Boys,2.2,1.1,50,14890.0,Mario Gaspar,4-4-2,Serdar Gözübüyük,Match Report,
16,2021-11-07,14:00,La Liga,Matchweek 13,Sun,Home,W,1,0,Getafe,1.2,0.3,66,13504.0,Raúl Albiol,4-2-2-2,Jesús Gil,Match Report,
17,2021-11-20,14:00,La Liga,Matchweek 14,Sat,Away,D,1,1,Celta Vigo,2.8,1.0,43,10086.0,Vicente Iborra,4-4-1-1,Alberola Rojas,Match Report,
18,2021-11-23,18:45,Champions Lg,Group stage,Tue,Home,L,0,2,eng  Manchester Utd,0.6,1.2,51,20875.0,Raúl Albiol,4-4-2,Felix Brych,Match Report,
19,2021-11-27,21:00,La Liga,Matchweek 15,Sat,Home,L,1,3,Barcelona,1.3,3.4,50,19050.0,Raúl Albiol,4-4-2,César Soto,Match Report,
20,2021-11-30,19:00,Copa del Rey,First round,Tue,Away,W,8,0,Victoria CF,,,71,6000.0,Mario Gaspar,4-3-3,Pablo González,Match Report,
21,2021-12-04,14:00,La Liga,Matchweek 16,Sat,Away,L,0,1,Sevilla,1.9,0.6,55,30865.0,Raúl Albiol,4-4-2,Carlos del Cerro,Match Report,
22,2021-12-09,19:00,Champions Lg,Group stage,Thu,Away,W,3,2,it  Atalanta,2.2,2.0,36,11690.0,Raúl Albiol,4-4-2,Anthony Taylor,Match Report,
23,2021-12-12,14:00,La Liga,Matchweek 17,Sun,Home,W,2,0,Rayo Vallecano,2.6,2.2,52,13133.0,Mario Gaspar,4-4-2,Mario Melero,Match Report,
24,2021-12-15,21:00,Copa del Rey,Second round,Wed,Away,W,7,1,Atlético Sanluqueño CF,,,65,4800.0,Vicente Iborra,4-2-3-1,Jesús Gil,Match Report,
25,2021-12-18,16:15,La Liga,Matchweek 18,Sat,Away,W,3,1,Real Sociedad,3.0,1.3,60,29679.0,Raúl Albiol,4-4-2,Jorge Figueroa,Match Report,
26,2021-12-21,19:00,La Liga,Matchweek 4,Tue,Home,W,5,2,Alavés,4.3,1.1,62,12530.0,Raúl Albiol,4-4-2,Valentín Pizarro,Match Report,
27,2022-01-03,19:00,La Liga,Matchweek 19,Mon,Home,W,5,0,Levante,3.3,0.5,57,13462.0,Vicente Iborra,4-4-2,Alejandro Hernández,Match Report,
28,2022-01-06,18:00,Copa del Rey,Round of 32,Thu,Away,L,1,2,Sporting Gijón,,,61,12400.0,Mario Gaspar,4-2-3-1,Alejandro Muñíz,Match Report,
