Total Shoot,Total Shoot90,On Target,On Target90,On Target %,average Distance
0,0.00,0,0.00,,
,,,,,
,,,,,
13,0.67,4,0.21,30.8,17.5
46,2.46,18,0.96,39.1,15.4
