minute,goal,goal90,assist,assist90,G+A90,xG,xG90,xA,xA90,nPxG,nPxG90,nPxGxA90
0.1,0,0.00,0,0.00,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.00
14.5,5,0.35,7,0.48,0.83,,,,,,,
0.7,0,0.00,0,0.00,0.00,,,,,,,
19.5,1,0.05,5,0.26,0.31,1.3,0.07,3.5,0.18,1.3,0.07,0.25
18.7,5,0.27,2,0.11,0.37,5.5,0.29,3.3,0.17,5.5,0.29,0.47
