Shoot Create Action,Shoot Create Action90,SCA(Pass),SCA(Dribble),SCA(Shoot),SCA(Fouled),SCA(Defense),Goal Create Action,Goal Create Action90,GCA(Pass),GCA(Dribble),GCA(Shoot),GCA(Fouled),GCA(Defense)
0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
45,2.31,32,7,2,2,0,7,0.36,6,1,0,0,0
66,3.53,39,6,5,7,0,7,0.37,5,1,0,1,0
