touches,touch-In-Def-Penalty,touch-In-Def3rd,touch-In-Mid3rd,touch-In-Att3rd,touch-In-Att-Penalty,Pass Target Num,Pass Received Num,Pass Received %,Dribble Comp,Dribble Attempt,Dribble Comp %,Nutmeg,Dribble Progress Dist,Progress Dribble  Num,Dribble-Into-Final3rd,Dribble-Into-Penalty,Control Miss,Lost
0,0,0,0,0,0,2,0,0.0,0,0,,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1069,40,271,470,405,61,835,696,83.4,31,48,64.6,2,2454,121,37,19,32,37
1024,39,159,403,539,96,904,714,79.0,28,54,51.9,2,2333,132,35,20,31,40
