,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Sabit Abdulai,gh  GHA,MF,Getafe,21,1999,0.7,1,0,0,1,0,0,1,0.0,1,16,4,25.0,5,8,3,0,0,0,0,1,2,1,0
1,Marcos Acuña,ar  ARG,DF,Sevilla,28,1991,25.9,72,47,39,23,10,23,39,59.0,16,345,117,33.9,153,132,60,39,3,0,36,25,97,34,0
2,Bobby Adekanye,nl  NED,"FW,MF",Cádiz,21,1999,0.4,0,0,0,0,0,0,1,0.0,1,5,1,20.0,1,0,4,1,0,0,1,0,0,0,0
3,Martin Agirregabiria,es  ESP,"DF,MF",Alavés,24,1996,17.3,34,16,18,10,6,13,28,46.4,15,186,58,31.2,73,90,23,25,4,1,21,34,68,48,1
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,24,1995,14.3,28,17,22,5,1,11,21,52.4,10,171,55,32.2,109,61,1,20,4,0,16,16,44,111,2
5,Carlos Akapo,gq  EQG,DF,Cádiz,27,1993,9.6,28,13,22,6,0,15,25,60.0,10,110,31,28.2,69,36,5,30,4,0,26,13,41,40,2
6,Paul Akouokou,ci  CIV,MF,Betis,22,1997,4.2,12,8,3,9,0,2,5,40.0,3,75,20,26.7,18,52,5,6,1,0,5,6,18,8,0
7,Jony Álamo,es  ESP,MF,Elche,18,2001,0.8,1,1,0,1,0,0,2,0.0,2,9,4,44.4,3,5,1,1,0,0,1,0,1,1,0
8,Jordi Alba,es  ESP,DF,Barcelona,31,1989,33.6,49,24,25,16,8,26,64,40.6,38,346,97,28.0,124,156,66,64,4,0,60,43,92,46,0
9,Raúl Albiol,es  ESP,DF,Villarreal,34,1985,34.6,29,21,22,7,0,12,24,50.0,12,200,79,39.5,107,85,8,47,24,1,23,23,52,170,1
10,Paco Alcácer,es  ESP,FW,Villarreal,26,1993,17.2,5,4,1,2,2,1,9,11.1,8,167,46,27.5,8,76,83,11,0,0,11,7,12,5,0
11,Pedro Alcalá,es  ESP,DF,Cádiz,31,1989,10.1,8,7,6,2,0,5,9,55.6,4,66,16,24.2,45,19,2,27,12,1,15,22,30,63,0
12,Rubén Alcaraz,es  ESP,MF,Valladolid,29,1991,24.1,55,37,33,21,1,21,80,26.3,59,554,150,27.1,243,266,45,47,9,0,38,29,84,38,1
13,Iván Alejo,es  ESP,"MF,FW",Cádiz,25,1995,9.2,20,15,10,8,2,3,21,14.3,18,232,47,20.3,78,85,69,23,2,0,21,2,22,9,0
