,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
407,Tomás Pina Isla,es  ESP,MF,Alavés,32,1987,33,31,2575,28.6,1,1,1,0,0,12,0,0.03,0.03,0.07,0.03,0.07,0.5,0.5,0.6,1.1,0.02,0.02,0.04,0.02,0.04
408,Yeremi Pino,es  ESP,"FW,MF",Villarreal,17,2002,24,6,797,8.9,3,1,3,0,0,4,0,0.34,0.11,0.45,0.34,0.45,1.5,1.5,0.9,2.4,0.17,0.10,0.27,0.17,0.27
409,Gerard Piqué,es  ESP,DF,Barcelona,33,1987,18,18,1481,16.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,1.1,0.04,0.03,0.07,0.04,0.07
410,Miralem Pjanić,ba  BIH,MF,Barcelona,30,1990,19,6,627,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,1.0,2.2,0.17,0.14,0.31,0.17,0.31
411,Óscar Plano,es  ESP,"MF,FW",Valladolid,29,1991,36,30,2517,28.0,5,5,5,0,0,1,1,0.18,0.18,0.36,0.18,0.36,4.3,4.3,1.6,5.9,0.15,0.06,0.21,0.15,0.21
412,Dani Plomer,es  ESP,FW,Granada,21,1998,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
413,Jorge Pombo,es  ESP,"FW,MF",Cádiz,26,1994,12,5,523,5.8,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,1.3,1.3,0.4,1.7,0.23,0.07,0.29,0.23,0.29
414,Pere Pons,es  ESP,MF,Alavés,27,1993,22,12,1186,13.2,2,0,2,0,0,1,0,0.15,0.00,0.15,0.15,0.15,0.8,0.8,1.5,2.4,0.06,0.12,0.18,0.06,0.18
415,Francisco Portillo,es  ESP,"MF,FW",Getafe,30,1990,16,3,418,4.6,0,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,0.0,0.0,0.5,0.5,0.00,0.10,0.10,0.00,0.10
416,Portu,es  ESP,"FW,MF",Real Sociedad,28,1992,37,24,2184,24.3,8,3,8,0,0,3,0,0.33,0.12,0.45,0.33,0.45,5.5,5.5,5.1,10.6,0.23,0.21,0.44,0.23,0.44
417,Sergio Postigo,es  ESP,DF,Levante,31,1988,22,19,1623,18.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00
418,Darío Poveda,es  ESP,FW,Getafe,23,1997,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
419,Alejandro Pozo Pozo,es  ESP,"DF,MF",Eibar,21,1999,30,24,2190,24.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,1.1,0.01,0.03,0.04,0.01,0.04
420,Antonio Puertas,es  ESP,"FW,MF",Granada,28,1992,35,22,2170,24.1,3,5,3,0,0,6,0,0.12,0.21,0.33,0.12,0.33,4.1,4.1,1.9,6.0,0.17,0.08,0.25,0.17,0.25
421,Riqui Puig,es  ESP,MF,Barcelona,20,1999,14,2,292,3.2,1,0,1,0,0,1,0,0.31,0.00,0.31,0.31,0.31,0.3,0.3,0.2,0.5,0.08,0.07,0.16,0.08,0.16
422,Jorge Pulido,es  ESP,DF,Huesca,29,1991,33,32,2885,32.1,1,0,1,0,0,6,1,0.03,0.00,0.03,0.03,0.03,2.6,2.6,0.5,3.2,0.08,0.02,0.10,0.08,0.10
423,Domingos Quina,pt  POR,MF,Granada,20,1999,8,5,341,3.8,2,0,2,0,0,1,0,0.53,0.00,0.53,0.53,0.53,0.3,0.3,0.1,0.5,0.08,0.04,0.12,0.08,0.12
424,Quini,es  ESP,DF,Granada,30,1989,19,12,1191,13.2,1,0,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,0.3,0.3,0.3,0.6,0.02,0.02,0.04,0.02,0.04
425,Quique,es  ESP,"FW,MF",Eibar,30,1990,12,0,167,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.16,0.00,0.16,0.16,0.16
426,Dani Raba,es  ESP,MF,Villarreal,24,1995,5,1,150,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.4,0.21,0.04,0.25,0.21,0.25
427,Uroš Račić,rs  SRB,MF,Valencia,22,1998,31,25,2187,24.3,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,1.6,1.6,0.4,1.9,0.06,0.02,0.08,0.06,0.08
428,Nemanja Radoja,rs  SRB,MF,Levante,27,1993,21,13,1121,12.5,0,2,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,0.3,0.3,0.3,0.6,0.02,0.02,0.05,0.02,0.05
429,Ivan Rakitić,hr  CRO,MF,Sevilla,32,1988,37,25,2233,24.8,4,2,2,2,2,5,0,0.16,0.08,0.24,0.08,0.16,5.2,3.7,1.3,5.0,0.21,0.05,0.26,0.15,0.20
430,Jonás Ramalho,es  ESP,DF,Osasuna,27,1993,5,3,304,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.04,0.01,0.05,0.04,0.05
