,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Sabit Abdulai,gh  GHA,MF,Getafe,21,1999,0.7,7,12,58.3,133,9,2,2,100.0,4,5,80.0,1,3,33.3,0,0.0,0.0,0,0,1,0,1
1,Marcos Acuña,ar  ARG,DF,Sevilla,28,1991,25.9,1426,1771,80.5,28082,11413,558,612,91.2,656,750,87.5,196,359,54.6,2,2.8,-0.8,33,110,36,18,122
2,Bobby Adekanye,nl  NED,"FW,MF",Cádiz,21,1999,0.4,7,10,70.0,99,1,3,3,100.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0
3,Martin Agirregabiria,es  ESP,"DF,MF",Alavés,24,1996,17.3,520,727,71.5,9660,4691,229,272,84.2,225,300,75.0,57,121,47.1,1,0.9,+0.1,12,40,16,8,45
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,24,1995,14.3,518,627,82.6,11583,3515,118,130,90.8,300,335,89.6,97,146,66.4,0,0.6,-0.6,2,36,2,0,39
5,Carlos Akapo,gq  EQG,DF,Cádiz,27,1993,9.6,233,349,66.8,4349,1848,98,115,85.2,101,148,68.2,29,74,39.2,0,0.3,-0.3,2,10,5,3,13
6,Paul Akouokou,ci  CIV,MF,Betis,22,1997,4.2,168,183,91.8,3248,590,59,64,92.2,83,86,96.5,22,28,78.6,0,0.4,-0.4,2,14,1,1,6
7,Jony Álamo,es  ESP,MF,Elche,18,2001,0.8,14,16,87.5,289,41,3,3,100.0,8,9,88.9,2,2,100.0,0,0.0,0.0,0,1,0,0,0
8,Jordi Alba,es  ESP,DF,Barcelona,31,1989,33.6,2507,2933,85.5,39792,12492,1391,1508,92.2,908,1050,86.5,170,267,63.7,5,7.4,-2.4,51,125,82,19,210
9,Raúl Albiol,es  ESP,DF,Villarreal,34,1985,34.6,1795,2007,89.4,42528,12143,384,416,92.3,953,1015,93.9,450,554,81.2,0,1.0,-1.0,4,98,5,0,111
