,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Sabit Abdulai,gh  GHA,MF,Getafe,21,1999,3,60,20,1.8,0.7,0,,,3,20,16,0.67,1,2,-1,-1.50,-1.13,0.9,1.5,-0.7,-1.03,-0.85
1,Eris Abedini,xk  KVX,MF,Granada,21,1998,0,,,,,0,,,0,,1,,,,,,,,,,,
2,Abdelkabir Abqar,ma  MAR,DF,Alavés,21,1999,0,,,,,0,,,0,,2,,,,,,,,,,,
3,Marcos Acuña,ar  ARG,DF,Sevilla,28,1991,30,2330,78,68.1,25.9,26,83,,4,46,1,1.97,37,28,+9,+0.35,-0.56,39.0,24.2,+14.8,+0.57,+0.48
4,Bobby Adekanye,nl  NED,"FW,MF",Cádiz,21,1999,3,36,12,1.1,0.4,0,,,3,12,6,2.33,0,0,0,0.00,+0.59,0.6,1.2,-0.6,-1.49,-0.95
5,Martin Agirregabiria,es  ESP,"DF,MF",Alavés,24,1996,26,1558,60,45.6,17.3,16,83,,10,24,12,1.12,19,31,-12,-0.69,-0.26,17.0,25.0,-8.0,-0.46,-0.43
6,Joseph Aidoo,gh  GHA,DF,Celta Vigo,24,1995,25,1289,52,37.7,14.3,14,80,,11,15,10,1.76,26,22,+4,+0.28,+0.53,20.6,19.9,+0.7,+0.05,+0.15
7,Carlos Akapo,gq  EQG,DF,Cádiz,27,1993,13,865,67,25.3,9.6,10,74,,3,41,14,1.46,10,8,+2,+0.21,+1.05,8.6,10.1,-1.5,-0.15,+0.54
8,Paul Akouokou,ci  CIV,MF,Betis,22,1997,10,378,38,11.1,4.2,4,75,,6,13,21,1.50,6,3,+3,+0.71,+0.80,6.2,4.4,+1.9,+0.44,+0.48
9,Jony Álamo,es  ESP,MF,Elche,18,2001,1,73,73,2.1,0.8,1,73,,0,,15,1.00,2,1,+1,+1.23,+1.82,0.7,0.7,+0.1,+0.07,+0.82
10,David Alba,es  ESP,MF,Getafe,21,1999,0,,,,,0,,,0,,3,,,,,,,,,,,
11,Jordi Alba,es  ESP,DF,Barcelona,31,1989,35,3025,86,88.5,33.6,34,88,,1,45,1,2.14,79,34,+45,+1.34,+0.88,69.7,34.7,+35.0,+1.04,+0.05
12,Raúl Albiol,es  ESP,DF,Villarreal,34,1985,35,3115,89,91.1,34.6,35,89,,0,,2,1.40,51,42,+9,+0.26,-1.81,51.4,38.8,+12.6,+0.36,-0.17
13,Paco Alcácer,es  ESP,FW,Villarreal,26,1993,27,1544,57,45.1,17.2,19,71,,8,24,2,1.44,25,22,+3,+0.17,-0.45,24.7,19.1,+5.6,+0.33,-0.10
14,Pedro Alcalá,es  ESP,DF,Cádiz,31,1989,13,909,70,26.6,10.1,8,87,,5,42,20,0.77,12,25,-13,-1.29,-0.96,9.9,17.0,-7.1,-0.70,-0.20
15,Rubén Alcaraz,es  ESP,MF,Valladolid,29,1991,30,2165,72,63.3,24.1,25,82,,5,22,1,0.90,24,39,-15,-0.62,-0.05,25.6,31.4,-5.9,-0.24,+0.39
16,Iván Alejo,es  ESP,"MF,FW",Cádiz,25,1995,22,827,38,24.2,9.2,6,69,,16,26,12,1.36,10,12,-2,-0.22,+0.48,10.3,14.0,-3.7,-0.41,+0.19
17,Alfon,es  ESP,MF,Celta Vigo,21,1999,2,34,17,1.0,0.4,0,,,2,17,3,0.50,0,0,0,0.00,+0.05,0.2,0.3,0.0,-0.07,-0.02
18,Gael Alonso Moreno,es  ESP,DF,Celta Vigo,18,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
19,Altube,es  ESP,GK,Real Madrid,20,2000,0,,,,,0,,,0,,35,,,,,,,,,,,
20,Fran Álvarez,es  ESP,MF,Valladolid,22,1998,0,,,,,0,,,0,,1,,,,,,,,,,,
21,Iker Álvarez,ad  AND,GK,Villarreal,19,2001,0,,,,,0,,,0,,3,,,,,,,,,,,
22,Sergio Álvarez,es  ESP,"MF,DF",Eibar,28,1992,27,1568,58,45.8,17.4,17,84,,10,15,11,0.89,10,27,-17,-0.98,-0.68,12.8,25.2,-12.5,-0.72,-1.07
23,Yeray Álvarez,es  ESP,DF,Athletic Club,25,1995,23,1948,85,57.0,21.6,22,87,,1,45,3,1.22,29,26,+3,+0.14,+0.08,26.1,23.3,+2.8,+0.13,-0.21
24,Emmanuel Amankwaa Akurugu,gh  GHA,DF,Getafe,18,2001,1,45,45,1.3,0.5,0,,,1,45,9,0.00,1,2,-1,-2.00,-1.63,0.9,1.2,-0.3,-0.59,-0.40
25,Jon Ander Garrido,es  ESP,MF,Cádiz,30,1989,23,800,35,23.4,8.9,7,73,,16,18,13,1.17,6,18,-12,-1.35,-1.01,7.8,16.9,-9.1,-1.02,-0.62
