,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Sabit Abdulai,gh  GHA,MF,Getafe,21,1999,0.7,1,0,0,2,1,0,1,1,0,0,0,0,5,1,1,50.0
1,Marcos Acuña,ar  ARG,DF,Sevilla,28,1991,25.9,5,0,0,45,33,2,81,25,47,0,2,0,215,19,31,38.0
2,Bobby Adekanye,nl  NED,"FW,MF",Cádiz,21,1999,0.4,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,
3,Martin Agirregabiria,es  ESP,"DF,MF",Alavés,24,1996,17.3,1,0,0,24,24,1,22,34,16,0,0,0,126,25,24,51.0
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,24,1995,14.3,3,0,0,13,14,1,1,16,17,0,0,0,153,49,42,53.8
5,Carlos Akapo,gq  EQG,DF,Cádiz,27,1993,9.6,3,1,1,10,3,0,16,13,13,0,0,0,80,17,6,73.9
6,Paul Akouokou,ci  CIV,MF,Betis,22,1997,4.2,5,1,1,11,2,0,2,6,8,0,0,0,37,8,8,50.0
7,Jony Álamo,es  ESP,MF,Elche,18,2001,0.8,0,0,0,0,2,0,0,0,1,0,0,0,7,0,1,0.0
8,Jordi Alba,es  ESP,DF,Barcelona,31,1989,33.6,9,0,0,21,15,10,113,43,24,0,0,1,295,7,14,33.3
9,Raúl Albiol,es  ESP,DF,Villarreal,34,1985,34.6,7,0,0,13,17,1,3,23,21,0,1,0,306,65,47,58.0
10,Paco Alcácer,es  ESP,FW,Villarreal,26,1993,17.2,0,0,0,7,8,18,6,7,4,0,0,0,43,9,47,16.1
11,Pedro Alcalá,es  ESP,DF,Cádiz,31,1989,10.1,2,0,0,12,5,1,0,22,7,0,0,1,55,19,17,52.8
12,Rubén Alcaraz,es  ESP,MF,Valladolid,29,1991,24.1,10,0,0,47,44,0,6,29,37,0,0,0,287,55,55,50.0
13,Iván Alejo,es  ESP,"MF,FW",Cádiz,25,1995,9.2,5,0,0,29,22,5,46,2,15,0,0,0,59,16,9,64.0
14,Alfon,es  ESP,MF,Celta Vigo,21,1999,0.4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,
15,Sergio Álvarez,es  ESP,"MF,DF",Eibar,28,1992,17.4,3,0,0,38,17,0,6,13,23,0,0,0,222,42,46,47.7
