,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,Sabit Abdulai,gh  GHA,MF,Getafe,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1,Marcos Acuña,ar  ARG,DF,Sevilla,28,1991,25.9,58,2.24,39,11,5,2,0,1,4,0.15,2,1,0,1,0,0
2,Bobby Adekanye,nl  NED,"FW,MF",Cádiz,21,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
3,Martin Agirregabiria,es  ESP,"DF,MF",Alavés,24,1996,17.3,23,1.33,14,7,0,0,1,1,3,0.17,2,1,0,0,0,0
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,24,1995,14.3,10,0.70,7,0,1,2,0,0,2,0.14,2,0,0,0,0,0
5,Carlos Akapo,gq  EQG,DF,Cádiz,27,1993,9.6,5,0.52,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
6,Paul Akouokou,ci  CIV,MF,Betis,22,1997,4.2,5,1.19,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0
7,Jony Álamo,es  ESP,MF,Elche,18,2001,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0
8,Jordi Alba,es  ESP,DF,Barcelona,31,1989,33.6,86,2.56,83,1,1,0,0,1,9,0.27,9,0,0,0,0,0
9,Raúl Albiol,es  ESP,DF,Villarreal,34,1985,34.6,14,0.40,14,0,0,0,0,0,2,0.06,2,0,0,0,0,0
10,Paco Alcácer,es  ESP,FW,Villarreal,26,1993,17.2,28,1.63,21,1,2,3,1,0,9,0.52,6,0,1,2,0,0
11,Pedro Alcalá,es  ESP,DF,Cádiz,31,1989,10.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
12,Rubén Alcaraz,es  ESP,MF,Valladolid,29,1991,24.1,22,0.91,20,0,0,2,0,0,2,0.08,2,0,0,0,0,0
13,Iván Alejo,es  ESP,"MF,FW",Cádiz,25,1995,9.2,20,2.18,16,1,1,1,1,0,2,0.22,1,0,0,1,0,0
14,Alfon,es  ESP,MF,Celta Vigo,21,1999,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
15,Sergio Álvarez,es  ESP,"MF,DF",Eibar,28,1992,17.4,13,0.75,11,0,0,0,1,1,1,0.06,1,0,0,0,0,0
16,Yeray Álvarez,es  ESP,DF,Athletic Club,25,1995,21.6,12,0.55,11,0,0,1,0,0,0,0.00,0,0,0,0,0,0
17,Emmanuel Amankwaa Akurugu,gh  GHA,DF,Getafe,18,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Jon Ander Garrido,es  ESP,MF,Cádiz,30,1989,8.9,10,1.13,7,1,0,0,1,1,2,0.23,1,0,0,0,1,0
19,Ángel,es  ESP,GK,Granada,18,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
20,Miguel Ángel Rubio,es  ESP,DF,Valladolid,22,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
21,José Ángel,es  ESP,DF,Eibar,30,1989,10.0,15,1.50,11,3,1,0,0,0,0,0.00,0,0,0,0,0,0
22,José Antonio Miranda,gq  EQG,"MF,DF",Getafe,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
23,Aritz Arambarri,es  ESP,DF,Real Sociedad,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
24,Mauro Arambarri,uy  URU,MF,Getafe,24,1995,33.1,54,1.63,28,12,3,3,6,2,2,0.06,1,0,0,1,0,0
25,Néstor Araujo,mx  MEX,DF,Celta Vigo,28,1991,27.0,8,0.30,8,0,0,0,0,0,1,0.04,1,0,0,0,0,0
26,Ronald Araújo,uy  URU,DF,Barcelona,21,1999,16.8,9,0.54,5,0,1,1,1,1,1,0.06,0,0,0,1,0,0
27,Anaitz Arbilla,es  ESP,DF,Eibar,33,1987,31.2,30,0.96,17,4,4,2,0,3,3,0.10,1,0,1,1,0,0
28,Unai Arietaleanizbeaskoa,es  ESP,"FW,MF",Eibar,21,1999,0.5,1,1.91,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
29,Sergio Arribas,es  ESP,"FW,DF",Real Madrid,18,2001,1.5,4,2.67,4,0,0,0,0,0,2,1.33,2,0,0,0,0,0
30,Sergio Asenjo,es  ESP,GK,Villarreal,31,1989,36.0,3,0.08,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0
31,Marco Asensio,es  ESP,"FW,MF",Real Madrid,24,1996,20.8,71,3.42,46,10,6,4,3,2,8,0.39,5,1,1,1,0,0
32,Iago Aspas,es  ESP,FW,Celta Vigo,32,1987,31.8,115,3.61,91,3,12,6,3,0,26,0.82,19,1,4,1,1,0
33,Miguel Atienza,es  ESP,MF,Eibar,21,1999,9.3,7,0.75,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0
34,Ezequiel Ávila,ar  ARG,"MF,FW",Osasuna,26,1994,2.2,3,1.34,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
35,Ramon Azeez,ng  NGA,"MF,DF",Granada,27,1992,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
36,Carlos Bacca,co  COL,FW,Villarreal,33,1986,8.7,13,1.49,9,0,3,1,0,0,2,0.23,1,0,1,0,0,0
37,Édgar Badía,es  ESP,GK,Elche,28,1992,30.0,2,0.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
38,Alex Baena,es  ESP,MF,Villarreal,19,2001,1.5,3,1.97,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
39,Miguel Baeza,es  ESP,"MF,FW",Celta Vigo,20,2000,6.0,14,2.32,8,2,0,2,1,1,0,0.00,0,0,0,0,0,0
40,Mikel Balenziaga,es  ESP,DF,Athletic Club,32,1988,18.8,13,0.69,10,1,0,0,1,1,2,0.11,2,0,0,0,0,0
