,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
95,Denis Cheryshev,ru  RUS,MF,Valencia,29,1990,12.2,338,329,9,1,0,62,13,32,1,0,0,1,199,75,64,249,39,26,7,5,209,3,9,13,29
96,Samuel Chukwueze,ng  NGA,"MF,FW",Villarreal,21,1999,15.2,532,514,18,1,2,114,11,37,9,3,0,0,394,62,76,465,28,19,8,1,397,2,11,14,20
97,Víctor Chust,es  ESP,DF,Real Madrid,20,2000,1.1,70,67,3,2,0,5,1,0,0,0,0,0,58,5,7,13,53,2,1,0,65,0,1,0,0
98,Cifu,es  ESP,DF,Elche,29,1990,5.0,219,173,46,3,0,38,4,9,0,0,0,0,125,40,54,4,162,7,42,0,162,2,3,3,13
99,Alberto Cifuentes,es  ESP,GK,Cádiz,41,1979,2.0,69,33,36,20,0,8,2,0,0,0,0,0,5,3,61,2,54,1,0,3,31,0,4,0,0
100,Jasper Cillessen,nl  NED,GK,Valencia,31,1989,10.0,317,194,123,28,0,22,14,0,0,0,0,0,112,8,197,16,243,0,0,41,188,3,10,2,0
101,Carlos Clerc,es  ESP,DF,Levante,28,1992,30.9,1698,1392,306,36,2,232,42,85,5,2,0,0,953,394,351,1247,83,77,265,4,1304,7,45,34,68
102,Coke,es  ESP,DF,Levante,33,1987,9.3,443,383,60,7,0,56,11,9,0,0,0,0,251,98,94,46,316,20,53,2,361,0,11,16,17
103,Francis Coquelin,fr  FRA,MF,Villarreal,29,1991,8.2,524,509,15,11,0,87,14,3,0,0,0,0,427,52,45,71,417,22,2,3,461,2,8,10,10
104,Ángel Correa,ar  ARG,"FW,MF",Atlético Madrid,25,1995,26.6,910,877,33,5,3,157,14,40,8,1,4,0,672,130,108,186,680,28,0,8,706,9,10,28,31
105,Rober Correa,es  ESP,DF,Eibar,27,1992,12.6,610,471,139,13,0,99,26,32,0,0,0,0,276,140,194,41,355,57,126,2,428,1,22,11,10
106,Thierry Correia,pt  POR,DF,Valencia,21,1999,23.7,1211,978,233,20,1,161,28,48,0,0,0,0,663,280,268,70,864,43,213,5,919,5,16,31,49
107,Diego Costa,es  ESP,FW,Atlético Madrid,31,1988,2.3,73,73,0,0,1,24,2,2,0,0,0,0,42,21,10,5,50,5,0,6,56,0,1,0,5
108,Jaume Costa,es  ESP,"DF,MF",Villarreal,32,1988,3.9,237,189,48,3,2,26,3,7,1,0,0,0,148,37,52,120,63,8,44,0,200,0,1,4,3
109,Thibaut Courtois,be  BEL,GK,Real Madrid,28,1992,38.0,1307,1017,290,55,0,102,33,0,0,0,0,0,901,65,341,690,364,1,2,235,1076,2,31,6,2
110,Philippe Coutinho,br  BRA,"MF,FW",Barcelona,28,1992,7.3,523,494,29,4,4,58,7,10,17,10,1,0,430,47,46,47,457,9,7,0,454,2,8,8,4
111,Juan Cruz Armada,es  ESP,DF,Osasuna,28,1992,21.8,870,646,224,7,0,106,17,41,0,0,0,0,411,159,300,479,80,73,217,4,606,2,12,18,39
112,Sergio Cubero Ezcurra,es  ESP,MF,Eibar,20,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Cucho,co  COL,"FW,MF",Getafe,21,1999,16.3,515,499,16,1,1,131,18,31,3,0,2,0,293,115,107,70,362,35,7,7,344,2,15,16,26
114,Marc Cucurella,es  ESP,MF,Getafe,22,1998,36.0,1310,1177,133,20,0,266,36,96,11,3,0,0,752,264,294,801,257,79,102,10,927,5,33,21,76
115,Patrick Cutrone,it  ITA,FW,Valencia,22,1998,1.2,20,18,2,0,0,4,2,1,0,0,0,0,12,3,5,0,17,2,1,0,15,0,0,0,0
116,Moussa Dembélé,fr  FRA,"FW,MF",Atlético Madrid,24,1996,1.1,33,32,1,0,0,6,0,1,0,0,0,0,18,9,6,0,24,4,0,2,20,1,0,3,1
117,Ousmane Dembélé,fr  FRA,"FW,DF",Barcelona,23,1997,19.7,1023,964,59,7,5,134,28,58,30,7,5,4,828,106,89,486,498,8,19,7,844,1,19,25,42
118,Sergiño Dest,us  USA,DF,Barcelona,19,2000,21.2,1302,1153,149,6,1,116,4,39,0,0,0,0,1044,181,77,141,993,22,143,0,1164,2,5,22,38
119,Deyverson,br  BRA,FW,Alavés,29,1991,9.7,310,300,10,0,4,93,15,13,0,0,0,0,93,83,134,181,19,48,0,5,155,2,14,9,19
120,Abdoulay Diaby,ml  MLI,MF,Getafe,29,1991,0.2,10,10,0,0,0,2,1,2,0,0,0,0,6,1,3,10,0,0,0,0,5,0,1,0,2
121,Mouctar Diakhaby,fr  FRA,DF,Valencia,23,1996,23.1,981,947,34,32,0,95,37,2,0,0,0,0,746,77,158,85,826,47,2,1,844,5,26,9,15
122,Víctor Díaz,es  ESP,DF,Granada,32,1988,9.2,385,294,91,11,0,53,12,22,4,0,3,0,160,75,150,32,246,23,76,1,265,1,13,9,13
123,Papakouli Diop,sn  SEN,MF,Eibar,34,1986,25.8,898,876,22,20,2,197,32,7,0,0,0,0,494,120,284,87,614,131,0,5,633,4,36,22,21
124,Djené,tg  TOG,DF,Getafe,28,1991,32.7,943,868,75,51,0,128,29,7,0,0,0,0,537,137,269,203,583,92,24,6,723,3,18,15,10
125,Marko Dmitrović,rs  SRB,GK,Eibar,28,1992,34.7,1074,714,360,125,0,59,56,0,0,0,0,0,252,32,790,726,151,2,0,100,580,3,49,4,3
126,Jaume Doménech,es  ESP,GK,Valencia,29,1990,28.0,897,559,338,93,0,58,28,0,0,0,0,0,335,33,529,52,663,0,1,105,623,5,18,3,3
127,Carlos Dominguez,es  ESP,DF,Celta Vigo,19,2001,4.0,148,145,3,3,0,23,2,0,0,0,0,0,115,9,24,112,29,5,0,0,123,0,7,2,3
128,John Donald,es  ESP,DF,Elche,19,2000,0.6,20,20,0,0,0,2,1,0,0,0,0,0,18,1,1,2,17,1,0,0,19,0,0,0,0
129,Cheick Doukouré,ci  CIV,MF,Levante,27,1992,1.1,45,44,1,1,0,15,1,0,0,0,0,0,32,8,5,7,35,2,0,0,39,0,1,1,0
130,Idrissa Doumbia,ci  CIV,MF,Huesca,22,1998,8.7,413,405,8,8,0,53,7,0,0,0,0,0,351,38,24,82,313,14,0,3,378,0,6,3,3
131,Domingos Duarte,pt  POR,DF,Granada,25,1995,26.3,948,899,49,43,0,119,34,2,0,0,0,0,596,104,248,54,770,86,6,4,761,4,19,18,14
132,Óscar Duarte,cr  CRC,DF,Levante,31,1989,22.9,1154,1109,45,37,1,120,41,2,0,0,0,0,835,88,231,246,820,53,2,5,1009,1,11,15,8
133,Rubén Duarte,es  ESP,DF,Alavés,24,1995,28.3,1319,1003,316,52,3,171,51,58,19,7,11,0,568,267,484,850,111,72,245,3,934,4,46,27,38
134,Unai Dufur,es  ESP,DF,Eibar,21,1999,0.7,43,28,15,0,0,1,0,0,0,0,0,0,17,17,9,4,20,4,15,0,34,0,1,2,2
135,Hugo Duro,es  ESP,FW,Real Madrid,20,1999,0.6,5,5,0,0,0,3,0,1,0,0,0,0,4,1,0,3,2,0,0,0,5,0,0,0,0
136,Aritz Elustondo,es  ESP,DF,Real Sociedad,26,1994,20.9,1210,1160,50,32,0,113,28,7,0,0,0,0,928,76,206,116,979,65,18,2,1057,2,22,9,6
137,Rodrigo Ely,br  BRA,DF,Alavés,26,1993,5.2,159,146,13,13,0,15,7,0,0,0,0,0,83,31,45,15,114,21,0,2,125,3,8,0,1
138,Emerson,br  BRA,DF,Betis,21,1999,33.2,1928,1567,361,48,1,221,23,74,1,0,0,0,1196,415,317,158,1359,59,312,11,1565,4,30,46,66
139,Youssef En-Nesyri,ma  MAR,FW,Sevilla,23,1997,25.7,408,377,31,0,1,121,8,17,0,0,0,0,206,122,80,235,33,58,3,10,281,1,11,10,20
140,Sergi Enrich,es  ESP,FW,Eibar,30,1990,15.6,463,442,21,0,1,167,12,7,1,1,0,0,245,93,125,24,309,44,1,19,357,4,4,10,13
141,Aarón Escandell,es  ESP,GK,Granada,24,1995,5.0,151,94,57,24,0,5,4,0,0,0,0,0,36,2,113,11,117,0,0,13,74,1,5,1,1
142,Dani Escriche,es  ESP,"FW,MF",Huesca,22,1998,9.5,267,260,7,0,1,64,4,4,1,0,0,0,193,40,34,13,225,14,2,0,198,1,4,8,15
143,Sergio Escudero,es  ESP,DF,Sevilla,30,1989,6.3,407,338,69,15,2,47,9,13,4,0,2,0,258,66,83,291,42,18,50,0,342,2,8,6,9
144,Alfonso Espino,uy  URU,DF,Cádiz,28,1992,28.9,1039,778,261,21,0,134,38,61,1,1,0,0,402,224,413,602,119,53,239,1,666,9,27,36,53
145,Vicente Esquerdo,es  ESP,MF,Valencia,21,1999,2.6,97,95,2,1,0,18,5,2,0,0,0,0,69,13,15,85,8,2,1,0,77,1,3,1,3
146,Pervis Estupiñán,ec  ECU,DF,Villarreal,22,1998,13.0,667,567,100,9,0,85,27,61,0,0,0,0,405,148,114,460,82,27,91,3,523,1,7,15,38
147,Xabier Etxeita,es  ESP,DF,Getafe,32,1987,9.8,289,274,15,14,0,33,13,0,0,0,0,0,147,35,107,91,151,34,1,0,195,0,13,4,5
148,Edu Expósito,es  ESP,MF,Eibar,23,1996,27.3,1179,1117,62,21,1,213,46,36,35,17,16,2,738,176,265,203,851,87,5,4,879,6,30,37,32
149,Jokin Ezkieta,es  ESP,GK,Athletic Club,23,1996,1.0,24,16,8,1,0,0,0,0,0,0,0,0,18,2,4,2,16,0,0,6,21,0,1,0,0
150,Fali,es  ESP,"DF,MF",Cádiz,26,1993,29.3,715,650,65,56,3,86,46,13,0,0,0,0,374,86,255,153,491,48,7,2,505,2,23,13,10
