,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Ousmane Dembélé,11.0,fr  FRA,"FW,LW",24-007,90,44,0,4,13,29,6,41,2,2,100.0,2,0,35,209,140,12,1,2,4,1,51,34,66.7,6
1,Antoine Griezmann,7.0,fr  FRA,"LW,RW",30-062,90,69,2,7,39,27,8,67,3,4,75.0,3,0,50,315,83,5,3,0,2,0,67,59,88.1,11
2,Francisco Trincão,17.0,pt  POR,RW,21-144,45,18,0,1,11,7,1,18,2,2,100.0,2,0,18,161,93,4,1,0,0,1,22,17,77.3,2
3,Martin Braithwaite,9.0,dk  DEN,FW,29-351,45,11,0,0,8,3,0,11,0,0,,0,0,5,42,29,1,0,0,0,0,22,9,40.9,4
4,Ilaix,27.0,es  ESP,"DM,CM",18-123,54,37,0,6,23,12,1,37,2,2,100.0,2,0,27,161,114,4,2,0,2,0,43,33,76.7,3
5,Riqui Puig,12.0,es  ESP,CM,21-282,36,40,0,17,20,12,2,40,0,0,,0,0,28,209,112,4,5,1,1,0,39,35,89.7,3
6,Sergio Busquets,5.0,es  ESP,DM,32-310,90,83,3,26,54,6,0,79,0,0,,0,0,37,116,53,1,0,0,1,0,68,63,92.6,0
7,Junior Firpo,24.0,es  ESP,WB,24-273,45,44,2,18,16,14,2,41,0,1,0.0,0,0,26,139,84,3,1,1,1,0,33,30,90.9,4
8,Jordi Alba,18.0,es  ESP,LB,32-062,45,56,1,22,25,12,0,50,0,0,,0,0,25,108,86,2,0,0,0,0,43,40,93.0,0
9,Sergiño Dest,2.0,us  USA,"WB,RB",20-200,90,64,2,22,39,10,0,58,0,1,0.0,0,0,37,147,104,3,1,0,1,3,45,40,88.9,1
10,Óscar Mingueza,28.0,es  ESP,CB,22-009,45,60,15,39,25,2,0,57,0,0,,0,0,42,248,176,4,1,0,0,0,50,50,100.0,0
11,Samuel Umtiti,23.0,fr  FRA,CB,27-189,45,51,7,32,21,0,0,50,0,0,,0,0,42,208,116,3,0,0,0,0,45,44,97.8,0
12,Frenkie de Jong,21.0,nl  NED,"CB,CM",24-010,73,86,11,49,36,7,0,85,0,1,0.0,0,0,62,405,246,6,1,0,0,0,78,74,94.9,1
13,Miralem Pjanić,8.0,ba  BIH,CM,31-050,17,17,1,8,8,2,1,17,0,0,,0,0,12,19,8,0,1,0,1,0,16,15,93.8,1
14,Ronald Araújo,4.0,uy  URU,CB,22-076,90,97,22,69,33,3,0,96,0,0,,0,0,66,494,327,4,2,0,0,0,72,71,98.6,0
15,Neto,13.0,br  BRA,GK,31-307,90,54,51,54,0,0,0,42,0,0,,0,0,29,90,53,0,0,0,0,1,30,30,100.0,0
16,16 Players,,,,,990,831,117,374,371,146,21,789,9,13,69.2,9,0,541,3071,1824,56,19,4,13,6,724,644,89.0,36
