,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Ousmane Dembélé,11.0,fr  FRA,"FW,LW",24-007,90,26,35,74.3,334,91,20,22,90.9,5,9,55.6,1,3,33.3,0,0.0,0,1,2,0,3
1,Antoine Griezmann,7.0,fr  FRA,"LW,RW",30-062,90,48,64,75.0,789,173,25,29,86.2,15,19,78.9,6,12,50.0,0,0.0,1,1,1,1,2
2,Francisco Trincão,17.0,pt  POR,RW,21-144,45,14,15,93.3,239,44,6,6,100.0,5,5,100.0,2,3,66.7,0,0.0,0,1,0,0,1
3,Martin Braithwaite,9.0,dk  DEN,FW,29-351,45,10,11,90.9,205,27,3,3,100.0,5,6,83.3,2,2,100.0,0,0.0,0,2,0,0,1
4,Ilaix,27.0,es  ESP,"DM,CM",18-123,54,29,32,90.6,371,84,18,19,94.7,9,10,90.0,0,1,0.0,0,0.0,0,4,1,0,3
5,Riqui Puig,12.0,es  ESP,CM,21-282,36,32,36,88.9,581,107,13,14,92.9,13,16,81.3,5,5,100.0,0,0.1,2,1,0,0,1
6,Sergio Busquets,5.0,es  ESP,DM,32-310,90,65,77,84.4,1184,336,25,27,92.6,33,40,82.5,5,6,83.3,0,0.0,0,6,2,0,7
7,Junior Firpo,24.0,es  ESP,WB,24-273,45,30,38,78.9,472,141,16,19,84.2,12,15,80.0,2,3,66.7,0,0.0,0,1,1,0,2
8,Jordi Alba,18.0,es  ESP,LB,32-062,45,38,51,74.5,582,195,18,20,90.0,16,18,88.9,2,8,25.0,0,0.0,0,1,0,0,2
9,Sergiño Dest,2.0,us  USA,"WB,RB",20-200,90,47,52,90.4,790,171,18,18,100.0,22,24,91.7,4,5,80.0,0,0.0,0,3,1,0,3
10,Óscar Mingueza,28.0,es  ESP,CB,22-009,45,51,54,94.4,933,259,20,20,100.0,28,28,100.0,3,5,60.0,0,0.0,0,4,0,0,1
11,Samuel Umtiti,23.0,fr  FRA,CB,27-189,45,45,49,91.8,1024,274,10,10,100.0,25,27,92.6,10,11,90.9,0,0.0,0,2,0,0,2
12,Frenkie de Jong,21.0,nl  NED,"CB,CM",24-010,73,77,79,97.5,1404,349,29,29,100.0,44,45,97.8,4,4,100.0,0,0.0,0,3,1,0,5
13,Miralem Pjanić,8.0,ba  BIH,CM,31-050,17,13,14,92.9,222,25,5,5,100.0,7,7,100.0,1,2,50.0,0,0.0,1,0,0,0,0
14,Ronald Araújo,4.0,uy  URU,CB,22-076,90,79,86,91.9,1612,443,31,32,96.9,40,45,88.9,7,8,87.5,0,0.0,1,3,0,0,3
15,Neto,13.0,br  BRA,GK,31-307,90,40,48,83.3,904,293,9,9,100.0,21,21,100.0,9,17,52.9,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,644,741,86.9,11646,3012,266,282,94.3,300,335,89.6,63,95,66.3,0,0.2,5,33,9,1,36
