,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,21,Óscar Mingueza,Barcelona,Saved,70.0,Right Foot,Half volley,Sergio Busquets,Interception,,
1,24,Papakouli Diop,Eibar,Off Target,8.0,Head,,Paulo Oliveira,Pass (Live),Rober Correa,Pass (Dead)
2,27,Paulo Oliveira,Eibar,Off Target,12.0,Right Foot,Volley,Rober Correa,Pass (Dead),Rober Correa,Fouled
3,,,,,,,,,,,
4,66,Pedro León,Eibar,Off Target,35.0,Right Foot,Free kick,Sergio Álvarez,Fouled,Sergio Álvarez,Interception
5,72,Jordi Alba,Barcelona,Blocked,21.0,Right Foot,,Riqui Puig,Pass (Live),Antoine Griezmann,Pass (Live)
6,79,Anaitz Arbilla,Eibar,Blocked,26.0,Right Foot,Free kick,Kike,Fouled,,
7,81,Antoine Griezmann,Barcelona,Goal,8.0,Left Foot,Half volley,,,,
8,84,Miralem Pjanić,Barcelona,Off Target,9.0,Right Foot,Volley,Antoine Griezmann,Pass (Live),Martin Braithwaite,Pass (Live)
9,88,Quique,Eibar,Off Target,11.0,Right Foot,Half volley,Takashi Inui,Shot,,
