,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Sergi Enrich,9.0,es  ESP,FW,31-085,76,16,19,84.2,198,36,9,12,75.0,4,4,100.0,1,1,100.0,0,0.0,0,1,0,0,1
1,Quique,7.0,es  ESP,FW,31-006,14,3,5,60.0,60,0,1,1,100.0,2,4,50.0,0,0,,0,0.0,0,0,0,0,0
2,Kike,17.0,es  ESP,FW,31-178,90,22,25,88.0,257,42,13,13,100.0,6,8,75.0,1,1,100.0,0,0.0,0,0,1,1,0
3,Takashi Inui,14.0,jp  JPN,LM,32-354,90,28,34,82.4,471,162,14,16,87.5,9,10,90.0,3,4,75.0,0,0.0,0,1,2,0,4
4,Bryan,25.0,es  ESP,RM,20-100,45,17,26,65.4,298,120,11,14,78.6,4,5,80.0,2,7,28.6,0,0.1,3,2,2,1,2
5,Pedro León,21.0,es  ESP,RM,34-179,45,6,10,60.0,107,49,3,3,100.0,2,3,66.7,1,3,33.3,0,0.1,1,0,1,1,0
6,Papakouli Diop,8.0,sn  SEN,DM,35-064,61,16,16,100.0,394,85,3,3,100.0,9,9,100.0,4,4,100.0,0,0.0,1,1,0,0,1
7,Sergio Álvarez,6.0,es  ESP,DM,29-119,29,10,12,83.3,249,31,2,2,100.0,6,6,100.0,2,3,66.7,0,0.0,0,0,0,0,1
8,Miguel Atienza,33.0,es  ESP,DM,21-360,90,21,29,72.4,263,49,13,15,86.7,7,9,77.8,0,1,0.0,0,0.0,0,3,0,0,0
9,Rafa Soares,11.0,pt  POR,LB,26-013,90,32,42,76.2,601,223,18,19,94.7,11,12,91.7,3,10,30.0,0,0.2,2,3,0,0,3
10,Anaitz Arbilla,23.0,es  ESP,CB,34-007,90,33,38,86.8,938,361,6,6,100.0,16,18,88.9,11,14,78.6,0,0.0,0,4,0,0,3
11,Paulo Oliveira,4.0,pt  POR,CB,29-134,75,7,13,53.8,218,126,2,3,66.7,1,2,50.0,4,7,57.1,0,0.1,1,1,0,0,0
12,Pedro Bigas,3.0,es  ESP,CB,30-249,15,11,13,84.6,250,59,2,2,100.0,7,8,87.5,2,3,66.7,0,0.0,0,1,0,0,1
13,Rober Correa,20.0,es  ESP,RB,28-244,75,28,37,75.7,604,352,8,11,72.7,12,15,80.0,6,9,66.7,0,0.2,3,5,1,1,3
14,Alejandro Pozo Pozo,22.0,es  ESP,RB,22-089,15,8,11,72.7,129,65,4,6,66.7,4,5,80.0,0,0,,0,0.0,0,0,0,0,0
15,Yoel,13.0,es  ESP,GK,32-267,90,18,31,58.1,819,671,0,1,0.0,6,6,100.0,12,24,50.0,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,276,361,76.5,5856,2431,109,127,85.8,106,124,85.5,52,91,57.1,0,0.7,11,22,7,4,19
