,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Sergi Enrich,9.0,es  ESP,FW,31-085,76,0,0,0,1,1,0,0,1,2,0,0,0,3,4,3,57.1
1,Quique,7.0,es  ESP,FW,31-006,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0
2,Kike,17.0,es  ESP,FW,31-178,90,0,0,0,1,4,1,1,0,0,0,0,0,8,5,3,62.5
3,Takashi Inui,14.0,jp  JPN,LM,32-354,90,0,0,0,3,1,0,2,3,0,0,0,0,10,0,0,
4,Bryan,25.0,es  ESP,RM,20-100,45,0,0,0,1,4,0,4,0,0,0,0,0,4,0,0,
5,Pedro León,21.0,es  ESP,RM,34-179,45,0,0,0,0,1,0,1,1,0,0,0,0,3,1,0,100.0
6,Papakouli Diop,8.0,sn  SEN,DM,35-064,61,0,0,0,3,1,0,0,2,1,0,0,0,5,1,0,100.0
7,Sergio Álvarez,6.0,es  ESP,DM,29-119,29,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,
8,Miguel Atienza,33.0,es  ESP,DM,21-360,90,0,0,0,3,2,0,0,4,1,0,0,0,7,2,0,100.0
9,Rafa Soares,11.0,pt  POR,LB,26-013,90,0,0,0,0,1,0,4,1,0,0,0,0,7,0,0,
10,Anaitz Arbilla,23.0,es  ESP,CB,34-007,90,0,0,0,0,1,0,0,3,0,0,0,0,8,0,0,
11,Paulo Oliveira,4.0,pt  POR,CB,29-134,75,0,0,0,0,1,0,0,4,0,0,0,0,5,0,0,
12,Pedro Bigas,3.0,es  ESP,CB,30-249,15,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0
13,Rober Correa,20.0,es  ESP,RB,28-244,75,0,0,0,1,2,0,4,3,2,0,0,0,10,2,1,66.7
14,Alejandro Pozo Pozo,22.0,es  ESP,RB,22-089,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
15,Yoel,13.0,es  ESP,GK,32-267,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
16,16 Players,,,,,990,0,0,0,14,20,1,16,23,6,0,0,0,86,16,8,66.7
