,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Sergi Enrich,9.0,es  ESP,FW,31-085,76,34,0,3,10,21,7,34,1,1,100.0,1,0,21,80,27,2,0,1,2,0,30,23,76.7,3
1,Quique,7.0,es  ESP,FW,31-006,14,7,0,0,3,5,1,6,1,2,50.0,1,0,5,20,4,0,0,0,0,0,4,3,75.0,0
2,Kike,17.0,es  ESP,FW,31-178,90,47,1,1,26,22,8,46,2,3,66.7,2,0,35,144,64,3,1,1,5,4,46,33,71.7,5
3,Takashi Inui,14.0,jp  JPN,LM,32-354,90,49,0,5,20,27,4,48,2,3,66.7,2,0,39,164,89,4,1,0,3,3,39,34,87.2,6
4,Bryan,25.0,es  ESP,RM,20-100,45,29,1,3,11,19,1,25,4,5,80.0,4,0,28,191,87,3,1,0,0,0,25,21,84.0,1
5,Pedro León,21.0,es  ESP,RM,34-179,45,18,0,2,6,10,1,15,1,1,100.0,1,0,11,40,27,1,0,0,1,1,9,7,77.8,0
6,Papakouli Diop,8.0,sn  SEN,DM,35-064,61,25,2,8,13,4,1,24,0,0,,0,0,12,38,12,0,0,0,0,0,12,12,100.0,0
7,Sergio Álvarez,6.0,es  ESP,DM,29-119,29,16,2,2,11,4,0,16,1,1,100.0,1,0,16,41,8,1,0,0,0,2,15,13,86.7,0
8,Miguel Atienza,33.0,es  ESP,DM,21-360,90,33,0,7,20,6,0,33,0,0,,0,0,21,55,24,1,0,0,0,0,20,20,100.0,0
9,Rafa Soares,11.0,pt  POR,LB,26-013,90,51,2,8,32,17,2,47,1,2,50.0,1,0,39,210,113,5,3,0,0,1,34,33,97.1,2
10,Anaitz Arbilla,23.0,es  ESP,CB,34-007,90,43,4,19,28,1,0,41,0,0,,0,0,32,210,117,2,0,0,1,0,28,28,100.0,0
11,Paulo Oliveira,4.0,pt  POR,CB,29-134,75,26,8,12,12,2,2,26,0,0,,0,0,8,31,11,0,0,0,0,0,9,9,100.0,0
12,Pedro Bigas,3.0,es  ESP,CB,30-249,15,14,1,8,6,1,0,12,0,0,,0,0,6,51,25,2,1,0,0,0,7,7,100.0,0
13,Rober Correa,20.0,es  ESP,RB,28-244,75,45,2,12,24,14,1,37,0,0,,0,0,20,158,103,5,3,0,0,1,18,18,100.0,1
14,Alejandro Pozo Pozo,22.0,es  ESP,RB,22-089,15,11,0,1,4,6,0,7,0,0,,0,0,4,10,1,0,0,0,0,0,5,5,100.0,1
15,Yoel,13.0,es  ESP,GK,32-267,90,35,25,35,0,0,0,21,0,0,,0,0,11,53,23,0,0,0,0,0,10,10,100.0,0
16,16 Players,,,,,990,483,48,126,226,159,28,438,13,18,72.2,13,0,308,1496,735,29,10,2,12,12,311,276,88.7,19
