,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Sergi Enrich,9.0,es  ESP,FW,31-085,76,0,0,0,0,4,0,0,0,34,24,4,1,2,0.3,0.3,0.0,2,0,16,19,84.2,1,21,2,1,1
1,Quique,7.0,es  ESP,FW,31-006,14,0,0,0,0,1,0,0,0,7,1,0,0,0,0.1,0.1,0.0,0,0,3,5,60.0,0,5,0,1,2
2,Kike,17.0,es  ESP,FW,31-178,90,0,0,0,0,3,1,0,0,47,25,0,0,2,0.4,0.4,0.0,2,0,22,25,88.0,0,35,3,2,3
3,Takashi Inui,14.0,jp  JPN,LM,32-354,90,0,0,0,0,5,1,0,0,49,15,0,3,1,0.1,0.1,0.0,4,0,28,34,82.4,4,39,4,2,3
4,Bryan,25.0,es  ESP,RM,20-100,45,0,0,0,0,0,0,0,0,29,4,0,0,0,0.0,0.0,0.1,5,0,17,26,65.4,2,28,3,4,5
5,Pedro León,21.0,es  ESP,RM,34-179,45,0,0,0,0,1,0,0,0,18,8,0,1,3,0.0,0.0,0.1,1,0,6,10,60.0,0,11,1,1,1
6,Papakouli Diop,8.0,sn  SEN,DM,35-064,61,0,0,0,0,1,0,0,0,25,9,1,2,3,0.1,0.1,0.0,1,0,16,16,100.0,1,12,0,0,0
7,Sergio Álvarez,6.0,es  ESP,DM,29-119,29,0,0,0,0,0,0,0,0,16,7,0,1,0,0.0,0.0,0.0,2,0,10,12,83.3,1,16,1,1,1
8,Miguel Atienza,33.0,es  ESP,DM,21-360,90,0,0,0,0,0,0,0,0,33,19,2,4,0,0.0,0.0,0.0,0,0,21,29,72.4,0,21,1,0,0
9,Rafa Soares,11.0,pt  POR,LB,26-013,90,0,0,0,0,0,0,0,0,51,6,0,1,2,0.0,0.0,0.2,2,0,32,42,76.2,3,39,5,1,2
10,Anaitz Arbilla,23.0,es  ESP,CB,34-007,90,0,0,0,0,1,0,0,0,43,3,0,3,0,0.0,0.0,0.0,0,0,33,38,86.8,3,32,2,0,0
11,Paulo Oliveira,4.0,pt  POR,CB,29-134,75,0,0,0,0,1,0,0,0,26,4,1,4,3,0.1,0.1,0.1,1,0,7,13,53.8,0,8,0,0,0
12,Pedro Bigas,3.0,es  ESP,CB,30-249,15,0,0,0,0,0,0,0,0,14,1,0,0,0,0.0,0.0,0.0,0,0,11,13,84.6,1,6,2,0,0
13,Rober Correa,20.0,es  ESP,RB,28-244,75,0,0,0,0,0,0,0,0,45,8,2,3,0,0.0,0.0,0.2,6,0,28,37,75.7,3,20,5,0,0
14,Alejandro Pozo Pozo,22.0,es  ESP,RB,22-089,15,0,0,0,0,0,0,0,0,11,0,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,0,4,0,0,0
15,Yoel,13.0,es  ESP,GK,32-267,90,0,0,0,0,0,0,0,0,35,0,0,0,0,0.0,0.0,0.0,0,0,18,31,58.1,0,11,0,0,0
16,16 Players,,,,,990,0,0,0,0,17,2,0,0,483,134,10,23,16,1.2,1.2,0.7,26,0,276,361,76.5,19,308,29,13,18
