,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Ousmane Dembélé,11.0,fr  FRA,"FW,LW",24-007,90,1,1,0,0,1,0,1,0.0,1,25,2,8.0,1,12,12,0,0,0,0,0,1,0,0
1,Antoine Griezmann,7.0,fr  FRA,"LW,RW",30-062,90,2,2,1,1,0,1,1,100.0,0,17,12,70.6,6,8,3,0,0,0,0,1,3,0,0
2,Francisco Trincão,17.0,pt  POR,RW,21-144,45,0,0,0,0,0,0,0,,0,16,1,6.3,3,10,3,0,0,0,0,0,0,0,0
3,Martin Braithwaite,9.0,dk  DEN,FW,29-351,45,0,0,0,0,0,0,0,,0,14,5,35.7,0,5,9,0,0,0,0,1,1,0,0
4,Ilaix,27.0,es  ESP,"DM,CM",18-123,54,1,1,1,0,0,0,0,,0,20,6,30.0,5,8,7,1,0,0,1,0,1,0,0
5,Riqui Puig,12.0,es  ESP,CM,21-282,36,0,0,0,0,0,0,1,0.0,1,12,1,8.3,1,9,2,1,0,0,1,0,0,0,0
6,Sergio Busquets,5.0,es  ESP,DM,32-310,90,2,2,1,1,0,0,7,0.0,7,32,7,21.9,9,18,5,0,0,0,0,3,5,1,0
7,Junior Firpo,24.0,es  ESP,WB,24-273,45,0,0,0,0,0,0,0,,0,5,1,20.0,4,1,0,0,0,0,0,1,1,1,0
8,Jordi Alba,18.0,es  ESP,LB,32-062,45,2,0,2,0,0,2,2,100.0,0,6,1,16.7,4,2,0,0,0,0,0,0,2,2,0
9,Sergiño Dest,2.0,us  USA,"WB,RB",20-200,90,3,1,2,1,0,1,2,50.0,1,26,9,34.6,14,10,2,0,0,0,0,3,6,1,0
10,Óscar Mingueza,28.0,es  ESP,CB,22-009,45,1,0,1,0,0,1,2,50.0,1,9,1,11.1,7,2,0,2,1,0,1,0,1,2,0
11,Samuel Umtiti,23.0,fr  FRA,CB,27-189,45,0,0,0,0,0,0,1,0.0,1,11,7,63.6,6,5,0,0,0,0,0,0,0,1,0
12,Frenkie de Jong,21.0,nl  NED,"CB,CM",24-010,73,3,1,1,2,0,0,0,,0,11,3,27.3,4,6,1,0,0,0,0,3,6,0,0
13,Miralem Pjanić,8.0,ba  BIH,CM,31-050,17,0,0,0,0,0,0,0,,0,5,1,20.0,1,4,0,0,0,0,0,0,0,1,0
14,Ronald Araújo,4.0,uy  URU,CB,22-076,90,2,0,0,2,0,0,1,0.0,1,9,1,11.1,4,5,0,5,4,0,1,3,5,3,0
15,Neto,13.0,br  BRA,GK,31-307,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,17,8,9,7,1,5,18,27.8,13,218,58,26.6,69,105,44,9,5,0,4,15,32,12,0
