,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Ousmane Dembélé,11.0,fr  FRA,"FW,LW",24-007,90,0,0,0,1,1,1,3,0,1,0,0,0,5,0,0,
1,Antoine Griezmann,7.0,fr  FRA,"LW,RW",30-062,90,0,0,0,0,1,0,3,1,2,0,0,0,4,0,0,
2,Francisco Trincão,17.0,pt  POR,RW,21-144,45,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,
3,Martin Braithwaite,9.0,dk  DEN,FW,29-351,45,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0.0
4,Ilaix,27.0,es  ESP,"DM,CM",18-123,54,0,0,0,4,0,0,0,0,1,0,0,0,0,0,3,0.0
5,Riqui Puig,12.0,es  ESP,CM,21-282,36,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0.0
6,Sergio Busquets,5.0,es  ESP,DM,32-310,90,1,0,0,5,3,0,0,3,2,0,0,0,8,1,1,50.0
7,Junior Firpo,24.0,es  ESP,WB,24-273,45,1,0,0,3,0,1,0,1,0,0,0,0,5,1,0,100.0
8,Jordi Alba,18.0,es  ESP,LB,32-062,45,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,
9,Sergiño Dest,2.0,us  USA,"WB,RB",20-200,90,0,0,0,1,1,0,0,3,1,0,0,0,9,0,2,0.0
10,Óscar Mingueza,28.0,es  ESP,CB,22-009,45,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.0
11,Samuel Umtiti,23.0,fr  FRA,CB,27-189,45,0,0,0,2,1,0,0,0,0,0,0,0,5,2,1,66.7
12,Frenkie de Jong,21.0,nl  NED,"CB,CM",24-010,73,0,0,0,1,1,0,0,3,1,0,0,0,3,0,0,
13,Miralem Pjanić,8.0,ba  BIH,CM,31-050,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
14,Ronald Araújo,4.0,uy  URU,CB,22-076,90,1,0,0,1,0,0,0,3,0,0,0,0,11,4,4,50.0
15,Neto,13.0,br  BRA,GK,31-307,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
16,16 Players,,,,,990,3,0,0,20,12,3,8,15,8,0,0,0,69,8,16,33.3
