,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-14,17:30,La Liga,Matchweek 1,Sun,Home,L,0.0,1.0,Real Sociedad,0.2,1.5,41.0,16570.0,José Mari,4-4-2,Isidro Díaz de Mera,Match Report,
1,2022-08-20,17:30,La Liga,Matchweek 2,Sat,Away,L,0.0,2.0,Osasuna,1.0,2.7,45.0,18587.0,Alfonso Espino,4-4-2,Antonio Matéu Lahoz,Match Report,
2,2022-08-29,20:00,La Liga,Matchweek 3,Mon,Home,L,0.0,4.0,Athletic Club,0.4,2.4,38.0,17029.0,José Mari,4-4-2,Miguel Ángel Ortiz Arias,Match Report,
3,2022-09-02,21:00,La Liga,Matchweek 4,Fri,Away,L,0.0,3.0,Celta Vigo,0.3,0.7,42.0,14510.0,Alfonso Espino,4-1-4-1,Juan Pulido,Match Report,
4,2022-09-10,18:30,La Liga,Matchweek 5,Sat,Home,L,0.0,4.0,Barcelona,0.4,3.4,30.0,19530.0,Álex Fernández,4-2-3-1,Carlos del Cerro,Match Report,
5,2022-09-16,21:00,La Liga,Matchweek 6,Fri,Away,W,1.0,0.0,Valladolid,0.3,1.5,43.0,20295.0,Álex Fernández,4-2-3-1,José Sánchez,Match Report,
6,2022-10-01,14:00,La Liga,Matchweek 7,Sat,Home,D,0.0,0.0,Villarreal,0.7,1.6,40.0,15516.0,Alfonso Espino,4-4-2,Javier Villanueva,Match Report,
7,2022-10-09,16:15,La Liga,Matchweek 8,Sun,Home,D,2.0,2.0,Espanyol,1.3,1.3,54.0,16572.0,Alfonso Espino,4-4-2,Alejandro Hernández,Match Report,
8,2022-10-15,14:00,La Liga,Matchweek 9,Sat,Away,D,1.0,1.0,Girona,1.1,2.3,35.0,9927.0,Álex Fernández,4-4-2,Ricardo de Burgos,Match Report,
9,2022-10-19,19:00,La Liga,Matchweek 10,Wed,Home,D,0.0,0.0,Betis,0.9,0.9,41.0,18505.0,Álex Fernández,4-4-2,Antonio Matéu Lahoz,Match Report,
10,2022-10-22,14:00,La Liga,Matchweek 11,Sat,Away,L,1.0,5.0,Rayo Vallecano,0.2,3.7,38.0,12975.0,Álex Fernández,4-4-2,Alejandro Muñíz,Match Report,
11,2022-10-29,16:15,La Liga,Matchweek 12,Sat,Home,W,3.0,2.0,Atlético Madrid,1.1,1.3,41.0,18183.0,Álex Fernández,4-4-2,José Sánchez,Match Report,
12,2022-11-05,14:00,La Liga,Matchweek 13,Sat,Away,D,0.0,0.0,Getafe,1.4,0.6,47.0,10554.0,Álex Fernández,4-4-2,Alejandro Hernández,Match Report,
13,2022-11-10,21:30,La Liga,Matchweek 14,Thu,Away,L,1.0,2.0,Real Madrid,0.9,2.0,34.0,53190.0,Álex Fernández,4-4-2,César Soto,Match Report,
