,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
21,Jordi Masip,es  ESP,GK,Valladolid,30,1989,35.0,39,6,2,3,0,45.2,0.33,+6.2,+0.18,246,750,32.8,717,118,66.2,48.3,337,81.6,59.0,369,17,4.6,11,0.31,11.8
22,Neto,br  BRA,GK,Barcelona,30,1989,2.0,2,0,0,0,0,1.5,0.50,-0.5,-0.25,4,10,40.0,47,5,17.0,24.6,15,13.3,22.8,13,0,0.0,1,0.50,11.8
23,Jan Oblak,si  SVN,GK,Atlético Madrid,26,1993,37.7,27,3,1,4,3,25.2,0.22,+1.2,+0.03,262,656,39.9,646,111,64.4,46.9,314,76.4,56.5,347,19,5.5,17,0.45,14.0
24,Oier Olazábal,es  ESP,GK,Espanyol,29,1989,2.0,0,0,0,0,0,0.4,0.10,+0.4,+0.20,9,20,45.0,50,15,26.0,31.9,12,58.3,44.2,13,1,7.7,0,0.00,13.2
25,Fernando Pacheco,es  ESP,GK,Alavés,27,1992,26.2,37,8,3,2,0,33.7,0.30,-3.3,-0.13,290,616,47.1,562,92,68.7,47.9,252,91.3,61.0,254,17,6.7,12,0.46,13.4
26,Miquel Parera,es  ESP,GK,Mallorca,23,1996,1.0,2,0,0,0,0,1.6,0.31,-0.4,-0.45,3,14,21.4,22,3,50.0,43.0,4,75.0,62.8,6,1,16.7,0,0.00,6.0
27,Juan Pérez,es  ESP,GK,Osasuna,23,1996,2.0,3,1,0,0,0,2.6,0.23,-0.4,-0.21,20,48,41.7,53,9,73.6,51.6,13,69.2,55.4,18,0,0.0,1,0.50,12.2
28,Samu Pérez,es  ESP,GK,Valladolid,22,1997,0.3,1,1,0,0,0,0.9,,-0.1,-0.22,2,7,28.6,2,0,100.0,56.5,5,100.0,69.2,1,0,0.0,0,0.00,
29,Manolo Reina,es  ESP,GK,Mallorca,34,1985,36.0,60,13,2,7,1,58.1,0.28,-0.9,-0.02,255,689,37.0,886,180,56.4,43.4,308,61.4,50.4,362,36,9.9,24,0.67,13.8
30,Álex Remiro,es  ESP,GK,Real Sociedad,24,1995,25.0,32,7,2,3,0,28.4,0.25,-3.6,-0.14,171,388,44.1,767,80,37.4,36.3,143,70.6,54.2,189,11,5.8,22,0.88,17.4
31,Roberto,es  ESP,GK,Alavés,33,1986,8.8,19,3,0,1,0,20.9,0.36,+1.9,+0.21,87,201,43.3,169,9,81.1,58.2,69,92.8,67.9,75,4,5.3,6,0.68,16.9
32,Joel Robles,es  ESP,GK,Betis,29,1990,32.1,48,11,1,3,1,44.8,0.31,-2.2,-0.07,171,464,36.9,907,134,39.4,36.6,245,43.7,39.6,296,21,7.1,27,0.84,15.5
33,Rubén,es  ESP,GK,Osasuna,35,1984,17.6,24,3,1,1,0,19.3,0.34,-4.7,-0.27,150,404,37.1,382,60,73.6,52.7,143,86.0,61.9,167,12,7.2,7,0.40,13.8
34,Rui Silva,pt  POR,GK,Granada,25,1994,35.0,42,4,1,5,0,42.3,0.28,+0.3,+0.01,348,898,38.8,978,115,66.6,49.2,301,82.1,60.4,332,38,11.4,41,1.17,15.9
35,Unai Simón,es  ESP,GK,Athletic Club,22,1997,33.2,29,5,1,3,2,36.8,0.32,+9.8,+0.29,319,761,41.9,839,140,61.7,47.2,268,90.7,66.4,343,23,6.7,18,0.54,14.3
36,Antonio Sivera,es  ESP,GK,Alavés,22,1996,3.0,3,1,0,0,0,2.4,0.36,-0.6,-0.19,24,64,37.5,56,9,71.4,52.4,27,88.9,63.4,27,1,3.7,0,0.00,12.8
37,David Soria,es  ESP,GK,Getafe,26,1993,38.0,37,5,0,2,1,38.1,0.33,+2.1,+0.05,369,987,37.4,871,41,86.3,58.8,259,90.7,61.4,262,30,11.5,49,1.29,17.0
38,Juan Soriano,es  ESP,GK,Leganés,21,1997,11.0,18,5,1,0,1,15.6,0.33,-1.4,-0.12,49,175,28.0,222,59,52.3,45.8,75,78.7,63.1,70,7,10.0,7,0.64,18.3
39,Marc-André ter Stegen,de  GER,GK,Barcelona,27,1992,36.0,36,6,2,1,0,34.8,0.27,-1.2,-0.03,205,338,60.7,1200,177,22.8,28.8,219,29.7,31.0,266,13,4.9,27,0.75,15.1
40,Tomáš Vaclík,cz  CZE,GK,Sevilla,30,1989,32.5,31,2,3,3,1,25.5,0.25,-4.5,-0.14,178,417,42.7,686,155,40.1,37.3,235,60.4,48.1,260,20,7.7,16,0.49,14.0
41,Koke Vegas,es  ESP,GK,Levante,23,1995,2.0,2,0,0,1,0,1.7,0.17,-0.3,-0.13,7,26,26.9,43,16,46.5,40.6,20,30.0,30.6,30,2,6.7,2,1.00,15.6
42,Iván Villar,es  ESP,GK,Celta Vigo,22,1997,3.1,5,0,0,0,0,4.7,0.42,-0.3,-0.11,15,43,34.9,61,6,39.3,35.5,28,67.9,55.3,34,3,8.8,3,0.96,16.0
43,Yoel,es  ESP,GK,Eibar,30,1988,3.0,5,0,0,0,0,3.8,0.21,-1.2,-0.39,38,80,47.5,69,6,82.6,59.1,24,95.8,72.4,29,1,3.4,3,1.00,13.3
