,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
306,Fran Mérida,es  ESP,MF,Osasuna,29,1990,12.9,904,15,183,607,165,12,874,24,35,68.6,26,0,616,2430,1320,58,13,1,10,19,674,622,92.3,44
307,Mikel Merino,es  ESP,MF,Real Sociedad,23,1996,34.9,2407,80,440,1519,579,63,2382,34,58,58.6,38,4,1621,6684,3413,157,50,4,48,37,1921,1687,87.8,170
308,Sabin Merino,es  ESP,FW,Leganés,27,1992,0.9,28,0,0,12,19,5,27,1,1,100.0,1,0,21,141,42,2,2,1,2,2,43,21,48.8,10
309,Roque Mesa,es  ESP,MF,Leganés,30,1989,22.4,1152,13,163,719,385,24,1096,32,55,58.2,38,0,920,5624,2826,138,48,5,32,38,890,775,87.1,50
310,Lionel Messi,ar  ARG,"FW,MF",Barcelona,32,1987,32.0,2615,1,57,1331,1486,217,2412,183,274,66.8,193,9,2226,11525,7014,479,172,48,65,88,2616,2229,85.2,267
311,Míchel,es  ESP,MF,Valladolid,31,1988,24.2,1613,65,395,984,307,13,1427,18,26,69.2,18,1,973,4564,1885,80,12,3,20,20,1046,971,92.8,36
312,Miguel,es  ESP,FW,Valladolid,19,1999,2.6,72,1,6,39,33,8,71,4,5,80.0,4,0,44,178,115,6,2,3,10,4,112,55,49.1,24
313,Éder Militão,br  BRA,DF,Real Madrid,21,1998,11.4,803,121,447,368,27,4,767,1,2,50.0,1,0,523,2758,1303,22,5,0,6,8,555,543,97.8,4
314,Santi Mina,es  ESP,"FW,MF",Celta Vigo,23,1995,21.6,996,29,102,498,440,82,969,11,30,36.7,13,2,545,2239,1294,70,23,8,60,48,1198,752,62.8,173
315,Jorge Miramón,es  ESP,DF,Levante,30,1989,27.0,1542,124,636,633,351,27,1295,22,34,64.7,22,0,850,4579,2784,117,36,5,18,17,875,790,90.3,54
316,Luka Modrić,hr  CRO,MF,Real Madrid,33,1985,22.2,1696,22,282,975,569,41,1638,40,64,62.5,45,3,1271,7100,3190,165,46,7,30,30,1481,1341,90.5,100
317,Jorge Molina,es  ESP,FW,Getafe,37,1982,21.0,837,18,45,365,459,96,819,22,34,64.7,25,0,562,1873,962,59,15,14,57,50,1123,654,58.2,262
318,Jon Moncayola,es  ESP,"MF,DF",Osasuna,21,1998,16.6,831,31,216,526,122,9,799,11,16,68.8,11,1,435,1617,728,23,7,1,10,10,493,447,90.7,33
319,Nacho Monreal,es  ESP,DF,Real Sociedad,33,1986,26.6,1640,70,510,810,399,47,1364,10,15,66.7,10,0,871,3858,2095,74,35,2,18,9,1043,938,89.9,61
320,Joan Monterde,es  ESP,MF,Levante,21,1997,0.1,8,0,2,5,2,0,8,1,1,100.0,1,0,8,42,28,2,1,0,0,0,9,5,55.6,0
321,Ángel Montoro,es  ESP,MF,Granada,31,1988,10.8,683,25,143,417,164,13,606,6,10,60.0,6,2,436,2127,902,44,12,5,9,7,471,433,91.9,24
322,Álvaro Morata,es  ESP,FW,Atlético Madrid,26,1992,23.3,850,30,71,417,414,133,839,19,33,57.6,19,1,457,2386,1337,68,30,10,83,49,1132,637,56.3,255
323,Alberto Moreno,es  ESP,DF,Villarreal,27,1992,16.3,1159,55,383,565,292,32,971,11,23,47.8,12,1,677,3259,2084,79,29,8,16,11,761,698,91.7,42
324,Álex Moreno,es  ESP,DF,Betis,26,1993,25.2,1622,67,461,712,581,90,1375,48,82,58.5,55,2,1005,6219,3773,184,59,34,33,37,1100,964,87.6,99
325,Gerard Moreno,es  ESP,"FW,MF",Villarreal,27,1992,30.5,1447,56,131,813,574,150,1408,61,101,60.4,63,0,1041,4766,2332,148,37,21,95,47,1648,1152,69.9,346
326,Manu Morlanes,es  ESP,"MF,FW",Villarreal,20,1999,2.8,207,4,39,144,39,1,199,3,3,100.0,3,0,155,550,304,14,7,0,1,1,165,158,95.8,3
327,Loren Morón,es  ESP,FW,Betis,25,1993,22.6,576,20,67,305,238,87,532,20,34,58.8,22,1,354,1499,830,39,14,8,63,38,753,373,49.5,115
328,Toni Moya,es  ESP,MF,Atlético Madrid,21,1998,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
329,Javi Moyano,es  ESP,DF,Valladolid,33,1986,24.7,1273,96,435,598,281,14,1038,19,22,86.4,19,2,646,2859,1416,65,16,3,15,12,672,608,90.5,34
330,Iker Muniain,es  ESP,"FW,MF",Athletic Club,26,1992,26.5,1358,11,136,766,578,70,1285,54,93,58.1,59,6,1039,5084,2629,143,62,12,41,46,1240,1034,83.4,149
331,Aihen Muñoz,es  ESP,DF,Real Sociedad,21,1997,10.9,754,23,221,371,193,9,610,6,13,46.2,6,1,455,1850,1049,50,11,2,4,12,481,441,91.7,30
332,Javier Muñoz,es  ESP,MF,Alavés,24,1995,0.6,20,0,6,12,3,0,20,0,0,,0,0,15,50,4,0,0,0,0,1,15,14,93.3,0
333,Jeison Murillo,co  COL,DF,Celta Vigo,27,1992,17.0,892,151,508,393,20,14,842,1,2,50.0,1,0,489,2264,1186,17,1,0,5,1,530,513,96.8,10
334,Naldo,br  BRA,DF,Espanyol,30,1988,14.8,821,93,430,397,29,14,796,3,4,75.0,3,0,483,2331,1052,26,2,0,8,8,523,506,96.7,11
335,Marc Navarro,es  ESP,DF,Leganés,24,1995,2.4,102,6,30,49,30,5,85,2,2,100.0,2,0,53,260,173,11,3,1,2,1,67,59,88.1,5
336,Ximo Navarro,es  ESP,DF,Alavés,29,1990,21.1,1119,108,468,558,152,13,949,14,21,66.7,15,0,508,3049,1403,52,13,0,19,14,525,484,92.2,13
337,Jesús Navas,es  ESP,DF,Sevilla,33,1985,37.4,2957,91,722,1359,1091,66,2544,47,67,70.1,48,1,1940,11922,7908,408,116,42,24,30,2128,1951,91.7,152
338,Raúl Navas,es  ESP,DF,Osasuna,31,1988,7.9,351,63,210,148,5,2,322,5,6,83.3,5,0,173,1046,477,14,1,0,5,2,150,148,98.7,2
339,Neto,br  BRA,GK,Barcelona,30,1989,2.0,64,56,64,0,0,0,44,0,0,,0,0,33,116,51,0,0,0,0,0,33,33,100.0,0
340,Carlos Neva,es  ESP,DF,Granada,23,1996,24.5,1112,55,299,577,282,16,878,6,12,50.0,6,0,538,2706,1426,74,22,0,13,15,609,524,86.0,37
341,Saúl Ñíguez,es  ESP,"MF,DF",Atlético Madrid,24,1994,34.1,2170,106,515,1310,463,64,2077,24,37,64.9,25,0,1216,5552,2744,111,34,5,40,33,1549,1365,88.1,104
342,Fernando Niño,es  ESP,FW,Villarreal,18,2000,0.9,33,2,2,20,12,4,33,2,2,100.0,2,0,26,96,24,2,0,2,4,0,48,26,54.2,14
343,Unai Núñez,es  ESP,DF,Athletic Club,22,1997,17.5,874,127,488,415,26,12,856,6,7,85.7,7,0,509,2770,1468,33,2,0,6,4,536,526,98.1,13
344,Allan Nyom,cm  CMR,"DF,MF",Getafe,31,1988,26.9,1170,49,295,561,367,29,937,13,28,46.4,16,0,556,2918,1417,85,32,3,18,24,640,545,85.2,52
345,Jan Oblak,si  SVN,GK,Atlético Madrid,26,1993,37.7,1011,896,1000,11,1,0,599,1,1,100.0,1,0,402,2325,1438,1,0,0,1,0,322,319,99.1,0
346,Rafael Obrador,es  ESP,DF,Mallorca,15,2004,0.0,4,0,1,1,2,0,4,0,0,,0,0,3,29,19,1,0,0,0,1,2,2,100.0,0
347,Lucas Ocampos,ar  ARG,FW,Sevilla,25,1994,30.5,1524,29,185,632,831,201,1493,83,168,49.4,97,6,1180,6791,4369,239,71,47,83,94,1480,1127,76.1,279
348,Álvaro Odriozola,es  ESP,DF,Real Madrid,23,1995,3.8,212,11,63,99,69,8,170,9,13,69.2,10,0,133,856,397,17,7,4,3,5,142,128,90.1,4
