,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Antonio Adán,es  ESP,GK,Atlético Madrid,32,1987,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
1,Aritz Aduriz,es  ESP,FW,Athletic Club,38,1981,2.3,3,0,0,7,1,0,1,0,1,0,0,0,7,20,6,76.9
2,Lumor Agbenyenu,gh  GHA,DF,Mallorca,22,1996,20.1,5,1,1,13,10,0,54,11,23,0,0,0,205,14,15,48.3
3,Martin Agirregabiria,es  ESP,DF,Alavés,23,1996,23.3,5,1,0,32,19,1,30,9,22,0,1,0,207,23,20,53.5
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,23,1995,27.8,4,0,0,17,16,0,1,33,26,0,2,0,248,59,50,54.1
5,Jordi Alba,es  ESP,DF,Barcelona,30,1989,24.3,7,0,0,18,18,5,79,25,14,0,0,1,211,10,14,41.7
6,Raúl Albiol,es  ESP,DF,Villarreal,33,1985,36.0,9,0,0,30,25,2,4,17,33,0,2,0,338,78,41,65.5
7,Paco Alcácer,es  ESP,FW,Villarreal,25,1993,10.3,1,0,0,4,11,13,3,2,2,1,0,0,40,8,18,30.8
8,Rubén Alcaraz,es  ESP,MF,Valladolid,28,1991,21.4,10,0,0,37,57,0,12,16,36,0,2,0,283,43,43,50.0
9,Álex Alegría,es  ESP,FW,Mallorca,26,1992,1.2,0,0,0,5,4,1,0,1,0,0,0,0,5,11,9,55.0
10,Yeray Álvarez,es  ESP,DF,Athletic Club,24,1995,31.2,2,0,0,18,32,1,11,34,25,0,1,0,326,88,61,59.1
11,Ibrahim Amadou,fr  FRA,MF,Leganés,26,1993,8.6,2,0,0,15,6,0,3,5,9,0,0,0,82,20,17,54.1
12,Amath,sn  SEN,MF,Getafe,23,1996,0.7,0,0,0,3,4,0,0,1,0,0,0,0,8,1,1,50.0
13,Miguel Ángel Guerrero,es  ESP,FW,Leganés,29,1990,8.8,0,0,0,16,8,3,2,1,1,0,0,0,31,21,43,32.8
14,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,35,1984,13.0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,
15,José Ángel,es  ESP,DF,Eibar,29,1989,26.2,4,0,0,21,13,0,108,27,31,0,1,0,311,47,27,63.5
16,Antoñito,es  ESP,"DF,MF",Valladolid,31,1987,11.4,1,0,0,18,7,1,32,19,16,0,0,0,71,10,8,55.6
17,Vitorino Antunes,pt  POR,MF,Getafe,32,1987,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
18,Anuar,ma  MAR,"MF,FW",Valladolid,24,1995,2.1,1,0,0,3,5,0,1,3,4,0,0,0,25,2,5,28.6
19,Mauro Arambarri,uy  URU,MF,Getafe,23,1995,34.1,11,1,1,79,63,0,32,26,49,0,0,0,447,63,73,46.3
20,Néstor Araujo,mx  MEX,DF,Celta Vigo,27,1991,32.1,10,0,0,27,10,0,2,38,27,0,0,0,278,91,36,71.7
21,Ronald Araújo,uy  URU,DF,Barcelona,20,1999,2.6,0,1,0,2,1,0,0,0,2,0,0,0,18,5,3,62.5
22,Anaitz Arbilla,es  ESP,DF,Eibar,32,1987,22.3,5,0,0,22,12,0,18,15,20,0,0,0,319,56,28,66.7
23,Alphonse Areola,fr  FRA,GK,Real Madrid,26,1993,4.0,1,0,0,1,0,0,0,0,0,0,1,0,24,0,0,
24,Santiago Arias,co  COL,DF,Atlético Madrid,27,1992,12.0,1,0,0,8,16,1,36,9,17,0,0,0,104,21,20,51.2
25,Sergio Asenjo,es  ESP,GK,Villarreal,30,1989,34.0,2,0,0,2,5,0,0,0,0,0,1,0,137,0,0,
26,Marco Asensio,es  ESP,FW,Real Madrid,23,1996,3.7,0,0,0,2,4,1,9,2,4,0,0,0,19,3,5,37.5
27,Iago Aspas,es  ESP,FW,Celta Vigo,31,1987,36.2,9,0,0,25,66,20,36,19,21,2,0,0,160,24,67,26.4
28,Roger Assalé,ci  CIV,"FW,MF",Leganés,25,1993,5.9,1,0,0,8,11,7,6,0,1,3,0,0,18,2,11,15.4
29,Miguel Atienza,es  ESP,MF,Eibar,20,1999,0.3,0,0,0,2,1,0,0,1,1,0,0,0,2,2,0,100.0
30,Ezequiel Ávila,ar  ARG,FW,Osasuna,25,1994,17.7,6,0,0,46,43,24,28,4,16,1,0,0,88,47,82,36.4
31,Javier Avilés,es  ESP,"MF,FW",Leganés,21,1997,2.0,1,0,0,5,2,2,12,1,3,0,0,0,16,2,5,28.6
32,Chidozie Awaziem,ng  NGA,DF,Leganés,22,1997,22.2,10,0,0,22,14,2,8,12,26,0,0,0,186,50,48,51.0
33,Ramon Azeez,ng  NGA,MF,Granada,26,1992,15.1,3,0,0,29,19,1,3,15,14,0,0,0,128,19,28,40.4
34,Iddrisu Baba,gh  GHA,MF,Mallorca,23,1996,32.3,6,0,0,41,59,1,3,23,45,0,3,1,404,70,76,47.9
35,Carlos Bacca,co  COL,"FW,MF",Villarreal,32,1986,7.6,1,0,0,8,6,7,3,1,1,1,0,0,26,7,12,36.8
36,Alex Baena,es  ESP,MF,Villarreal,18,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,Gareth Bale,wal  WAL,"FW,MF",Real Madrid,30,1989,12.1,4,1,1,16,10,5,51,4,7,0,0,0,42,22,12,64.7
38,Mikel Balenziaga,es  ESP,DF,Athletic Club,31,1988,6.3,1,0,0,6,3,0,6,4,5,0,0,0,64,11,2,84.6
39,Éver Banega,ar  ARG,MF,Sevilla,31,1988,27.5,10,0,0,31,57,2,46,14,30,0,0,0,256,15,20,42.9
40,Federico Barba,it  ITA,DF,Valladolid,25,1993,5.0,3,0,0,8,5,0,5,5,8,0,0,0,31,7,2,77.8
41,Enis Bardhi,mk  MKD,MF,Levante,24,1995,23.5,5,0,0,46,45,4,24,15,27,1,0,0,156,3,30,9.1
42,Kike Barja,es  ESP,"MF,FW",Osasuna,22,1997,3.5,0,0,0,5,4,0,8,0,1,0,0,0,26,5,8,38.5
43,Antonio Barragán,es  ESP,DF,Betis,32,1987,7.1,3,0,0,9,13,1,37,5,1,0,1,0,48,9,3,75.0
44,Ander Barrenetxea,es  ESP,"FW,MF",Real Sociedad,17,2001,4.9,1,0,0,14,5,1,18,0,6,0,1,0,32,7,8,46.7
45,Marc Bartra,es  ESP,"DF,MF",Betis,28,1991,28.0,8,0,0,34,27,1,2,25,37,0,3,0,303,111,57,66.1
46,Gil Bastião Dias,pt  POR,"DF,MF",Granada,22,1996,4.0,1,0,0,8,1,0,7,2,10,0,0,0,39,4,6,40.0
47,Fran Beltrán,es  ESP,MF,Celta Vigo,20,1999,20.3,2,1,0,12,11,1,6,11,24,0,1,0,166,8,31,20.5
48,Hatem Ben Arfa,fr  FRA,"MF,FW",Valladolid,32,1987,1.8,1,0,0,2,0,1,1,0,0,0,0,0,10,2,0,100.0
49,Karim Benzema,fr  FRA,FW,Real Madrid,31,1987,34.9,0,0,0,21,15,27,26,11,13,0,0,0,126,28,48,36.8
50,Yuri Berchiche,es  ESP,DF,Athletic Club,29,1990,31.7,7,0,0,33,49,2,80,22,31,0,2,0,320,49,25,66.2
