,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Antonio Adán,es  ESP,GK,Atlético Madrid,32,1987,0.3,6,5,1,0,0,0,0,0,0,0,0,0,3,0,3,2,2,0,0,1,4,0,0,0,0
1,Aritz Aduriz,es  ESP,FW,Athletic Club,38,1981,2.3,57,57,0,0,0,22,2,1,0,0,0,0,21,16,20,3,26,8,0,3,33,0,5,0,1
2,Lumor Agbenyenu,gh  GHA,DF,Mallorca,22,1996,20.1,969,747,222,11,1,164,24,54,0,0,0,0,497,248,224,646,63,42,211,2,709,7,37,18,45
3,Martin Agirregabiria,es  ESP,DF,Alavés,23,1996,23.3,1014,765,249,9,1,161,22,30,2,0,1,0,484,234,296,39,661,61,238,3,722,3,31,17,44
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,23,1995,27.8,1223,1177,46,38,1,169,32,1,0,0,0,0,954,105,164,232,904,52,8,3,1073,0,14,6,18
5,Jordi Alba,es  ESP,DF,Barcelona,30,1989,24.3,2141,1940,201,30,1,173,31,79,2,0,0,0,1526,365,250,1651,269,43,169,4,1864,5,20,30,66
6,Raúl Albiol,es  ESP,DF,Villarreal,33,1985,36.0,1882,1830,52,47,1,197,120,4,0,0,0,0,1285,223,374,209,1521,97,3,6,1619,4,47,15,10
7,Paco Alcácer,es  ESP,FW,Villarreal,25,1993,10.3,230,206,24,1,2,42,0,3,1,0,0,0,143,54,33,39,170,11,1,6,181,1,3,2,6
8,Rubén Alcaraz,es  ESP,MF,Valladolid,28,1991,21.4,1059,951,108,85,2,202,93,12,19,7,5,0,613,172,274,136,837,50,4,6,831,2,35,16,23
9,Álex Alegría,es  ESP,FW,Mallorca,26,1992,1.2,35,35,0,0,0,14,1,0,0,0,0,0,13,10,12,2,18,5,0,1,23,1,0,1,0
10,Yeray Álvarez,es  ESP,DF,Athletic Club,24,1995,31.2,1403,1335,68,57,1,152,50,11,0,0,0,0,935,158,310,89,1164,96,11,6,1149,6,40,9,13
11,Ibrahim Amadou,fr  FRA,MF,Leganés,26,1993,8.6,292,290,2,1,0,64,6,3,0,0,0,0,186,64,42,28,235,10,1,1,231,0,8,7,11
12,Amath,sn  SEN,MF,Getafe,23,1996,0.7,17,15,2,1,0,4,1,0,1,0,0,0,13,1,3,4,11,2,0,0,12,0,0,0,3
13,Miguel Ángel Guerrero,es  ESP,FW,Leganés,29,1990,8.8,201,184,17,0,1,42,2,2,0,0,0,0,101,59,41,25,126,27,0,6,149,1,8,2,6
14,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,35,1984,13.0,458,322,136,36,0,41,7,0,0,0,0,0,220,36,202,44,331,1,0,58,363,1,7,2,0
15,José Ángel,es  ESP,DF,Eibar,29,1989,26.2,1464,1086,378,61,3,212,86,108,5,0,4,0,555,329,580,930,120,59,312,6,982,11,62,22,44
16,Antoñito,es  ESP,"DF,MF",Valladolid,31,1987,11.4,452,356,96,3,1,48,8,32,0,0,0,0,225,95,132,29,311,10,93,1,321,4,7,8,13
17,Vitorino Antunes,pt  POR,MF,Getafe,32,1987,0.1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
18,Anuar,ma  MAR,"MF,FW",Valladolid,24,1995,2.1,101,99,2,1,0,18,1,1,1,0,0,0,76,12,13,7,82,10,0,0,86,0,1,0,1
19,Mauro Arambarri,uy  URU,MF,Getafe,23,1995,34.1,972,926,46,26,1,204,78,32,15,3,3,0,420,192,360,98,704,111,2,5,649,6,36,6,32
20,Néstor Araujo,mx  MEX,DF,Celta Vigo,27,1991,32.1,1482,1417,65,63,0,204,29,2,0,0,0,0,1102,143,237,286,1058,86,2,5,1290,1,30,14,9
21,Ronald Araújo,uy  URU,DF,Barcelona,20,1999,2.6,208,204,4,2,0,14,1,0,0,0,0,0,182,13,13,22,178,6,1,0,197,0,1,0,2
22,Anaitz Arbilla,es  ESP,DF,Eibar,32,1987,22.3,1169,1022,147,51,0,166,99,18,1,0,1,0,555,211,403,285,660,92,95,7,870,5,53,17,26
23,Alphonse Areola,fr  FRA,GK,Real Madrid,26,1993,4.0,135,96,39,10,0,9,2,0,0,0,0,0,90,7,38,10,97,1,0,26,114,0,2,0,0
