,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Antonio Adán,es  ESP,GK,Atlético Madrid,32,1987,1,25,25,0.7,0.3,0,,0,1,25,37,0.00,0,0,0,0.00,-0.64,0.5,0.1,+0.4,+1.48,+0.91
1,Aritz Aduriz,es  ESP,FW,Athletic Club,38,1981,14,208,15,6.1,2.3,0,,0,14,15,3,1.29,2,1,+1,+0.43,+0.38,2.8,2.3,+0.5,+0.21,+0.44
2,Lumor Agbenyenu,gh  GHA,DF,Mallorca,22,1996,23,1805,78,52.8,20.1,20,83,14,3,49,3,1.04,24,33,-9,-0.45,+0.44,22.8,27.5,-4.7,-0.23,+0.70
3,Martin Agirregabiria,es  ESP,DF,Alavés,23,1996,31,2099,68,61.4,23.3,23,84,16,8,22,5,1.00,20,38,-18,-0.77,-0.29,21.8,37.0,-15.2,-0.65,-0.58
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,23,1995,32,2502,78,73.2,27.8,27,89,25,5,20,5,0.97,24,34,-10,-0.36,-0.16,28.7,29.8,-1.1,-0.04,+0.26
5,Sergio Akieme,es  ESP,DF,Barcelona,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
6,Jordi Alba,es  ESP,DF,Barcelona,30,1989,27,2187,81,63.9,24.3,25,86,21,2,23,2,2.04,53,23,+30,+1.23,-0.08,41.6,22.8,+18.8,+0.78,-0.05
7,Raúl Albiol,es  ESP,DF,Villarreal,33,1985,36,3237,90,94.6,36.0,36,90,35,0,,1,1.67,61,44,+17,+0.47,+1.95,55.3,40.9,+14.4,+0.40,+1.36
8,Paco Alcácer,es  ESP,FW,Villarreal,25,1993,13,924,71,27.0,10.3,11,77,3,2,36,1,1.77,14,13,+1,+0.10,-0.37,13.1,10.8,+2.3,+0.22,-0.14
9,Rubén Alcaraz,es  ESP,MF,Valladolid,28,1991,27,1927,71,56.3,21.4,20,85,16,7,33,3,1.15,17,25,-8,-0.37,-0.19,19.2,25.2,-6.0,-0.28,+0.01
