,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Antonio Adán,es  ESP,GK,Atlético Madrid,32,1987,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1,Aritz Aduriz,es  ESP,FW,Athletic Club,38,1981,2.3,1,1,0,1,0,0,0,,0,16,4,25.0,4,5,7,0,0,0,0,0,1,3,0
2,Lumor Agbenyenu,gh  GHA,DF,Mallorca,22,1996,20.1,35,23,24,9,2,18,35,51.4,17,225,66,29.3,129,70,26,37,1,0,36,11,46,62,0
3,Martin Agirregabiria,es  ESP,DF,Alavés,23,1996,23.3,50,22,24,21,5,25,50,50.0,25,248,60,24.2,118,106,24,39,8,0,31,9,59,68,1
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,23,1995,27.8,40,26,28,11,1,8,28,28.6,20,304,108,35.5,218,79,7,42,16,0,26,33,73,162,1
5,Jordi Alba,es  ESP,DF,Barcelona,30,1989,24.3,25,14,10,9,6,8,30,26.7,22,231,68,29.4,89,95,47,40,5,0,35,25,50,42,1
6,Raúl Albiol,es  ESP,DF,Villarreal,33,1985,36.0,50,33,31,18,1,18,33,54.5,15,278,85,30.6,172,102,4,40,21,0,19,17,67,254,4
7,Paco Alcácer,es  ESP,FW,Villarreal,25,1993,10.3,4,2,2,2,0,1,12,8.3,11,146,43,29.5,18,67,61,10,2,0,8,2,6,9,0
8,Rubén Alcaraz,es  ESP,MF,Valladolid,28,1991,21.4,59,36,34,20,5,23,61,37.7,38,444,130,29.3,184,232,28,57,20,0,37,16,75,68,0
9,Álex Alegría,es  ESP,FW,Mallorca,26,1992,1.2,1,0,0,1,0,0,0,,0,21,6,28.6,1,8,12,1,0,0,1,1,2,0,0
10,Yeray Álvarez,es  ESP,DF,Athletic Club,24,1995,31.2,39,25,27,11,1,13,31,41.9,18,222,79,35.6,145,64,13,58,23,2,35,34,73,264,2
11,Ibrahim Amadou,fr  FRA,MF,Leganés,26,1993,8.6,16,9,7,9,0,3,10,30.0,7,161,42,26.1,53,90,18,7,0,0,7,5,21,8,0
12,Amath,sn  SEN,MF,Getafe,23,1996,0.7,2,0,1,0,1,0,4,0.0,4,36,10,27.8,8,16,12,1,0,0,1,1,3,1,0
13,Miguel Ángel Guerrero,es  ESP,FW,Leganés,29,1990,8.8,1,1,0,1,0,0,6,0.0,6,129,28,21.7,2,77,50,5,0,0,5,1,2,5,0
14,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,35,1984,13.0,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,0,0,0,0,0,0,1,1
