,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Antonio Adán,es  ESP,GK,Atlético Madrid,32,1987,0.3,4,6,66.7,121,98,1,1,100.0,1,1,100.0,2,4,50.0,0,0.0,0.0,0,0,0,0,0
1,Aritz Aduriz,es  ESP,FW,Athletic Club,38,1981,2.3,33,57,57.9,428,88,26,34,76.5,6,16,37.5,1,6,16.7,0,0.0,0.0,0,3,0,0,3
2,Lumor Agbenyenu,gh  GHA,DF,Mallorca,22,1996,20.1,709,969,73.2,12417,6167,327,373,87.7,304,410,74.1,67,137,48.9,0,1.9,-1.9,16,47,21,12,70
3,Martin Agirregabiria,es  ESP,DF,Alavés,23,1996,23.3,722,1014,71.2,12629,6069,329,385,85.5,314,408,77.0,70,172,40.7,1,1.0,0.0,12,36,14,5,60
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,23,1995,27.8,1073,1223,87.7,23979,6722,233,262,88.9,615,659,93.3,219,279,78.5,1,0.8,+0.2,2,61,2,0,62
5,Jordi Alba,es  ESP,DF,Barcelona,30,1989,24.3,1864,2141,87.1,30213,9511,976,1055,92.5,713,797,89.5,140,203,69.0,5,3.3,+1.7,28,126,38,18,141
6,Raúl Albiol,es  ESP,DF,Villarreal,33,1985,36.0,1619,1882,86.0,41783,12195,283,313,90.4,815,882,92.4,515,671,76.8,0,0.4,-0.4,5,96,5,1,78
7,Paco Alcácer,es  ESP,FW,Villarreal,25,1993,10.3,181,230,78.7,2575,372,112,133,84.2,54,66,81.8,9,17,52.9,1,1.6,-0.6,9,6,6,0,9
8,Rubén Alcaraz,es  ESP,MF,Valladolid,28,1991,21.4,831,1059,78.5,19154,4979,254,295,86.1,380,425,89.4,186,300,62.0,2,0.8,+1.2,14,95,4,1,72
9,Álex Alegría,es  ESP,FW,Mallorca,26,1992,1.2,23,35,65.7,329,41,14,23,60.9,4,5,80.0,3,4,75.0,0,0.0,0.0,0,1,0,0,0
10,Yeray Álvarez,es  ESP,DF,Athletic Club,24,1995,31.2,1149,1403,81.9,26106,8436,283,319,88.7,595,652,91.3,260,408,63.7,0,0.5,-0.5,3,72,8,3,84
11,Ibrahim Amadou,fr  FRA,MF,Leganés,26,1993,8.6,231,292,79.1,3864,785,116,139,83.5,94,112,83.9,17,29,58.6,0,0.0,0.0,1,17,1,1,14
12,Amath,sn  SEN,MF,Getafe,23,1996,0.7,12,17,70.6,201,65,7,8,87.5,4,4,100.0,1,2,50.0,0,0.0,0.0,0,2,0,0,1
13,Miguel Ángel Guerrero,es  ESP,FW,Leganés,29,1990,8.8,149,201,74.1,2142,370,84,108,77.8,47,63,74.6,9,17,52.9,0,0.6,-0.6,8,9,3,0,14
14,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,35,1984,13.0,363,458,79.3,11153,6654,45,46,97.8,170,171,99.4,147,240,61.3,0,0.0,0.0,0,2,0,0,0
