,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-06,15:00,Premier League,Matchweek 1,Sat,Home,W,2,0,Nott'ham Forest,1.7,0.3,61.0,52245.0,Kieran Trippier,4-3-3,Simon Hooper,Match Report,
1,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Away,D,0,0,Brighton,0.2,1.5,46.0,31552.0,Kieran Trippier,4-3-3,Graham Scott,Match Report,
2,2022-08-21,16:30,Premier League,Matchweek 3,Sun,Home,D,3,3,Manchester City,1.8,2.1,31.0,52258.0,Kieran Trippier,4-3-3,Jarred Gillett,Match Report,
3,2022-08-24,19:45,EFL Cup,Second round,Wed,Away,W,2,1,Tranmere Rovers,,,71.0,10961.0,Jamaal Lascelles,4-3-3,Anthony Backhouse,Match Report,
4,2022-08-28,14:00,Premier League,Matchweek 4,Sun,Away,D,1,1,Wolves,1.7,0.7,63.0,31311.0,Kieran Trippier,4-3-3,Peter Bankes,Match Report,
5,2022-08-31,20:00,Premier League,Matchweek 5,Wed,Away,L,1,2,Liverpool,0.7,1.5,28.0,53316.0,Jamaal Lascelles,4-3-3,Andre Marriner,Match Report,
6,2022-09-03,15:00,Premier League,Matchweek 6,Sat,Home,D,0,0,Crystal Palace,2.8,1.0,52.0,51863.0,Kieran Trippier,4-3-3,Michael Salisbury,Match Report,
7,2022-09-11,14:00,Premier League,Matchweek 7,Sun,Away,,,,West Ham,,,,,,,,,Match Postponed
8,2022-09-17,15:00,Premier League,Matchweek 8,Sat,Home,D,1,1,Bournemouth,1.9,0.7,72.0,52238.0,Kieran Trippier,4-3-3,Craig Pawson,Match Report,
9,2022-10-01,15:00,Premier League,Matchweek 9,Sat,Away,W,4,1,Fulham,3.3,0.5,67.0,22913.0,Kieran Trippier,4-3-3,Darren England,Match Report,
10,2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,5,1,Brentford,1.5,1.2,54.0,52067.0,Kieran Trippier,4-3-3,John Brooks,Match Report,
11,2022-10-16,14:00,Premier League,Matchweek 11,Sun,Away,D,0,0,Manchester Utd,0.8,0.8,37.0,73726.0,Kieran Trippier,4-3-3,Craig Pawson,Match Report,
12,2022-10-19,19:30,Premier League,Matchweek 12,Wed,Home,W,1,0,Everton,1.5,0.2,49.0,52247.0,Kieran Trippier,4-3-3,Tony Harrington,Match Report,
13,2022-10-23,16:30,Premier League,Matchweek 13,Sun,Away,W,2,1,Tottenham,1.2,1.6,47.0,61726.0,Kieran Trippier,4-3-3,Jarred Gillett,Match Report,
14,2022-10-29,15:00,Premier League,Matchweek 14,Sat,Home,W,4,0,Aston Villa,3.4,0.4,59.0,52233.0,Kieran Trippier,4-3-3,Paul Tierney,Match Report,
15,2022-11-06,14:00,Premier League,Matchweek 15,Sun,Away,W,4,1,Southampton,0.9,1.7,45.0,30402.0,Kieran Trippier,4-3-3,Stuart Attwell,Match Report,
16,2022-11-09,19:45,EFL Cup,Third round,Wed,Home,D,0  (3),0  (2),Crystal Palace,,,66.0,51660.0,Jamaal Lascelles,4-3-3,Graham Scott,Match Report,Newcastle Utd won on penalty kicks following extra time
17,2022-11-12,17:30,Premier League,Matchweek 16,Sat,Home,W,1,0,Chelsea,1.0,0.3,49.0,52264.0,Kieran Trippier,4-3-3,Robert Jones,Match Report,
18,2022-12-20,19:45,EFL Cup,Fourth round,Tue,Home,W,1,0,Bournemouth,,,63.0,51579.0,Kieran Trippier,4-3-3,John Brooks,Match Report,
19,2022-12-26,15:00,Premier League,Matchweek 17,Mon,Away,W,3,0,Leicester City,1.9,0.5,40.0,32185.0,Kieran Trippier,4-3-3,Jarred Gillett,Match Report,
20,2022-12-31,15:00,Premier League,Matchweek 18,Sat,Home,D,0,0,Leeds United,2.2,0.4,60.0,52211.0,Kieran Trippier,4-3-3,Simon Hooper,Match Report,
21,2023-01-03,19:45,Premier League,Matchweek 19,Tue,Away,D,0,0,Arsenal,1.0,1.1,34.0,60319.0,Kieran Trippier,4-3-3,Andy Madley,Match Report,
22,2023-01-07,18:00,FA Cup,Third round proper,Sat,Away,L,1,2,Sheffield Weds,,,75.0,25884.0,Jamaal Lascelles,4-3-3,Michael Salisbury,Match Report,
23,2023-01-10,20:00,EFL Cup,Quarter-finals,Tue,Home,,,,Leicester City,,,,,,,,Head-to-Head,
24,2023-01-15,14:00,Premier League,Matchweek 20,Sun,Home,,,,Fulham,,,,,,,,Head-to-Head,
25,2023-01-21,17:30,Premier League,Matchweek 21,Sat,Away,,,,Crystal Palace,,,,,,,,Head-to-Head,
26,2023-02-04,17:30,Premier League,Matchweek 22,Sat,Home,,,,West Ham,,,,,,,,Head-to-Head,
27,2023-02-11,17:30,Premier League,Matchweek 23,Sat,Away,,,,Bournemouth,,,,,,,,Head-to-Head,
28,2023-02-18,17:30,Premier League,Matchweek 24,Sat,Home,,,,Liverpool,,,,,,,,Head-to-Head,
29,2023-02-25,12:30,Premier League,Matchweek 25,Sat,Home,,,,Brighton,,,,,,,,Head-to-Head,
30,2023-03-04,15:00,Premier League,Matchweek 26,Sat,Away,,,,Manchester City,,,,,,,,Head-to-Head,
31,2023-03-11,15:00,Premier League,Matchweek 27,Sat,Home,,,,Wolves,,,,,,,,Head-to-Head,
32,2023-03-18,15:00,Premier League,Matchweek 28,Sat,Away,,,,Nott'ham Forest,,,,,,,,Head-to-Head,
