,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2020-09-12,18:30,La Liga,Matchweek 1,Sat,Away,L,0,2,Granada,0.5,0.4,60,,Iker Muniain,4-2-3-1,Antonio Matéu Lahoz,Match Report,
1,2020-09-27,14:00,La Liga,Matchweek 3,Sun,Away,W,2,1,Eibar,0.6,0.6,51,,Iker Muniain,4-2-3-1,Adrián Cordero,Match Report,
2,2020-10-01,19:00,La Liga,Matchweek 4,Thu,Home,L,0,1,Cádiz,0.6,0.2,72,,Iker Muniain,4-2-3-1,Pablo González,Match Report,
3,2020-10-04,14:00,La Liga,Matchweek 5,Sun,Away,L,0,1,Alavés,0.6,0.6,59,,Raúl García,4-2-3-1,José Sánchez,Match Report,
4,2020-10-18,14:00,La Liga,Matchweek 6,Sun,Home,W,2,0,Levante,2.3,0.3,52,,Iker Muniain,4-2-3-1,Alberola Rojas,Match Report,
5,2020-10-24,18:30,La Liga,Matchweek 7,Sat,Away,L,0,1,Osasuna,0.7,1.2,61,,Iker Muniain,4-2-3-1,Guillermo Cuadra,Match Report,
6,2020-10-31,16:15,La Liga,Matchweek 8,Sat,Home,W,2,1,Sevilla,1.2,1.1,47,,Raúl García,4-2-3-1,Carlos del Cerro,Match Report,
7,2020-11-08,18:30,La Liga,Matchweek 9,Sun,Away,L,1,2,Valladolid,1.7,2.1,70,,Iker Muniain,4-2-3-1,César Soto,Match Report,
8,2020-11-23,21:00,La Liga,Matchweek 10,Mon,Home,W,4,0,Betis,2.5,0.4,41,,Iker Muniain,4-2-3-1,Alberola Rojas,Match Report,
9,2020-11-29,16:15,La Liga,Matchweek 11,Sun,Away,D,1,1,Getafe,0.3,0.5,49,,Iker Muniain,4-2-3-1,Mario Melero,Match Report,
10,2020-12-04,21:00,La Liga,Matchweek 12,Fri,Home,L,0,2,Celta Vigo,0.5,1.2,51,,Iker Muniain,4-2-3-1,Jorge Figueroa,Match Report,
11,2020-12-12,14:00,La Liga,Matchweek 13,Sat,Away,D,2,2,Valencia,1.9,1.5,59,,Iker Muniain,4-2-3-1,Carlos del Cerro,Match Report,
12,2020-12-15,22:00,La Liga,Matchweek 19,Tue,Away,L,1,3,Real Madrid,0.8,2.2,32,,Óscar de Marcos,4-2-3-1,Jesús Gil,Match Report,
13,2020-12-18,21:00,La Liga,Matchweek 14,Fri,Home,W,2,0,Huesca,1.4,0.2,54,,Iker Muniain,4-2-3-1,Valentín Pizarro,Match Report,
14,2020-12-22,22:00,La Liga,Matchweek 15,Tue,Away,D,1,1,Villarreal,0.8,1.4,35,,Iker Muniain,4-2-3-1,David Medié,Match Report,
15,2020-12-31,14:00,La Liga,Matchweek 16,Thu,Home,L,0,1,Real Sociedad,0.2,1.6,60,,Iker Muniain,4-2-3-1,José Sánchez,Match Report,
16,2021-01-03,14:00,La Liga,Matchweek 17,Sun,Home,W,1,0,Elche,1.4,0.2,49,,Iker Muniain,4-2-3-1,Mario Melero,Match Report,
17,2021-01-06,21:00,La Liga,Matchweek 2,Wed,Home,L,2,3,Barcelona,0.6,1.6,43,,Iker Muniain,4-4-2,Carlos del Cerro,Match Report,
18,2021-01-14,21:00,Supercopa de España,Semi-finals,Thu,Away,W,2,1,Real Madrid,,,30,,Iker Muniain,4-4-2,Juan Martínez,Match Report,
19,2021-01-17,21:00,Supercopa de España,Final,Sun,Away,W,3,2,Barcelona,,,32,,Iker Muniain,4-4-2,Jesús Gil,Match Report,Required Extra Time
20,2021-01-21,19:00,Copa del Rey,Round of 32,Thu,Away,W,2,1,UD Ibiza,,,44,,Mikel Balenziaga,4-4-2,Pablo González,Match Report,
21,2021-01-25,21:00,La Liga,Matchweek 20,Mon,Home,W,5,1,Getafe,2.0,1.3,51,,Iker Muniain,4-4-2,Adrián Cordero,Match Report,
22,2021-01-28,21:00,Copa del Rey,Round of 16,Thu,Away,W,2,1,Alcoyano,,,69,,Iñigo Lekue,4-4-2,David Medié,Match Report,
23,2021-01-31,21:00,La Liga,Matchweek 21,Sun,Away,L,1,2,Barcelona,0.3,1.9,42,,Iker Muniain,4-4-2,Antonio Matéu Lahoz,Match Report,
24,2021-02-04,21:00,Copa del Rey,Quarter-finals,Thu,Away,D,1  (4),1  (1),Betis,,,44,,Óscar de Marcos,4-4-2,Alejandro Hernández,Match Report,Athletic Club won on penalty kicks following extra time
25,2021-02-07,16:15,La Liga,Matchweek 22,Sun,Home,D,1,1,Valencia,1.2,0.9,50,,Mikel Balenziaga,4-4-2,José Luis Munuera,Match Report,
26,2021-02-11,21:00,Copa del Rey,Semi-finals,Thu,Home,D,1,1,Levante,,,52,,Iker Muniain,4-4-2,Jesús Gil,Match Report,Leg 1 of 2
27,2021-02-15,21:00,La Liga,Matchweek 23,Mon,Away,W,4,0,Cádiz,2.2,0.5,57,,Iker Muniain,4-4-2,Alejandro Hernández,Match Report,
28,2021-02-21,21:00,La Liga,Matchweek 24,Sun,Home,D,1,1,Villarreal,2.6,0.1,48,,Iker Muniain,4-4-2,Carlos del Cerro,Match Report,
