,Athletic Club (4-4-2),Athletic Club (4-4-2).1
0,26,Julen Agirrezabala
1,4,Iñigo Martínez
2,7,Álex Berenguer
3,8,Oihan Sancet
4,9,Iñaki Williams
5,10,Iker Muniain
6,14,Dani García
7,15,Iñigo Lekue
8,16,Unai Vencedor Paris
9,24,Mikel Balenziaga
10,28,Daniel Vivian
11,Bench,Bench
12,13,Jokin Ezkieta
13,3,Unai Núñez
14,6,Mikel Vesga
15,11,Jon Morcillo
16,18,Óscar de Marcos
17,19,Oier Zarraga
18,20,Asier Villalibre
19,22,Raúl García
20,30,Nico Williams
21,33,Nicolás Serrano
