,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Memphis Depay,9.0,nl  NED,"FW,LW",27-189,90,50,1,1,16,34,7,45,2,3,66.7,3,0,34,183,138,12,0,5,4,1,59,43,72.9,13
1,Martin Braithwaite,12.0,dk  DEN,LW,30-077,61,19,3,5,10,5,2,18,0,0,,0,0,11,86,61,4,1,1,1,0,20,11,55.0,3
2,Yusuf Demir,27.0,at  AUT,RW,18-080,29,17,0,2,7,8,2,16,0,0,,0,0,15,51,28,1,0,0,1,2,17,14,82.4,2
3,Antoine Griezmann,7.0,fr  FRA,"RW,FW",30-153,90,47,3,7,26,16,2,47,0,0,,0,0,35,218,126,5,0,1,1,0,51,37,72.5,4
4,Pedri,16.0,es  ESP,CM,18-269,61,43,1,9,29,10,0,42,0,1,0.0,1,0,33,246,124,6,2,0,1,0,47,37,78.7,2
5,Sergi Roberto,20.0,es  ESP,CM,29-195,29,23,1,5,13,5,0,22,0,0,,0,0,13,59,32,1,0,0,0,1,21,18,85.7,1
6,Frenkie de Jong,21.0,nl  NED,CM,24-101,90,100,6,29,58,21,7,99,0,2,0.0,0,0,67,416,251,12,3,0,1,2,75,72,96.0,6
7,Sergio Busquets,5.0,es  ESP,DM,33-036,90,87,9,37,51,6,0,87,0,0,,0,0,58,246,163,1,0,0,0,0,67,65,97.0,0
8,Jordi Alba,18.0,es  ESP,LB,32-153,90,108,5,35,48,29,5,94,1,2,50.0,2,1,65,183,86,5,2,1,2,0,80,75,93.8,7
9,Gerard Piqué,3.0,es  ESP,CB,34-200,30,29,11,19,10,0,0,27,0,0,,0,0,13,57,6,0,0,0,0,0,19,17,89.5,0
10,Ronald Araújo,4.0,uy  URU,CB,22-167,60,46,11,35,12,0,0,41,0,0,,0,0,28,142,42,2,0,0,0,0,30,30,100.0,0
11,Eric García,24.0,es  ESP,CB,20-224,89,71,17,44,30,0,0,71,0,0,,0,0,48,232,113,4,0,0,0,0,57,56,98.2,0
12,Sergiño Dest,2.0,us  USA,RB,20-291,81,60,2,27,23,16,3,55,3,5,60.0,3,0,45,275,208,9,3,0,3,2,47,42,89.4,7
13,Emerson,22.0,br  BRA,RB,22-219,9,11,0,5,4,2,1,10,0,0,,0,0,6,37,13,1,0,0,1,0,9,8,88.9,1
14,Neto,13.0,br  BRA,GK,32-033,90,54,47,54,0,0,0,39,0,0,,0,0,27,84,57,0,0,0,0,0,21,21,100.0,0
15,15 Players,,,,,989,765,117,314,337,152,29,713,6,13,46.2,9,1,498,2515,1448,63,11,8,15,8,620,546,88.1,46
