,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Memphis Depay,9.0,nl  NED,"FW,LW",27-189,90,27,39,69.2,408,122,21,22,95.5,4,7,57.1,2,8,25.0,0,0.0,1,1,3,1,4
1,Martin Braithwaite,12.0,dk  DEN,LW,30-077,61,12,12,100.0,166,14,8,8,100.0,4,4,100.0,0,0,,0,0.0,0,0,1,0,1
2,Yusuf Demir,27.0,at  AUT,RW,18-080,29,12,13,92.3,125,33,11,12,91.7,1,1,100.0,0,0,,0,0.0,0,0,1,0,1
3,Antoine Griezmann,7.0,fr  FRA,"RW,FW",30-153,90,31,35,88.6,691,184,15,17,88.2,9,9,100.0,7,7,100.0,0,0.0,0,5,0,0,7
4,Pedri,16.0,es  ESP,CM,18-269,61,34,37,91.9,656,121,14,14,100.0,10,10,100.0,8,10,80.0,0,0.1,1,8,0,0,4
5,Sergi Roberto,20.0,es  ESP,CM,29-195,29,20,22,90.9,277,37,15,15,100.0,4,5,80.0,1,2,50.0,1,0.1,1,1,0,0,1
6,Frenkie de Jong,21.0,nl  NED,CM,24-101,90,73,84,86.9,1243,371,37,41,90.2,27,30,90.0,7,8,87.5,0,0.1,2,7,0,0,9
7,Sergio Busquets,5.0,es  ESP,DM,33-036,90,59,75,78.7,1186,403,26,29,89.7,20,26,76.9,11,17,64.7,0,0.0,0,8,1,0,6
8,Jordi Alba,18.0,es  ESP,LB,32-153,90,77,92,83.7,1281,463,32,36,88.9,39,43,90.7,4,9,44.4,0,0.0,1,8,3,0,9
9,Gerard Piqué,3.0,es  ESP,CB,34-200,30,21,22,95.5,460,66,7,8,87.5,9,9,100.0,5,5,100.0,0,0.0,0,0,0,0,0
10,Ronald Araújo,4.0,uy  URU,CB,22-167,60,34,39,87.2,657,112,9,9,100.0,21,21,100.0,4,9,44.4,0,0.0,0,0,0,0,0
11,Eric García,24.0,es  ESP,CB,20-224,89,55,60,91.7,1288,390,12,13,92.3,33,35,94.3,10,12,83.3,0,0.0,0,4,0,0,2
12,Sergiño Dest,2.0,us  USA,RB,20-291,81,41,46,89.1,729,191,20,21,95.2,17,19,89.5,4,4,100.0,0,0.0,0,2,1,1,2
13,Emerson,22.0,br  BRA,RB,22-219,9,7,7,100.0,133,20,3,3,100.0,3,3,100.0,1,1,100.0,0,0.0,0,0,0,0,0
14,Neto,13.0,br  BRA,GK,32-033,90,43,49,87.8,1325,715,8,8,100.0,13,15,86.7,22,26,84.6,0,0.0,0,0,0,0,0
15,15 Players,,,,,989,546,632,86.4,10625,3242,238,256,93.0,214,237,90.3,86,118,72.9,1,0.4,6,44,10,2,46
