,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Iñaki Williams,9.0,es  ESP,FW,27-067,90,15,15,0,0,0,4,0,2,0,0,0,0,9,2,4,2,11,2,0,0,10,0,1,1,1
1,Oihan Sancet,8.0,es  ESP,FW,21-118,66,16,16,0,0,0,0,0,0,0,0,0,0,9,3,4,1,14,1,0,0,11,0,0,2,0
2,Raúl García,22.0,es  ESP,FW,35-041,24,6,5,1,0,0,2,0,0,0,0,0,0,2,2,2,1,3,0,0,0,3,0,0,0,1
3,Iker Muniain,10.0,es  ESP,LM,28-245,75,33,26,7,1,0,4,1,2,5,0,5,0,21,2,10,2,30,1,0,0,22,1,0,1,1
4,Nico Williams,30.0,es  ESP,LM,19-040,15,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,3,0,0,1,0
5,Álex Berenguer,7.0,es  ESP,RM,26-048,81,41,32,9,1,0,9,2,6,8,2,2,0,18,2,21,7,31,1,0,0,22,1,2,2,2
6,Jon Morcillo,11.0,es  ESP,RM,22-340,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7,Dani García,14.0,es  ESP,DM,31-089,81,18,18,0,0,0,2,0,0,0,0,0,0,15,2,1,4,14,0,0,0,14,0,0,0,1
8,Oier Zarraga,19.0,es  ESP,DM,22-229,9,3,3,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,1,0,0,3,0,0,0,0
9,Unai Vencedor Paris,16.0,es  ESP,DM,20-279,66,20,19,1,1,0,4,0,2,0,0,0,0,11,2,7,3,15,0,0,0,14,0,1,1,1
10,Mikel Vesga,6.0,es  ESP,DM,28-092,24,5,5,0,0,0,1,0,1,0,0,0,0,4,1,0,2,3,0,0,0,4,0,0,1,0
11,Mikel Balenziaga,24.0,es  ESP,LB,33-173,90,26,23,3,0,0,4,0,2,0,0,0,0,15,5,6,16,3,2,3,0,23,0,0,0,1
12,Iñigo Martínez,4.0,es  ESP,CB,30-096,90,25,23,2,2,0,1,2,0,0,0,0,0,14,1,10,22,1,2,0,0,18,0,2,2,0
13,Daniel Vivian,28.0,es  ESP,CB,22-037,90,28,26,2,2,0,6,3,0,0,0,0,0,20,2,6,4,24,0,0,0,24,1,0,1,0
14,Iñigo Lekue,15.0,es  ESP,RB,28-109,90,40,28,12,1,0,4,2,2,0,0,0,0,14,13,13,5,23,1,11,0,27,0,1,5,2
15,Julen Agirrezabala,26.0,es  ESP,GK,20-238,90,25,13,12,3,0,0,0,0,0,0,0,0,12,1,12,7,11,0,0,3,16,0,3,0,0
16,16 Players,,,,,990,306,257,49,11,0,42,10,18,13,2,7,0,170,39,97,78,188,11,14,3,214,3,10,17,10
