,Possession_Athletic Club,Possession_Barcelona
0,33%,67%
1,Passing Accuracy,Passing Accuracy
2,214 of 306 —  70%,86%  — 546 of 632
3,Shots on Target,Shots on Target
4,6 of 16 —  38%,33%  — 3 of 9
5,Saves,Saves
6,2 of 3 —  66%,83%  — 5 of 6
7,Cards,Cards
8,,
