,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Iñaki Williams,9.0,es  ESP,FW,27-067,90,10,15,66.7,145,27,4,4,100.0,5,7,71.4,0,2,0.0,0,0.0,0,0,1,0,1
1,Oihan Sancet,8.0,es  ESP,FW,21-118,66,11,16,68.8,162,61,7,9,77.8,3,5,60.0,1,1,100.0,0,0.2,2,2,1,0,3
2,Raúl García,22.0,es  ESP,FW,35-041,24,3,6,50.0,75,18,0,0,,3,5,60.0,0,0,,0,0.0,0,1,0,0,0
3,Iker Muniain,10.0,es  ESP,LM,28-245,75,22,33,66.7,340,173,9,12,75.0,8,9,88.9,2,8,25.0,1,0.1,2,3,4,2,8
4,Nico Williams,30.0,es  ESP,LM,19-040,15,3,4,75.0,70,0,0,1,0.0,2,2,100.0,1,1,100.0,0,0.0,0,0,0,0,0
5,Álex Berenguer,7.0,es  ESP,RM,26-048,81,22,41,53.7,310,161,14,14,100.0,5,10,50.0,2,14,14.3,0,0.3,2,0,1,0,2
6,Jon Morcillo,11.0,es  ESP,RM,22-340,9,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0,0,0,0,0
7,Dani García,14.0,es  ESP,DM,31-089,81,14,18,77.8,235,55,5,6,83.3,9,11,81.8,0,0,,0,0.0,1,3,0,0,3
8,Oier Zarraga,19.0,es  ESP,DM,22-229,9,3,3,100.0,52,18,1,1,100.0,2,2,100.0,0,0,,0,0.0,0,0,0,0,1
9,Unai Vencedor Paris,16.0,es  ESP,DM,20-279,66,14,20,70.0,251,108,6,8,75.0,7,9,77.8,1,2,50.0,0,0.0,0,2,0,0,3
10,Mikel Vesga,6.0,es  ESP,DM,28-092,24,4,5,80.0,56,4,2,2,100.0,2,3,66.7,0,0,,0,0.0,0,0,0,0,0
11,Mikel Balenziaga,24.0,es  ESP,LB,33-173,90,23,26,88.5,374,129,10,10,100.0,8,10,80.0,3,4,75.0,0,0.0,0,3,0,0,3
12,Iñigo Martínez,4.0,es  ESP,CB,30-096,90,18,25,72.0,520,223,3,3,100.0,9,12,75.0,6,10,60.0,0,0.0,0,3,0,0,1
13,Daniel Vivian,28.0,es  ESP,CB,22-037,90,24,28,85.7,633,264,7,8,87.5,10,11,90.9,7,9,77.8,0,0.0,0,2,0,0,2
14,Iñigo Lekue,15.0,es  ESP,RB,28-109,90,27,40,67.5,589,348,13,15,86.7,7,11,63.6,7,12,58.3,0,0.2,1,4,1,1,3
15,Julen Agirrezabala,26.0,es  ESP,GK,20-238,90,16,25,64.0,407,249,6,6,100.0,7,7,100.0,3,12,25.0,0,0.0,0,1,0,0,0
16,16 Players,,,,,990,214,306,69.9,4219,1838,87,99,87.9,87,114,76.3,33,76,43.4,1,0.7,8,24,8,3,30
