,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,matchId,startDate,startTime,score,ftScore,htScore,etScore,venueName,maxMinute,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isOwnGoal,isGoal,cardType.value,cardType.displayName,venue,opponent
0,2344092237.0,2,0,0.0,44,0.0,0.0,0,[],[],False,1592130,2021-10-19T00:00:00,2021-10-19T20:00:00,4 : 0,4 : 0,2 : 0,,Johan Cruijff Arena,93,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,,,Johan Cruijff Arena,Borussia Dortmund
1,2344092239.0,2,0,0.0,130,0.0,0.0,0,[],[],False,1592130,2021-10-19T00:00:00,2021-10-19T20:00:00,4 : 0,4 : 0,2 : 0,,Johan Cruijff Arena,93,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,,,Johan Cruijff Arena,Borussia Dortmund
2,2344092265.0,3,0,0.0,44,50.0,50.0,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 116, 29, 34, 37, 215, 217]",True,1592130,2021-10-19T00:00:00,2021-10-19T20:00:00,4 : 0,4 : 0,2 : 0,,Johan Cruijff Arena,93,1,FirstHalf,1,Pass,1,Successful,315227.0,47.8,44.0,,,,,,,,,,,,Johan Cruijff Arena,Borussia Dortmund
3,2344092293.0,4,0,0.0,44,47.8,44.0,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '63.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.4'}]","[90, 116, 29, 34, 36, 215, 217]",True,1592130,2021-10-19T00:00:00,2021-10-19T20:00:00,4 : 0,4 : 0,2 : 0,,Johan Cruijff Arena,93,1,FirstHalf,1,Pass,1,Successful,41330.0,34.9,63.2,,,,,,,,,,,,Johan Cruijff Arena,Borussia Dortmund
4,2344092321.0,5,0,1.0,44,34.9,63.2,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '51.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.9'}]","[90, 116, 29, 34, 37, 214, 217]",True,1592130,2021-10-19T00:00:00,2021-10-19T20:00:00,4 : 0,4 : 0,2 : 0,,Johan Cruijff Arena,93,1,FirstHalf,1,Pass,1,Successful,141556.0,32.9,51.9,,,,,,,,,,,,Johan Cruijff Arena,Borussia Dortmund
5,2344092349.0,6,0,2.0,44,32.9,51.9,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '63.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '25.6'}]","[90, 116, 29, 34, 36, 214, 217]",True,1592130,2021-10-19T00:00:00,2021-10-19T20:00:00,4 : 0,4 : 0,2 : 0,,Johan Cruijff Arena,93,1,FirstHalf,1,Pass,1,Successful,25191.0,25.6,63.6,,,,,,,,,,,,Johan Cruijff Arena,Borussia Dortmund
6,2344092443.0,7,0,5.0,44,25.6,63.6,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '35.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '22.6'}]","[90, 116, 29, 34, 37, 214, 217]",True,1592130,2021-10-19T00:00:00,2021-10-19T20:00:00,4 : 0,4 : 0,2 : 0,,Johan Cruijff Arena,93,1,FirstHalf,1,Pass,1,Successful,21541.0,22.6,35.9,,,,,,,,,,,,Johan Cruijff Arena,Borussia Dortmund
7,2344092497.0,8,0,10.0,44,23.4,23.3,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '4.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.8'}]","[90, 116, 29, 123, 35, 37, 215, 217]",True,1592130,2021-10-19T00:00:00,2021-10-19T20:00:00,4 : 0,4 : 0,2 : 0,,Johan Cruijff Arena,93,1,FirstHalf,1,Pass,1,Successful,297390.0,45.9,4.7,,,,,,,,,,,,Johan Cruijff Arena,Borussia Dortmund
8,2344092503.0,9,0,11.0,44,45.9,4.7,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 68]",True,1592130,2021-10-19T00:00:00,2021-10-19T20:00:00,4 : 0,4 : 0,2 : 0,,Johan Cruijff Arena,93,1,FirstHalf,61,BallTouch,0,Unsuccessful,104376.0,,,,,,,,,,,,,,Johan Cruijff Arena,Borussia Dortmund
9,2344092563.0,3,0,14.0,130,32.5,95.4,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.0'}]","[90, 93, 94, 215]",True,1592130,2021-10-19T00:00:00,2021-10-19T20:00:00,4 : 0,4 : 0,2 : 0,,Johan Cruijff Arena,93,1,FirstHalf,12,Clearance,1,Successful,70033.0,37.0,100.0,,,,,,,,,,,,Johan Cruijff Arena,Borussia Dortmund
10,2344092805.0,11,0,27.0,44,57.9,0.0,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.4'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '25.3'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '69.1'}]","[90, 211, 35, 36, 216]",True,1592130,2021-10-19T00:00:00,2021-10-19T20:00:00,4 : 0,4 : 0,2 : 0,,Johan Cruijff Arena,93,1,FirstHalf,1,Pass,1,Successful,104376.0,69.1,25.3,,,,,,,,,,,,Johan Cruijff Arena,Borussia Dortmund
11,2344092833.0,12,0,28.0,44,69.1,25.3,0,"[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '86.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.0'}]","[90, 119, 28, 138, 35, 36, 216, 217]",True,1592130,2021-10-19T00:00:00,2021-10-19T20:00:00,4 : 0,4 : 0,2 : 0,,Johan Cruijff Arena,93,1,FirstHalf,1,Pass,0,Unsuccessful,351354.0,86.0,31.0,,,,,,,,,,,,Johan Cruijff Arena,Borussia Dortmund
