,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-12,21:00,La Liga,Matchweek 1,Fri,Away,L,1.0,2.0,Osasuna,0.9,1.5,65.0,18536.0,Jesús Navas,4-2-3-1,Carlos del Cerro,Match Report,
1,2022-08-19,22:00,La Liga,Matchweek 2,Fri,Home,D,1.0,1.0,Valladolid,2.0,0.5,61.0,33991.0,Fernando,4-3-3,Juan Pulido,Match Report,
2,2022-08-27,22:00,La Liga,Matchweek 3,Sat,Away,L,1.0,2.0,Almería,1.0,2.3,67.0,13788.0,Jesús Navas,4-2-2-2,Jesús Gil,Match Report,
3,2022-09-03,21:00,La Liga,Matchweek 4,Sat,Home,L,0.0,3.0,Barcelona,1.0,4.0,46.0,40233.0,Ivan Rakitić,4-3-3,Antonio Matéu Lahoz,Match Report,
4,2022-09-06,21:00,Champions Lg,Group stage,Tue,Home,L,0.0,4.0,eng  Manchester City,0.3,3.6,39.0,38764.0,Jesús Navas,4-2-3-1,Davide Massa,Match Report,
5,2022-09-10,16:15,La Liga,Matchweek 5,Sat,Away,W,3.0,2.0,Espanyol,2.0,2.5,42.0,20135.0,Fernando,4-2-3-1,Guillermo Cuadra,Match Report,
6,2022-09-14,21:00,Champions Lg,Group stage,Wed,Away,D,0.0,0.0,dk  FC Copenhagen,0.8,0.7,63.0,34910.0,Ivan Rakitić,4-3-3,Irfan Peljto,Match Report,
7,2022-09-18,16:15,La Liga,Matchweek 6,Sun,Away,D,1.0,1.0,Villarreal,0.6,1.5,54.0,18292.0,Jesús Navas,4-2-3-1,Alejandro Hernández,Match Report,
8,2022-10-01,18:30,La Liga,Matchweek 7,Sat,Home,L,0.0,2.0,Atlético Madrid,0.5,2.2,60.0,37754.0,Nemanja Gudelj,4-2-3-1,Ricardo de Burgos,Match Report,
9,2022-10-05,21:00,Champions Lg,Group stage,Wed,Home,L,1.0,4.0,de  Dortmund,2.0,2.5,58.0,34598.0,Jesús Navas,3-4-3,Maurizio Mariani,Match Report,
10,2022-10-08,18:30,La Liga,Matchweek 8,Sat,Home,D,1.0,1.0,Athletic Club,1.0,1.7,45.0,36502.0,Joan Jordán,4-2-3-1,Jesús Gil,Match Report,
11,2022-10-11,21:00,Champions Lg,Group stage,Tue,Away,D,1.0,1.0,de  Dortmund,0.8,0.4,48.0,81000.0,Jesús Navas,3-4-3,Srđan Jovanović,Match Report,
12,2022-10-15,18:30,La Liga,Matchweek 9,Sat,Away,W,1.0,0.0,Mallorca,0.2,0.7,56.0,15300.0,Jesús Navas,3-4-3,Javier Villanueva,Match Report,
13,2022-10-18,19:00,La Liga,Matchweek 10,Tue,Home,D,1.0,1.0,Valencia,1.1,1.8,64.0,37353.0,Nemanja Gudelj,5-4-1,César Soto,Match Report,
