player,Attempt,Completed,Sucpct,Totaldist,Progdist,LongPass,LongComp,LongPct,MediPass,MediComp,MediPct,ShortPass,ShortComp,ShortPct,Keypass,Finalthird,Penalty,CrossPena,Progcount
,1475,1331,90.2,22747,6460,144,118,81.9,590,553,93.7,686,628,91.5,23,125,20,0,116
,1553,1327,85.4,21031,6720,134,89,66.4,569,484,85.1,789,733,92.9,27,81,35,6,115
,1252,1022,81.6,16759,5493,166,96,57.8,399,337,84.5,625,565,90.4,40,133,73,6,159
,655,565,86.3,8836,1473,53,46,86.8,217,187,86.2,352,318,90.3,19,33,22,2,45
,1270,1158,91.2,20875,5587,160,127,79.4,534,502,94.0,532,499,93.8,17,126,13,0,100
,844,724,85.8,12263,2190,91,71,78.0,310,274,88.4,391,354,90.5,30,54,22,0,64
,471,426,90.4,11687,7371,190,147,77.4,206,204,99.0,73,73,100.0,0,1,0,0,1
,992,923,93.0,18098,6764,153,123,80.4,472,454,96.2,354,339,95.8,3,96,6,1,67
,701,619,88.3,9078,2590,33,21,63.6,244,222,91.0,389,360,92.5,15,24,15,4,34
,622,567,91.2,11594,2554,103,77,74.8,339,323,95.3,169,160,94.7,0,23,0,0,15
,200,164,82.0,2178,262,13,10,76.9,50,37,74.0,128,114,89.1,5,5,4,0,6
,524,425,81.1,6916,1763,49,34,69.4,186,151,81.2,267,235,88.0,16,26,24,5,46
,626,566,90.4,9774,3116,66,47,71.2,270,251,93.0,275,258,93.8,2,36,5,0,22
,553,519,93.9,10623,2692,78,68,87.2,300,288,96.0,163,154,94.5,1,23,1,0,15
,523,454,86.8,6951,1476,48,29,60.4,179,158,88.3,280,257,91.8,7,40,15,2,44
,549,496,90.3,7596,2377,32,23,71.9,206,192,93.2,291,271,93.1,10,38,10,0,32
,191,170,89.0,3838,2097,58,39,67.2,85,84,98.8,45,45,100.0,0,1,0,0,0
,205,174,84.9,2150,459,5,3,60.0,47,40,85.1,137,122,89.1,9,3,7,0,11
,551,500,90.7,8305,2147,49,35,71.4,230,214,93.0,255,243,95.3,9,40,15,0,46
,256,250,97.7,4820,1368,24,21,87.5,147,146,99.3,84,83,98.8,1,7,0,0,8
,132,118,89.4,1727,481,4,2,50.0,52,48,92.3,69,64,92.8,5,7,1,0,9
,209,167,79.9,2327,467,13,7,53.8,56,48,85.7,119,105,88.2,3,3,6,0,14
,42,38,90.5,725,166,8,8,100.0,15,14,93.3,17,14,82.4,0,2,0,0,6
,40,36,90.0,712,127,7,5,71.4,18,18,100.0,15,13,86.7,0,4,1,0,4
