team,name,age,nation,position,minute,minute90,goal,goal90,assist,assist90,xG,xG90,xA,xA90,npxG,npxG+xA
barcelona,Frenkie de Jong,23,nl NED,MF,"1,698",18.9,3,0.16,3,0.16,2.9,0.15,2.4,0.13,2.9,0.28
barcelona,Jordi Alba,31,es ESP,DF,"1,558",17.3,1,0.06,3,0.17,0.7,0.04,3.8,0.22,0.7,0.26
barcelona,Lionel Messi,33,ar ARG,"FW,MF","1,549",17.2,12,0.70,2,0.12,12.2,0.71,5.3,0.31,9.8,0.87
barcelona,Antoine Griezmann,29,fr FRA,"FW,MF","1,352",15.0,6,0.40,4,0.27,8.2,0.55,2.7,0.18,7.5,0.68
barcelona,Sergio Busquets,32,es ESP,MF,"1,221",13.6,0,0.00,0,0.00,0.0,0.00,1.9,0.14,0.0,0.14
barcelona,Pedri,18,es ESP,MF,"1,279",14.2,2,0.14,2,0.14,2.2,0.15,3.9,0.27,2.2,0.43
barcelona,Marc-André ter Stegen,28,de GER,GK,"1,260",14.0,0,0.00,0,0.00,0.0,0.00,0.0,0.00,0.0,0.00
barcelona,Clément Lenglet,25,fr FRA,DF,"1,164",12.9,1,0.08,0,0.00,0.9,0.07,0.5,0.04,0.9,0.11
barcelona,Sergiño Dest,20,us USA,DF,"1,016",11.3,0,0.00,1,0.09,0.9,0.08,1.7,0.15,0.9,0.23
barcelona,Ronald Araújo,21,uy URU,DF,926,10.3,1,0.10,0,0.00,0.4,0.04,0.0,0.00,0.4,0.04
barcelona,Martin Braithwaite,29,dk DEN,FW,865,9.6,2,0.21,0,0.00,4.7,0.48,0.8,0.09,3.9,0.49
barcelona,Ousmane Dembélé,23,fr FRA,"FW,MF",806,9.0,2,0.22,1,0.11,1.7,0.20,2.0,0.22,1.7,0.42
barcelona,Óscar Mingueza,21,es ESP,DF,785,8.7,0,0.00,1,0.11,0.1,0.02,0.5,0.06,0.1,0.08
barcelona,Gerard Piqué,34,es ESP,DF,691,7.7,0,0.00,0,0.00,0.4,0.05,0.2,0.02,0.4,0.07
barcelona,Philippe Coutinho,28,br BRA,"MF,FW",654,7.3,2,0.28,2,0.28,3.9,0.53,0.9,0.12,3.9,0.65
barcelona,Sergi Roberto,28,es ESP,DF,650,7.2,1,0.14,2,0.28,0.4,0.06,1.6,0.23,0.4,0.29
barcelona,Neto,31,br BRA,GK,540,6.0,0,0.00,0,0.00,0.0,0.00,0.0,0.00,0.0,0.00
barcelona,Ansu Fati,18,es ESP,FW,431,4.8,4,0.84,0,0.00,1.8,0.37,1.4,0.29,1.8,0.66
barcelona,Miralem Pjanić,30,ba BIH,MF,459,5.1,0,0.00,0,0.00,1.1,0.22,0.7,0.15,1.1,0.36
barcelona,Samuel Umtiti,27,fr FRA,DF,292,3.2,0,0.00,0,0.00,0.0,0.00,0.0,0.01,0.0,0.01
barcelona,Junior Firpo,24,es ESP,DF,150,1.7,0,0.00,1,0.60,0.0,0.00,0.7,0.41,0.0,0.41
barcelona,Francisco Trincão,21,pt POR,"FW,MF",329,3.7,0,0.00,1,0.27,1.4,0.39,0.3,0.07,1.4,0.46
barcelona,Carles Aleñá,23,es ESP,MF,48,0.5,0,0.00,0,0.00,0.0,0.04,0.0,0.00,0.0,0.04
barcelona,Riqui Puig,21,es ESP,"MF,DF",28,0.3,1,3.21,0,0.00,0.1,0.46,0.0,0.00,0.1,0.46
barcelona,Konrad De La Fuente,19,us USA,FW,,,,,,,,,,,,
barcelona,Matheus Fernandes,22,br BRA,MF,,,,,,,,,,,,
barcelona,Iñaki,21,es ESP,GK,,,,,,,,,,,,
barcelona,Ilaix Moriba,18,es ESP,MF,,,,,,,,,,,,
barcelona,Rafinha,27,br BRA,MF,,,,,,,,,,,,
barcelona,Santiago Ramos,19,ar ARG,DF,,,,,,,,,,,,
barcelona,Arnau Tenas,19,es ESP,GK,,,,,,,,,,,,
