,Player,Nation_x,Pos_x,Age_x,MP,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xAG_Expected,npxG+xAG_Expected,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,Mis_Dribbles,Dis_Dribbles,Rec_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Marc-André ter Stegen,de  GER,GK,30-184,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,de  GER,GK,30-184,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,de  GER,GK,30-184,12.0,388,445,87.2,9665,6720,77,77,100.0,196,203,96.6,113,163,69.3,0,0.1,0.0,-0.1,1,4,0,0,0,de  GER,GK,30-184,12.0,445,371,74,18,0,0,0,0,0,0,0,0,388,0,0,de  GER,GK,30-184,12.0,4,0.33,4,0,0,0,0,0,1,0.08,1,0,0,0,0,0,de  GER,GK,30-184,12.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1,de  GER,GK,30-184,12.0,469,358,463,6,0,0,469,0,0,,0,1,287,0,de  GER,GK,30-184,12.0,0,0,0,0,0,0,0,1,0,0,0,0,19,3,0,100.0
1,Robert Lewandowski,pl  POL,FW,34-071,12,11,944.0,10.5,13.0,4.0,13.0,0.0,0.0,0.0,0.0,1.24,0.38,1.62,1.24,1.62,9.4,9.4,2.4,11.8,0.89,0.23,1.12,0.89,1.12,pl  POL,FW,34-071,10.5,13,44,26,59.1,4.19,2.48,0.3,0.5,11.6,1,0,0,9.4,9.4,0.21,3.6,3.6,pl  POL,FW,34-071,10.5,195,256,76.2,2772,599,112,135,83.0,58,74,78.4,10,16,62.5,4,2.4,1.5,1.6,15,17,12,2,22,pl  POL,FW,34-071,10.5,256,249,3,0,2,2,7,0,0,0,0,0,195,4,7,pl  POL,FW,34-071,10.5,33,3.15,23,0,1,7,2,0,7,0.67,4,0,0,3,0,0,pl  POL,FW,34-071,10.5,7,4,0,2,5,4,9,44.4,5,5,0,5,0,7,1,0,pl  POL,FW,34-071,10.5,373,1,9,146,222,66,373,10,23,43.5,28,14,319,80,pl  POL,FW,34-071,10.5,0,0,0,16,18,7,7,0,4,0,0,0,16,14,15,48.3
2,Pedri,es  ESP,MF,19-340,12,10,847.0,9.4,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,1.1,1.1,2.1,3.2,0.12,0.22,0.34,0.12,0.34,es  ESP,MF,19-340,9.4,2,8,2,25.0,0.85,0.21,0.25,1.0,21.6,0,0,0,1.1,1.1,0.14,0.9,0.9,es  ESP,MF,19-340,9.4,552,610,90.5,10074,2136,254,267,95.1,215,238,90.3,75,84,89.3,0,2.1,2.5,-2.1,17,67,15,0,53,es  ESP,MF,19-340,9.4,610,585,22,7,13,13,4,6,1,0,0,0,552,3,5,es  ESP,MF,19-340,9.4,38,4.03,38,0,0,0,0,0,7,0.74,7,0,0,0,0,0,es  ESP,MF,19-340,9.4,14,8,3,10,1,5,22,22.7,17,15,0,15,8,22,6,0,es  ESP,MF,19-340,9.4,697,6,71,401,234,17,697,12,22,54.5,16,8,559,29,es  ESP,MF,19-340,9.4,0,0,0,4,18,2,4,8,8,0,0,0,50,0,2,0.0
3,Alejandro Balde,es  ESP,DF,19-013,10,10,788.0,8.8,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.34,0.34,0.0,0.34,0.0,0.0,1.5,1.5,0.01,0.17,0.17,0.01,0.17,es  ESP,DF,19-013,8.8,0,2,0,0.0,0.23,0.0,0.0,,28.8,0,0,0,0.0,0.0,0.02,0.0,0.0,es  ESP,DF,19-013,8.8,514,562,91.5,7598,1303,304,322,94.4,173,183,94.5,27,34,79.4,3,1.5,1.3,1.5,6,36,3,2,9,es  ESP,DF,19-013,8.8,562,486,74,10,0,2,7,64,0,0,0,0,514,2,4,es  ESP,DF,19-013,8.8,16,1.83,15,0,1,0,0,0,3,0.34,3,0,0,0,0,0,es  ESP,DF,19-013,8.8,12,9,7,4,1,7,11,63.6,4,9,1,8,5,17,7,0,es  ESP,DF,19-013,8.8,649,15,133,328,190,13,649,8,16,50.0,13,7,442,19,es  ESP,DF,19-013,8.8,1,0,0,3,10,2,7,5,9,0,0,0,53,4,6,40.0
4,Gavi,es  ESP,MF,18-087,12,9,763.0,8.5,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.12,0.12,0.0,0.12,0.2,0.2,1.5,1.7,0.02,0.17,0.2,0.02,0.2,es  ESP,MF,18-087,8.5,0,5,0,0.0,0.59,0.0,0.0,,18.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,es  ESP,MF,18-087,8.5,363,412,88.1,5150,946,227,242,93.8,107,120,89.2,20,28,71.4,1,1.5,1.5,-0.5,17,35,14,2,24,es  ESP,MF,18-087,8.5,412,399,13,4,3,4,19,6,0,0,0,0,363,0,10,es  ESP,MF,18-087,8.5,33,3.9,26,0,2,0,2,3,2,0.24,1,0,1,0,0,0,es  ESP,MF,18-087,8.5,12,10,2,6,4,6,11,54.5,5,9,1,8,10,22,3,0,es  ESP,MF,18-087,8.5,493,4,37,274,188,24,493,8,16,50.0,20,5,381,45,es  ESP,MF,18-087,8.5,2,0,0,33,14,3,19,10,10,0,0,0,40,9,6,60.0
5,Sergio Busquets,es  ESP,MF,34-107,10,9,749.0,8.3,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.01,0.05,0.06,0.01,0.06,es  ESP,MF,34-107,8.3,0,2,1,50.0,0.24,0.12,0.0,0.0,26.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,es  ESP,MF,34-107,8.3,507,569,89.1,9298,2532,211,232,90.9,226,243,93.0,57,69,82.6,0,0.4,0.7,-0.4,5,57,8,1,55,es  ESP,MF,34-107,8.3,569,547,21,21,5,2,1,0,0,0,0,0,507,1,5,es  ESP,MF,34-107,8.3,20,2.4,19,0,0,0,0,1,1,0.12,1,0,0,0,0,0,es  ESP,MF,34-107,8.3,19,11,5,10,4,8,10,80.0,2,8,2,6,10,29,10,1,es  ESP,MF,34-107,8.3,638,17,117,430,94,7,638,2,3,66.7,10,3,459,6,es  ESP,MF,34-107,8.3,6,1,1,13,16,0,1,10,11,0,0,0,57,21,15,58.3
6,Ousmane Dembélé,fr  FRA,FW,25-169,12,9,722.0,8.0,3.0,5.0,3.0,0.0,0.0,2.0,0.0,0.37,0.62,1.0,0.37,1.0,2.1,2.1,3.2,5.3,0.26,0.4,0.66,0.26,0.66,fr  FRA,FW,25-169,8.0,3,25,9,36.0,3.12,1.12,0.12,0.33,17.7,0,0,0,2.1,2.1,0.08,0.9,0.9,fr  FRA,FW,25-169,8.0,354,448,79.0,5680,1077,210,230,91.3,104,129,80.6,33,57,57.9,5,3.2,3.1,1.8,28,15,21,4,32,fr  FRA,FW,25-169,8.0,448,412,32,2,6,4,47,5,25,9,7,1,354,4,15,fr  FRA,FW,25-169,8.0,45,5.61,32,5,5,2,1,0,9,1.12,6,0,2,1,0,0,fr  FRA,FW,25-169,8.0,10,6,3,3,4,2,8,25.0,6,7,0,7,0,10,2,0,fr  FRA,FW,25-169,8.0,538,1,19,173,356,49,538,15,48,31.3,9,10,439,61,fr  FRA,FW,25-169,8.0,2,0,0,8,5,3,47,0,6,0,0,0,27,2,5,28.6
7,Eric García,es  ESP,DF,21-295,9,8,608.0,6.8,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.15,0.0,0.15,0.15,0.15,1.3,1.3,0.0,1.3,0.19,0.0,0.19,0.19,0.19,es  ESP,DF,21-295,6.8,1,3,1,33.3,0.44,0.15,0.33,1.0,7.0,0,0,0,1.3,1.3,0.42,-0.3,-0.3,es  ESP,DF,21-295,6.8,460,506,90.9,8689,3183,170,179,95.0,238,250,95.2,48,70,68.6,0,0.0,0.1,0.0,0,35,2,0,27,es  ESP,DF,21-295,6.8,506,480,24,18,0,7,0,6,0,0,0,0,460,2,0,es  ESP,DF,21-295,6.8,1,0.15,0,0,0,0,0,1,1,0.15,0,0,0,0,0,1,es  ESP,DF,21-295,6.8,12,7,8,2,2,4,6,66.7,2,12,6,6,9,21,9,1,es  ESP,DF,21-295,6.8,563,50,264,286,18,3,563,0,2,0.0,2,0,415,0,es  ESP,DF,21-295,6.8,2,0,0,11,1,0,0,9,7,0,1,0,39,8,4,66.7
8,Frenkie de Jong,nl  NED,MF,25-172,11,7,720.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,1.4,1.4,0.6,2.0,0.17,0.08,0.25,0.17,0.25,nl  NED,MF,25-172,8.0,1,10,6,60.0,1.25,0.75,0.1,0.17,18.6,0,0,0,1.4,1.4,0.14,-0.4,-0.4,nl  NED,MF,25-172,8.0,525,575,91.3,8363,2608,292,305,95.7,184,199,92.5,38,44,86.4,0,0.6,1.6,-0.6,10,60,17,3,46,nl  NED,MF,25-172,8.0,575,554,19,14,4,4,6,4,0,0,0,0,525,2,7,nl  NED,MF,25-172,8.0,31,3.88,24,0,2,1,1,3,1,0.13,1,0,0,0,0,0,nl  NED,MF,25-172,8.0,20,10,5,11,4,10,13,76.9,3,5,0,5,14,34,3,0,nl  NED,MF,25-172,8.0,643,9,111,378,161,15,643,11,17,64.7,9,10,507,21,nl  NED,MF,25-172,8.0,0,0,0,7,10,1,6,14,10,0,0,0,58,5,2,71.4
9,Jules Koundé,fr  FRA,DF,23-353,7,7,572.0,6.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.0,0.31,0.5,0.5,1.2,1.7,0.08,0.19,0.27,0.08,0.27,fr  FRA,DF,23-353,6.4,0,5,0,0.0,0.79,0.0,0.0,,11.7,0,0,0,0.5,0.5,0.1,-0.5,-0.5,fr  FRA,DF,23-353,6.4,437,477,91.6,7943,2332,185,195,94.9,195,207,94.2,50,63,79.4,2,1.2,0.9,0.8,5,52,5,1,24,fr  FRA,DF,23-353,6.4,477,447,30,13,2,5,6,17,0,0,0,0,437,0,2,fr  FRA,DF,23-353,6.4,12,1.89,12,0,0,0,0,0,3,0.47,3,0,0,0,0,0,fr  FRA,DF,23-353,6.4,7,5,2,4,1,4,4,100.0,0,4,2,2,4,11,5,0,fr  FRA,DF,23-353,6.4,514,23,161,279,75,12,514,1,2,50.0,4,1,384,5,fr  FRA,DF,23-353,6.4,0,0,0,5,1,0,6,4,5,0,0,0,39,9,2,81.8
