,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Memphis Depay,nl  NED,FW,27-238,7,7,629.0,7.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.43,0.14,0.57,0.29,0.43,3.2,2.5,1.5,3.9,0.46,0.21,0.67,0.35,0.56,nl  NED,FW,27-238,7.0,3,21,12,57.1,3.0,1.72,0.1,0.17,18.0,3,1,1,3.2,2.5,0.12,-0.2,-0.5,nl  NED,FW,27-238,7.0,238,324,73.5,3668,1282,152,176,86.4,58,76,76.3,23,55,41.8,1,1.5,-0.5,17,9,17,6,29,nl  NED,FW,27-238,7.0,324,263,61,18,1,50,16,25,30,15,2,1,227,31,66,28,282,3,2,5,238,2,4,14,13,nl  NED,FW,27-238,7.0,32,4.58,17,9,3,1,2,0,6,0.86,3,1,1,0,1,0,nl  NED,FW,27-238,7.0,5,3,1,0,4,0,3,0.0,3,70,28,40.0,6,22,42,5,1,0,4,0,5,1,0,nl  NED,FW,27-238,7.0,444,3,16,165,291,61,386,12,29,41.4,15,0,304,1225,810,58,11,18,39,13,455,346,76.0,85,nl  NED,FW,27-238,7.0,1,0,0,8,22,2,25,0,3,1,0,0,25,7,9,43.8
1,Sergio Busquets,es  ESP,MF,33-085,7,7,605.0,6.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.02,0.0,0.02,es  ESP,MF,33-085,6.7,0,1,0,0.0,0.15,0.0,0.0,,25.3,0,0,0,0.0,0.0,0.02,0.0,0.0,es  ESP,MF,33-085,6.7,495,570,86.8,9712,2634,187,204,91.7,225,249,90.4,73,100,73.0,0,0.1,-0.1,2,62,4,0,48,es  ESP,MF,33-085,6.7,570,551,19,19,0,70,17,1,0,0,0,0,446,52,72,84,464,13,0,4,495,2,9,18,6,es  ESP,MF,33-085,6.7,9,1.34,6,1,0,0,0,2,1,0.15,1,0,0,0,0,0,es  ESP,MF,33-085,6.7,20,16,8,9,3,10,16,62.5,6,103,42,40.8,41,52,10,11,0,0,11,7,27,13,0,es  ESP,MF,33-085,6.7,637,25,154,425,95,2,623,4,4,100.0,4,0,455,1864,1154,48,7,0,2,4,509,496,97.4,12,es  ESP,MF,33-085,6.7,2,0,0,8,16,1,1,7,16,0,0,0,62,9,10,47.4
2,Sergiño Dest,us  USA,DF,20-340,7,6,521.0,5.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.3,0.3,1.5,1.8,0.05,0.26,0.31,0.05,0.31,us  USA,DF,20-340,5.8,0,5,3,60.0,0.86,0.52,0.0,0.0,16.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,us  USA,DF,20-340,5.8,352,405,86.9,5674,1781,195,207,94.2,133,150,88.7,22,36,61.1,1,1.5,-0.5,9,18,10,4,27,us  USA,DF,20-340,5.8,405,344,61,7,1,38,7,26,0,0,0,0,301,54,50,78,264,6,54,0,352,0,5,7,12,us  USA,DF,20-340,5.8,18,3.11,10,1,6,0,1,0,1,0.17,1,0,0,0,0,0,us  USA,DF,20-340,5.8,12,10,7,4,1,8,11,72.7,3,76,31,40.8,30,28,18,11,1,0,10,5,17,7,0,us  USA,DF,20-340,5.8,483,6,113,203,204,26,424,15,28,53.6,15,1,360,2025,1280,66,18,10,14,11,363,338,93.1,32,us  USA,DF,20-340,5.8,0,0,0,7,8,0,26,5,10,0,0,0,46,4,8,33.3
3,Frenkie de Jong,nl  NED,MF,24-150,6,6,494.0,5.5,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.36,0.36,0.0,0.36,0.0,0.0,0.8,0.8,0.01,0.14,0.15,0.01,0.15,nl  NED,MF,24-150,5.5,0,1,0,0.0,0.18,0.0,0.0,,16.6,0,0,0,0.0,0.0,0.05,0.0,0.0,nl  NED,MF,24-150,5.5,353,386,91.5,6516,1537,153,164,93.3,146,158,92.4,47,52,90.4,2,0.8,1.2,8,46,8,1,39,nl  NED,MF,24-150,5.5,386,378,8,6,4,82,6,9,0,0,0,0,320,34,32,22,342,9,2,3,353,1,2,4,6,nl  NED,MF,24-150,5.5,12,2.19,11,0,0,1,0,0,3,0.55,3,0,0,0,0,0,nl  NED,MF,24-150,5.5,11,10,4,5,2,2,6,33.3,4,45,20,44.4,13,22,10,5,2,0,3,9,20,6,0,nl  NED,MF,24-150,5.5,444,11,75,285,124,13,437,7,11,63.6,7,0,340,1951,1087,52,18,0,9,9,371,340,91.6,28,nl  NED,MF,24-150,5.5,2,1,1,3,9,2,9,9,10,0,0,0,58,10,10,50.0
4,Marc-André ter Stegen,de  GER,GK,29-162,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de  GER,GK,29-162,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,de  GER,GK,29-162,5.0,162,192,84.4,4261,2474,23,25,92.0,89,90,98.9,49,76,64.5,0,0.0,0.0,0,0,0,0,2,de  GER,GK,29-162,5.0,192,153,39,6,0,10,1,0,0,0,0,0,138,6,48,39,138,0,0,15,162,1,1,1,1,de  GER,GK,29-162,5.0,1,0.2,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,de  GER,GK,29-162,5.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,de  GER,GK,29-162,5.0,206,163,203,3,0,0,169,0,0,,0,0,108,371,162,0,0,0,0,0,129,129,100.0,0,de  GER,GK,29-162,5.0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,
5,Gerard Piqué,es  ESP,DF,34-249,6,5,406.0,4.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.22,0.0,0.22,0.22,0.22,1.0,1.0,0.0,1.0,0.22,0.0,0.22,0.22,0.22,es  ESP,DF,34-249,4.5,1,4,1,25.0,0.89,0.22,0.25,1.0,6.8,0,0,0,1.0,1.0,0.24,0.0,0.0,es  ESP,DF,34-249,4.5,276,301,91.7,5988,1505,67,73,91.8,166,172,96.5,43,56,76.8,0,0.0,0.0,0,10,0,0,12,es  ESP,DF,34-249,4.5,301,291,10,7,0,28,10,0,0,0,0,0,249,16,36,30,251,8,1,1,276,0,1,5,0,es  ESP,DF,34-249,4.5,2,0.44,2,0,0,0,0,0,1,0.22,1,0,0,0,0,0,es  ESP,DF,34-249,4.5,3,2,2,1,0,2,4,50.0,2,28,9,32.1,14,14,0,3,0,0,3,4,7,31,0,es  ESP,DF,34-249,4.5,345,49,168,184,11,6,335,0,0,,0,0,220,1045,527,14,1,0,0,0,257,244,94.9,0,es  ESP,DF,34-249,4.5,1,0,0,7,2,0,0,4,2,0,0,0,47,17,5,77.3
6,Ronald Araújo,uy  URU,DF,22-216,7,4,438.0,4.9,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.21,0.0,0.21,0.21,0.21,0.3,0.3,0.0,0.3,0.07,0.0,0.07,0.07,0.07,uy  URU,DF,22-216,4.9,1,5,3,60.0,1.03,0.62,0.2,0.33,8.9,0,0,0,0.3,0.3,0.07,0.7,0.7,uy  URU,DF,22-216,4.9,336,353,95.2,6550,1564,96,96,100.0,204,209,97.6,34,46,73.9,0,0.0,0.0,0,19,0,0,13,uy  URU,DF,22-216,4.9,353,340,13,9,0,25,1,1,0,0,0,0,321,12,20,30,308,7,3,0,336,1,1,3,0,uy  URU,DF,22-216,4.9,1,0.21,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,uy  URU,DF,22-216,4.9,5,3,4,1,0,2,4,50.0,2,38,10,26.3,18,19,1,10,3,1,7,8,13,25,1,uy  URU,DF,22-216,4.9,408,59,181,239,15,10,396,1,1,100.0,1,0,298,1771,965,28,3,0,3,1,308,303,98.4,2,uy  URU,DF,22-216,4.9,2,0,0,5,4,0,1,8,3,0,0,0,41,20,6,76.9
7,Eric García,es  ESP,DF,20-273,4,4,351.0,3.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es  ESP,DF,20-273,3.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,es  ESP,DF,20-273,3.9,297,314,94.6,6747,1993,80,82,97.6,152,160,95.0,65,71,91.5,0,0.0,0.0,1,32,1,0,29,es  ESP,DF,20-273,3.9,314,304,10,7,0,23,16,0,0,0,0,0,287,9,18,43,263,3,3,1,297,0,3,7,0,es  ESP,DF,20-273,3.9,4,1.03,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,es  ESP,DF,20-273,3.9,4,2,2,2,0,1,2,50.0,1,36,10,27.8,18,18,0,10,4,0,6,11,15,12,0,es  ESP,DF,20-273,3.9,350,45,144,208,18,0,340,0,0,,0,0,255,1321,726,18,3,0,1,0,280,276,98.6,0,es  ESP,DF,20-273,3.9,1,1,0,9,0,0,0,11,2,0,0,0,25,6,4,60.0
8,Óscar Mingueza,es  ESP,DF,22-149,5,3,300.0,3.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.9,0.08,0.19,0.27,0.08,0.27,es  ESP,DF,22-149,3.3,0,2,1,50.0,0.6,0.3,0.0,0.0,7.6,0,0,0,0.3,0.3,0.14,-0.3,-0.3,es  ESP,DF,22-149,3.3,195,234,83.3,3526,1266,92,101,91.1,82,92,89.1,18,34,52.9,0,0.6,-0.6,5,10,6,4,14,es  ESP,DF,22-149,3.3,234,209,25,3,1,22,4,18,0,0,0,0,173,27,34,31,177,4,22,0,195,0,3,4,5,es  ESP,DF,22-149,3.3,6,1.8,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,es  ESP,DF,22-149,3.3,10,6,6,4,0,7,11,63.6,4,47,20,42.6,22,17,8,9,1,0,8,3,13,8,0,es  ESP,DF,22-149,3.3,268,9,64,134,93,6,243,1,1,100.0,1,0,178,911,511,16,11,0,1,5,198,189,95.5,8,es  ESP,DF,22-149,3.3,1,0,0,3,2,1,18,3,6,0,0,0,22,3,1,75.0
9,Gavi Paez,es  ESP,"MF,FW",17-065,5,3,274.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.33,0.33,0.0,0.33,0.4,0.4,0.5,0.9,0.12,0.16,0.28,0.12,0.28,es  ESP,"MF,FW",17-065,3.0,0,2,1,50.0,0.66,0.33,0.0,0.0,10.6,0,0,0,0.4,0.4,0.19,-0.4,-0.4,es  ESP,"MF,FW",17-065,3.0,196,217,90.3,3102,732,108,114,94.7,64,70,91.4,19,26,73.1,1,0.5,0.5,2,30,2,0,17,es  ESP,"MF,FW",17-065,3.0,217,212,5,2,1,30,1,3,1,0,0,0,188,9,20,24,176,10,2,0,196,0,2,4,2,es  ESP,"MF,FW",17-065,3.0,5,1.64,4,0,0,0,0,1,1,0.33,1,0,0,0,0,0,es  ESP,"MF,FW",17-065,3.0,7,5,3,3,1,2,4,50.0,2,46,8,17.4,12,24,10,9,0,0,9,2,9,3,0,es  ESP,"MF,FW",17-065,3.0,258,1,28,168,87,12,253,4,9,44.4,4,0,206,1166,558,37,11,4,3,7,223,193,86.5,21,es  ESP,"MF,FW",17-065,3.0,2,0,0,6,5,0,3,2,5,0,0,0,35,8,4,66.7
