,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
258,Gaëtan Laborde,fr  FRA,FW,Bordeaux,23,1994,10.6,393,5,29,179,213,63,377,9,25,36.0,13,2,233,1152,593,29,11,7,33,22,498,282,56.6,129
259,Léo Lacroix,ch  SUI,DF,Saint-Étienne,25,1992,8.6,444,68,277,174,20,12,441,3,3,100.0,3,0,249,1616,826,20,2,0,3,0,264,255,96.6,6
260,Alban Lafont,fr  FRA,GK,Toulouse,18,1999,38.0,1202,934,1189,12,5,1,860,0,1,0.0,0,0,512,3218,1968,0,1,0,0,0,389,389,100.0,1
261,Kenny Lala,fr  FRA,DF,Strasbourg,25,1991,30.3,2038,113,762,992,510,14,1731,43,82,52.4,51,1,1317,9505,5821,202,80,6,30,39,1198,1153,96.2,33
262,Ádám Lang,hu  HUN,DF,Dijon,24,1993,2.6,137,14,91,50,3,1,135,0,0,,0,0,90,491,274,6,0,0,1,1,89,87,97.8,1
263,Paul Lasne,fr  FRA,MF,Montpellier,28,1989,34.0,2121,30,386,1319,577,40,2085,22,30,73.3,25,1,1512,8957,4000,180,69,11,31,31,1574,1461,92.8,110
264,Wesley Lautoa,nc  NCL,"DF,MF",Dijon,29,1987,6.9,371,38,189,187,27,4,364,1,2,50.0,1,0,223,1414,662,11,5,0,1,3,227,212,93.4,7
265,Mickaël Le Bihan,fr  FRA,"FW,MF",Nice,27,1990,1.2,65,0,5,35,28,7,65,3,5,60.0,3,0,55,190,84,5,1,1,5,4,74,58,78.4,21
266,Maxime Le Marchand,fr  FRA,DF,Nice,27,1989,28.2,2186,188,998,1082,262,11,2077,15,23,65.2,15,0,1428,7459,4658,151,37,0,9,15,1496,1451,97.0,27
267,James Lea Siliki,cm  CMR,MF,Rennes,21,1996,20.9,988,18,158,574,346,40,962,13,34,38.2,13,2,679,4111,2374,125,45,5,36,33,767,661,86.2,81
268,Benjamin Lecomte,fr  FRA,GK,Montpellier,26,1991,38.0,1087,951,1082,7,0,0,847,1,1,100.0,1,0,560,3871,2058,0,0,0,0,0,408,405,99.3,0
269,Pierre Lees-Melou,fr  FRA,"MF,FW",Nice,24,1993,32.1,1997,63,433,979,752,96,1921,26,42,61.9,29,0,1402,8721,4241,209,68,21,50,33,1608,1416,88.1,204
270,Thomas Lemar,fr  FRA,"MF,FW",Monaco,21,1995,26.4,1584,15,150,823,786,54,1421,62,96,64.6,67,2,1196,8022,4309,225,98,8,41,53,1350,1130,83.7,145
