,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Aymen Abdennour,tn  TUN,DF,Marseille,27,1989,5.6,6,6,5,1,0,4,7,57.1,3,23,8,34.8,17,6,0,6,3,0,3,2,8,8,1
1,Mehdi Abeid,dz  ALG,MF,Dijon,24,1992,13.1,21,14,11,9,1,4,23,17.4,19,206,68,33.0,63,120,23,23,4,0,19,15,36,14,0
2,Khaled Adénon,bj  BEN,DF,Amiens,32,1985,32.5,41,27,27,13,1,9,32,28.1,23,209,78,37.3,148,58,3,50,24,0,26,50,91,166,3
3,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,24,1993,27.3,71,27,33,27,11,28,57,49.1,29,465,131,28.2,243,157,65,57,2,0,55,33,104,54,1
4,Jean-Eudes Aholou,ci  CIV,MF,Strasbourg,23,1994,33.4,59,42,27,27,5,13,40,32.5,27,381,107,28.1,158,193,30,46,8,0,38,71,130,53,3
5,Youssef Aït Bennasser,ma  MAR,MF,Caen,21,1996,22.8,43,28,15,23,5,14,62,22.6,48,504,115,22.8,156,292,56,37,2,0,35,37,80,17,0
6,David Alcibiade,fr  FRA,DF,Nantes,25,1991,2.3,7,1,4,1,2,3,3,100.0,0,13,1,7.7,10,3,0,8,3,1,5,4,11,5,0
7,Júnior Alonso,py  PAR,DF,Lille,24,1993,30.9,50,26,30,19,1,13,43,30.2,30,195,61,31.3,123,66,6,43,16,0,27,42,92,115,1
8,Dani Alves,br  BRA,DF,Paris S-G,34,1983,22.9,73,52,44,22,7,19,45,42.2,26,354,121,34.2,159,123,72,36,3,0,33,28,101,11,0
9,Ibrahim Amadou,fr  FRA,"MF,DF",Lille,24,1993,26.7,43,30,32,11,0,13,37,35.1,24,249,80,32.1,126,113,10,49,17,0,32,31,74,56,1
10,Morgan Amalfitano,fr  FRA,MF,Rennes,32,1985,8.3,3,1,0,3,0,2,3,66.7,1,103,20,19.4,34,47,22,4,0,0,4,8,11,6,0
11,Romain Amalfitano,fr  FRA,MF,Dijon,27,1989,30.0,46,34,14,28,4,11,61,18.0,50,532,139,26.1,182,287,63,43,5,0,38,68,114,21,0
12,Jordan Amavi,fr  FRA,DF,Marseille,23,1994,24.4,44,22,34,7,3,16,44,36.4,28,227,74,32.6,129,72,26,47,8,2,39,49,93,32,2
13,Kelvin Amian,fr  FRA,DF,Toulouse,19,1998,35.0,51,24,41,8,2,17,28,60.7,11,319,104,32.6,205,88,26,54,11,0,43,36,87,82,1
14,Benjamin André,fr  FRA,MF,Rennes,26,1990,33.5,69,50,29,32,8,24,99,24.2,75,620,179,28.9,146,353,121,67,4,0,63,66,135,69,2
15,Yoann Andreu,fr  FRA,DF,Angers,28,1989,23.0,36,25,30,4,2,10,23,43.5,13,201,56,27.9,139,42,20,43,6,0,37,42,78,27,2
16,Houssem Aouar,fr  FRA,"MF,FW",Lyon,19,1998,27.0,49,31,22,23,4,16,46,34.8,30,607,160,26.4,173,308,126,35,2,0,33,45,94,22,0
17,Luiz Araújo,br  BRA,"FW,MF",Lille,21,1996,22.4,30,17,17,10,3,8,41,19.5,33,364,98,26.9,101,193,70,29,1,0,28,6,36,5,0
18,Alphonse Areola,fr  FRA,GK,Paris S-G,24,1993,34.0,0,0,0,0,0,0,2,0.0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2
19,Yoël Armougom,fr  FRA,"MF,DF",Caen,19,1998,1.5,3,2,0,1,2,1,1,100.0,0,13,1,7.7,5,5,3,1,1,0,0,0,3,2,0
20,Benoît Assou-Ekotto,cm  CMR,DF,Metz,33,1984,11.7,15,10,6,8,1,6,15,40.0,9,78,23,29.5,53,21,4,22,4,0,18,33,48,6,0
21,Danilo Avelar,br  BRA,"DF,FW",Amiens,28,1989,19.2,41,23,23,14,4,10,42,23.8,32,215,63,29.3,129,60,26,33,10,1,23,37,78,48,1
22,Durel Avounou,cg  CGO,"MF,DF",Caen,19,1997,7.2,13,5,7,4,2,3,13,23.1,10,163,44,27.0,68,78,17,16,1,0,15,12,25,14,0
23,Chidozie Awaziem,ng  NGA,DF,Nantes,20,1997,16.8,37,22,31,5,1,15,31,48.4,16,109,38,34.9,77,26,6,37,13,1,24,19,56,57,1
24,Karim Azamoum,fr  FRA,MF,Troyes,27,1990,25.3,64,46,33,24,7,13,50,26.0,37,514,119,23.2,205,264,45,41,13,0,28,23,87,43,1
25,Ludovic Baal,gf  GUF,DF,Rennes,31,1986,12.9,33,22,25,4,4,8,28,28.6,20,147,43,29.3,67,60,20,26,2,0,24,16,49,22,0
26,Dylan Bahamboula,cg  CGO,"FW,MF",Dijon,22,1995,0.3,0,0,0,0,0,0,0,,0,4,0,0.0,2,1,1,1,0,0,1,0,0,0,0
27,Farès Bahlouli,fr  FRA,"MF,FW",Lille,22,1995,3.4,7,5,2,3,2,4,7,57.1,3,46,18,39.1,11,20,15,8,0,0,8,0,7,0,0
28,Stéphane Bahoken,cm  CMR,FW,Strasbourg,25,1992,18.5,12,9,4,5,3,3,21,14.3,18,285,69,24.2,28,139,118,25,3,0,22,12,24,0,0
29,Keita Baldé,sn  SEN,"FW,MF",Monaco,22,1995,16.3,12,6,5,5,2,0,7,0.0,7,225,57,25.3,33,97,95,15,3,0,12,4,16,2,0
30,Iván Balliu,al  ALB,DF,Metz,25,1992,21.7,28,13,21,4,3,12,24,50.0,12,254,68,26.8,148,70,36,40,9,1,31,23,51,33,0
31,Fodé Ballo-Touré,sn  SEN,DF,Lille,20,1997,22.8,39,21,21,13,5,17,37,45.9,20,241,73,30.3,123,87,31,39,2,0,37,19,58,31,3
32,Florent Balmont,fr  FRA,MF,Dijon,37,1980,9.6,14,6,5,6,3,3,16,18.8,13,190,56,29.5,54,104,32,16,1,0,15,7,21,1,0
33,Mario Balotelli,it  ITA,FW,Nice,26,1990,25.2,7,4,1,3,3,0,3,0.0,3,217,49,22.6,28,86,103,17,4,0,13,5,12,23,0
34,Abdoulaye Bamba,ci  CIV,DF,Angers,27,1990,17.0,20,9,16,3,1,9,19,47.4,10,140,51,36.4,94,33,13,26,1,0,25,10,30,30,0
35,Jonathan Bamba,fr  FRA,"FW,MF",Saint-Étienne,21,1996,28.6,28,20,14,11,3,9,48,18.8,39,463,111,24.0,106,220,137,40,4,2,36,17,45,5,0
36,Yacine Bammou,ma  MAR,"MF,FW",Nantes,25,1991,8.1,13,5,5,8,0,4,12,33.3,8,174,41,23.6,37,88,49,16,4,0,12,13,26,4,0
37,Sekou Baradji,fr  FRA,MF,Amiens,33,1984,0.1,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,0,0,0,0,0,0,0,0
38,Nicolas Basin,fr  FRA,DF,Metz,19,1998,3.5,8,5,5,2,1,2,4,50.0,2,50,17,34.0,32,13,5,5,2,0,3,8,16,6,0
39,Gil Bastião Dias,pt  POR,FW,Monaco,20,1996,0.1,1,1,0,0,1,0,0,,0,2,1,50.0,0,0,2,0,0,0,0,0,1,0,0
40,Paul Baysse,fr  FRA,DF,Bordeaux,29,1988,6.3,4,3,3,1,0,2,6,33.3,4,46,15,32.6,28,17,1,9,4,0,5,8,12,27,1
41,Hervé Bazile,ht  HAI,"FW,MF",Caen,27,1990,9.8,18,11,7,7,4,4,14,28.6,10,133,36,27.1,30,73,30,28,0,0,28,18,36,6,0
42,Henri Bedimo,cm  CMR,"DF,MF",Marseille,33,1984,0.5,0,0,0,0,0,0,0,,0,7,3,42.9,3,3,1,0,0,0,0,1,1,1,0
43,François Bellugou,fr  FRA,MF,Troyes,30,1987,24.2,48,27,24,19,5,14,45,31.1,31,354,102,28.8,191,139,24,22,6,0,16,38,86,35,0
44,Chaouki Ben Saada,tn  TUN,"FW,MF",Troyes,33,1984,3.8,7,7,5,1,1,1,8,12.5,7,110,24,21.8,37,52,21,5,1,0,4,1,8,2,0
45,Diego Benaglio,ch  SUI,GK,Monaco,33,1983,2.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
46,Nicolas Benezet,fr  FRA,"FW,MF",Guingamp,26,1991,18.3,30,16,14,14,2,6,23,26.1,17,331,113,34.1,69,161,101,11,0,0,11,14,44,2,0
47,Walter Benítez,ar  ARG,GK,Nice,24,1993,28.0,0,0,0,0,0,0,2,0.0,2,1,1,100.0,1,0,0,0,0,0,0,0,0,1,0
48,Ramy Bensebaini,dz  ALG,DF,Rennes,22,1995,26.0,42,19,29,10,3,14,38,36.8,24,237,84,35.4,150,65,22,62,15,0,47,36,78,100,0
49,Yassine Benzia,dz  ALG,"MF,FW",Lille,22,1994,25.4,56,38,17,27,12,16,48,33.3,32,502,131,26.1,91,299,112,36,3,0,33,20,76,6,0
50,Yuri Berchiche,es  ESP,DF,Paris S-G,27,1990,19.1,34,20,19,9,6,15,33,45.5,18,268,103,38.4,125,87,56,38,3,0,35,18,52,25,0
51,Robert Berić,si  SVN,FW,Saint-Étienne,26,1991,11.6,5,4,1,2,2,2,14,14.3,12,245,67,27.3,16,102,127,12,1,0,11,7,12,3,0
52,Kévin Bérigaud,fr  FRA,"MF,FW",Montpellier,29,1988,3.0,4,0,1,1,2,3,6,50.0,3,27,10,37.0,1,11,15,0,0,0,0,1,5,1,0
53,Vincent Bessat,fr  FRA,"DF,MF",Caen,31,1985,17.4,33,19,24,8,1,19,47,40.4,28,275,75,27.3,120,110,45,22,0,0,22,19,52,16,1
54,Quentin Beunardeau,fr  FRA,GK,Metz,23,1994,0.4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
