,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Aymen Abdennour,tn  TUN,DF,Marseille,27,1989,8,6,500,5.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02
1,Mehdi Abeid,dz  ALG,MF,Dijon,24,1992,19,14,1176,13.1,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,1.0,1.0,0.2,1.2,0.08,0.02,0.09,0.08,0.09
2,Khaled Adénon,bj  BEN,DF,Amiens,32,1985,34,32,2921,32.5,0,1,0,0,0,9,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,0.3,0.8,0.02,0.01,0.03,0.02,0.03
3,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,24,1993,31,27,2459,27.3,0,3,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.7,0.7,2.6,3.3,0.03,0.09,0.12,0.03,0.12
4,Jean-Eudes Aholou,ci  CIV,MF,Strasbourg,23,1994,35,35,3006,33.4,5,0,5,0,0,4,0,0.15,0.00,0.15,0.15,0.15,2.9,2.9,0.6,3.6,0.09,0.02,0.11,0.09,0.11
5,Youssef Aït Bennasser,ma  MAR,MF,Caen,21,1996,27,25,2048,22.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.1,1.8,0.03,0.05,0.08,0.03,0.08
6,David Alcibiade,fr  FRA,DF,Nantes,25,1991,3,2,208,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.03,0.08,0.10,0.03,0.10
7,Júnior Alonso,py  PAR,DF,Lille,24,1993,34,30,2782,30.9,2,0,2,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.6,1.4,0.03,0.02,0.05,0.03,0.05
8,Dani Alves,br  BRA,DF,Paris S-G,34,1983,25,23,2065,22.9,1,4,1,0,0,7,1,0.04,0.17,0.22,0.04,0.22,1.4,1.4,5.6,7.0,0.06,0.25,0.31,0.06,0.31
9,Ibrahim Amadou,fr  FRA,"MF,DF",Lille,24,1993,30,30,2405,26.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.5,1.6,0.04,0.02,0.06,0.04,0.06
10,Morgan Amalfitano,fr  FRA,MF,Rennes,32,1985,14,10,747,8.3,0,0,0,0,0,2,3,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.5,1.6,0.13,0.06,0.19,0.13,0.19
11,Romain Amalfitano,fr  FRA,MF,Dijon,27,1989,33,31,2703,30.0,0,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,0.4,0.4,2.0,2.4,0.01,0.07,0.08,0.01,0.08
12,Jordan Amavi,fr  FRA,DF,Marseille,23,1994,27,24,2193,24.4,0,3,0,0,0,7,0,0.00,0.12,0.12,0.00,0.12,0.5,0.5,1.4,1.9,0.02,0.06,0.08,0.02,0.08
13,Kelvin Amian,fr  FRA,DF,Toulouse,19,1998,36,35,3154,35.0,1,1,1,0,0,3,1,0.03,0.03,0.06,0.03,0.06,0.9,0.9,0.9,1.9,0.03,0.03,0.05,0.03,0.05
14,Benjamin André,fr  FRA,MF,Rennes,26,1990,34,34,3012,33.5,3,2,3,0,0,11,2,0.09,0.06,0.15,0.09,0.15,3.7,3.7,1.7,5.4,0.11,0.05,0.16,0.11,0.16
15,Yoann Andreu,fr  FRA,DF,Angers,28,1989,23,23,2070,23.0,1,2,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,0.2,0.2,1.8,2.1,0.01,0.08,0.09,0.01,0.09
16,Houssem Aouar,fr  FRA,"MF,FW",Lyon,19,1998,32,27,2430,27.0,6,4,6,0,0,1,0,0.22,0.15,0.37,0.22,0.37,5.6,5.6,3.9,9.5,0.21,0.15,0.35,0.21,0.35
17,Luiz Araújo,br  BRA,"FW,MF",Lille,21,1996,34,24,2017,22.4,5,2,5,0,0,5,0,0.22,0.09,0.31,0.22,0.31,3.8,3.8,2.3,6.0,0.17,0.10,0.27,0.17,0.27
18,Alphonse Areola,fr  FRA,GK,Paris S-G,24,1993,34,34,3060,34.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
19,Yoël Armougom,fr  FRA,"MF,DF",Caen,19,1998,4,1,139,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03
