,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,Aymen Abdennour,tn  TUN,DF,Marseille,27,1989,5.6,1,0.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1,Mehdi Abeid,dz  ALG,MF,Dijon,24,1992,13.1,15,1.15,11,1,0,2,0,1,1,0.08,1,0,0,0,0,0
2,Khaled Adénon,bj  BEN,DF,Amiens,32,1985,32.5,7,0.22,4,1,0,0,1,1,1,0.03,1,0,0,0,0,0
3,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,24,1993,27.3,60,2.20,45,7,1,3,3,1,6,0.22,5,0,0,1,0,0
4,Jean-Eudes Aholou,ci  CIV,MF,Strasbourg,23,1994,33.4,32,0.96,24,0,0,5,3,0,7,0.21,4,0,0,1,2,0
5,Youssef Aït Bennasser,ma  MAR,MF,Caen,21,1996,22.8,50,2.19,40,1,2,1,5,1,1,0.04,1,0,0,0,0,0
6,David Alcibiade,fr  FRA,DF,Nantes,25,1991,2.3,2,0.87,2,0,0,0,0,0,1,0.43,1,0,0,0,0,0
7,Júnior Alonso,py  PAR,DF,Lille,24,1993,30.9,21,0.68,19,2,0,0,0,0,2,0.06,2,0,0,0,0,0
8,Dani Alves,br  BRA,DF,Paris S-G,34,1983,22.9,84,3.67,72,4,0,7,1,0,12,0.52,12,0,0,0,0,0
9,Ibrahim Amadou,fr  FRA,"MF,DF",Lille,24,1993,26.7,22,0.82,19,0,0,1,2,0,0,0.00,0,0,0,0,0,0
10,Morgan Amalfitano,fr  FRA,MF,Rennes,32,1985,8.3,15,1.81,12,0,0,3,0,0,2,0.24,1,0,0,1,0,0
