,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Aymen Abdennour,tn  TUN,DF,Marseille,27,1989,5.6,3,0,0,7,6,0,0,2,6,0,0,0,57,3,0,100.0
1,Mehdi Abeid,dz  ALG,MF,Dijon,24,1992,13.1,2,0,0,27,17,2,7,15,14,0,0,0,142,3,5,37.5
2,Khaled Adénon,bj  BEN,DF,Amiens,32,1985,32.5,9,0,0,51,40,1,1,50,27,0,1,0,394,23,22,51.1
3,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,24,1993,27.3,2,0,0,28,49,3,83,33,27,0,0,0,211,9,14,39.1
4,Jean-Eudes Aholou,ci  CIV,MF,Strasbourg,23,1994,33.4,4,0,0,43,49,1,1,71,42,0,0,0,405,20,14,58.8
5,Youssef Aït Bennasser,ma  MAR,MF,Caen,21,1996,22.8,4,0,0,24,26,0,9,37,28,0,0,0,298,6,13,31.6
6,David Alcibiade,fr  FRA,DF,Nantes,25,1991,2.3,0,0,0,2,2,1,5,4,1,0,0,0,25,1,1,50.0
7,Júnior Alonso,py  PAR,DF,Lille,24,1993,30.9,3,0,0,29,10,0,6,42,26,0,0,1,420,49,17,74.2
8,Dani Alves,br  BRA,DF,Paris S-G,34,1983,22.9,7,1,0,40,35,4,73,28,52,0,0,0,231,9,8,52.9
9,Ibrahim Amadou,fr  FRA,"MF,DF",Lille,24,1993,26.7,3,0,0,23,19,0,4,31,30,0,1,0,263,16,13,55.2
10,Morgan Amalfitano,fr  FRA,MF,Rennes,32,1985,8.3,2,3,1,8,14,0,15,8,1,0,0,0,57,0,3,0.0
11,Romain Amalfitano,fr  FRA,MF,Dijon,27,1989,30.0,5,0,0,35,52,0,18,68,34,0,0,0,308,6,12,33.3
12,Jordan Amavi,fr  FRA,DF,Marseille,23,1994,24.4,7,0,0,33,22,1,46,49,22,0,1,0,288,19,9,67.9
13,Kelvin Amian,fr  FRA,DF,Toulouse,19,1998,35.0,3,1,0,30,17,0,31,36,24,0,0,0,298,14,18,43.8
14,Benjamin André,fr  FRA,MF,Rennes,26,1990,33.5,11,2,1,67,51,1,21,66,50,0,0,0,448,80,87,47.9
15,Yoann Andreu,fr  FRA,DF,Angers,28,1989,23.0,4,0,0,18,15,0,55,42,25,0,0,0,236,9,16,36.0
16,Houssem Aouar,fr  FRA,"MF,FW",Lyon,19,1998,27.0,1,0,0,21,47,6,17,45,31,0,0,0,229,12,16,42.9
17,Luiz Araújo,br  BRA,"FW,MF",Lille,21,1996,22.4,5,0,0,28,26,6,55,6,17,0,0,0,140,1,5,16.7
18,Alphonse Areola,fr  FRA,GK,Paris S-G,24,1993,34.0,0,0,0,0,2,0,0,0,0,0,0,0,135,0,0,
19,Yoël Armougom,fr  FRA,"MF,DF",Caen,19,1998,1.5,0,0,0,1,2,0,4,0,2,0,0,0,16,2,0,100.0
20,Benoît Assou-Ekotto,cm  CMR,DF,Metz,33,1984,11.7,2,3,1,10,9,1,11,33,10,0,0,0,124,0,4,0.0
21,Danilo Avelar,br  BRA,"DF,FW",Amiens,28,1989,19.2,2,0,0,23,19,1,58,37,23,1,0,0,189,24,14,63.2
22,Durel Avounou,cg  CGO,"MF,DF",Caen,19,1997,7.2,1,0,0,9,5,2,12,12,5,0,0,0,79,1,4,20.0
23,Chidozie Awaziem,ng  NGA,DF,Nantes,20,1997,16.8,2,1,0,19,11,0,2,19,22,0,0,0,193,14,9,60.9
24,Karim Azamoum,fr  FRA,MF,Troyes,27,1990,25.3,5,1,0,55,17,0,34,23,46,0,1,0,269,37,26,58.7
25,Ludovic Baal,gf  GUF,DF,Rennes,31,1986,12.9,0,0,0,11,15,1,22,16,22,0,0,0,150,11,4,73.3
26,Dylan Bahamboula,cg  CGO,"FW,MF",Dijon,22,1995,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,100.0
27,Farès Bahlouli,fr  FRA,"MF,FW",Lille,22,1995,3.4,2,0,0,8,9,3,19,0,5,0,0,0,28,0,1,0.0
28,Stéphane Bahoken,cm  CMR,FW,Strasbourg,25,1992,18.5,5,0,0,39,21,20,22,12,9,0,1,0,70,13,19,40.6
29,Keita Baldé,sn  SEN,"FW,MF",Monaco,22,1995,16.3,3,2,1,23,27,15,30,4,6,0,0,0,87,6,6,50.0
30,Iván Balliu,al  ALB,DF,Metz,25,1992,21.7,6,0,0,23,36,2,37,23,13,0,0,0,210,4,8,33.3
31,Fodé Ballo-Touré,sn  SEN,DF,Lille,20,1997,22.8,5,1,0,30,19,8,35,19,21,0,2,1,203,11,13,45.8
32,Florent Balmont,fr  FRA,MF,Dijon,37,1980,9.6,3,0,0,10,16,0,8,7,6,0,0,0,111,0,1,0.0
33,Mario Balotelli,it  ITA,FW,Nice,26,1990,25.2,11,1,0,57,72,23,12,5,4,1,0,0,66,10,13,43.5
34,Abdoulaye Bamba,ci  CIV,DF,Angers,27,1990,17.0,2,0,0,19,19,2,30,10,9,0,1,0,155,7,4,63.6
35,Jonathan Bamba,fr  FRA,"FW,MF",Saint-Étienne,21,1996,28.6,1,0,0,28,46,20,78,17,20,2,0,0,205,8,22,26.7
36,Yacine Bammou,ma  MAR,"MF,FW",Nantes,25,1991,8.1,2,2,1,18,8,5,14,13,5,0,0,0,68,4,8,33.3
37,Sekou Baradji,fr  FRA,MF,Amiens,33,1984,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
38,Nicolas Basin,fr  FRA,DF,Metz,19,1998,3.5,1,0,0,2,3,0,6,8,5,0,0,0,38,3,2,60.0
39,Gil Bastião Dias,pt  POR,FW,Monaco,20,1996,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
40,Paul Baysse,fr  FRA,DF,Bordeaux,29,1988,6.3,0,1,0,8,1,0,1,8,3,0,0,0,75,10,4,71.4
41,Hervé Bazile,ht  HAI,"FW,MF",Caen,27,1990,9.8,1,0,0,15,16,5,55,18,11,0,0,0,72,2,6,25.0
42,Henri Bedimo,cm  CMR,"DF,MF",Marseille,33,1984,0.5,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,
43,François Bellugou,fr  FRA,MF,Troyes,30,1987,24.2,6,1,0,28,13,0,2,38,27,0,0,0,260,19,18,51.4
44,Chaouki Ben Saada,tn  TUN,"FW,MF",Troyes,33,1984,3.8,3,0,0,8,3,0,7,1,7,0,0,0,36,1,0,100.0
45,Diego Benaglio,ch  SUI,GK,Monaco,33,1983,2.5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,
46,Nicolas Benezet,fr  FRA,"FW,MF",Guingamp,26,1991,18.3,2,0,0,23,41,10,62,14,16,0,0,0,132,5,17,22.7
47,Walter Benítez,ar  ARG,GK,Nice,24,1993,28.0,3,0,0,3,2,0,0,0,0,0,0,0,125,0,0,
48,Ramy Bensebaini,dz  ALG,DF,Rennes,22,1995,26.0,6,0,0,36,40,4,41,36,19,0,1,1,316,33,12,73.3
49,Yassine Benzia,dz  ALG,"MF,FW",Lille,22,1994,25.4,8,0,0,59,55,2,52,20,38,0,0,0,177,5,6,45.5
50,Yuri Berchiche,es  ESP,DF,Paris S-G,27,1990,19.1,4,0,0,18,28,4,48,18,20,0,0,0,175,25,15,62.5
51,Robert Berić,si  SVN,FW,Saint-Étienne,26,1991,11.6,0,0,0,26,21,14,2,7,4,1,0,0,35,2,16,11.1
52,Kévin Bérigaud,fr  FRA,"MF,FW",Montpellier,29,1988,3.0,0,0,0,3,3,0,1,1,0,0,0,0,10,3,3,50.0
53,Vincent Bessat,fr  FRA,"DF,MF",Caen,31,1985,17.4,2,0,0,15,6,2,89,19,19,0,1,0,165,2,12,14.3
54,Quentin Beunardeau,fr  FRA,GK,Metz,23,1994,0.4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
55,Milan Biševac,rs  SRB,DF,Metz,33,1983,7.9,1,0,0,4,3,1,1,2,7,0,1,0,82,2,3,40.0
56,Yves Bissouma,ml  MLI,"MF,DF",Lille,20,1996,17.4,3,0,0,33,13,4,7,38,37,0,0,0,195,8,4,66.7
57,Ludovic Blas,fr  FRA,MF,Guingamp,19,1997,19.9,3,2,1,27,34,4,12,21,16,0,0,0,194,9,16,36.0
58,Jérémy Blayac,fr  FRA,"FW,MF",Strasbourg,34,1983,10.2,2,0,0,11,23,16,9,2,3,1,0,0,37,42,27,60.9
59,Alexis Blin,fr  FRA,MF,Toulouse,20,1996,21.0,5,0,0,29,39,0,12,32,21,1,1,0,226,11,19,36.7
60,Yann Bodiger,fr  FRA,"MF,FW",Toulouse,22,1995,2.5,0,0,0,4,3,0,3,4,1,0,0,0,24,4,0,100.0
61,Mathieu Bodmer,fr  FRA,"DF,MF",Amiens,34,1982,4.4,2,0,0,7,3,0,1,4,2,0,0,0,49,3,7,30.0
62,Quentin Boisgard,fr  FRA,"MF,FW",Toulouse,20,1997,2.0,1,0,0,4,3,1,3,0,1,0,0,0,20,1,1,50.0
63,Landry Bonnefoi,fr  FRA,GK,Strasbourg,33,1983,3.0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,
64,Gabriel Boschilia,br  BRA,"FW,MF",Monaco,21,1996,0.9,0,0,0,1,2,0,2,0,2,0,0,0,9,0,1,0.0
65,Jean-Christophe Bouet,fr  FRA,GK,Amiens,34,1983,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
