,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Aymen Abdennour,tn  TUN,DF,Marseille,27,1989,5.6,336,335,1,1,0,38,9,0,0,0,0,0,285,24,27,294,20,17,0,2,304,1,6,2,4
1,Mehdi Abeid,dz  ALG,MF,Dijon,24,1992,13.1,611,598,13,8,0,78,20,7,1,0,0,0,494,45,72,47,520,36,4,1,519,1,16,15,10
2,Khaled Adénon,bj  BEN,DF,Amiens,32,1985,32.5,1168,1124,44,43,1,141,28,1,0,0,0,0,817,94,257,220,792,137,1,3,958,3,35,14,16
3,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,24,1993,27.3,1478,1191,287,8,0,212,29,83,0,0,0,0,855,201,422,77,1046,72,279,1,1114,11,35,50,55
4,Jean-Eudes Aholou,ci  CIV,MF,Strasbourg,23,1994,33.4,1346,1335,11,10,1,214,34,1,0,0,0,0,1074,90,182,965,267,93,1,2,1147,3,24,23,25
5,Youssef Aït Bennasser,ma  MAR,MF,Caen,21,1996,22.8,1145,1130,15,10,3,202,59,9,2,0,0,0,871,67,207,166,897,71,1,4,938,3,28,24,25
6,David Alcibiade,fr  FRA,DF,Nantes,25,1991,2.3,94,75,19,2,0,10,3,5,0,0,0,0,41,14,39,7,59,9,17,1,69,0,2,1,0
7,Júnior Alonso,py  PAR,DF,Lille,24,1993,30.9,1875,1816,59,33,3,253,54,6,1,0,0,0,1283,128,464,1305,362,139,25,4,1495,4,43,32,24
8,Dani Alves,br  BRA,DF,Paris S-G,34,1983,22.9,1987,1848,139,15,6,376,73,73,5,0,0,0,1405,218,364,184,1622,48,118,7,1686,8,29,54,40
9,Ibrahim Amadou,fr  FRA,"MF,DF",Lille,24,1993,26.7,1539,1528,11,11,4,223,60,4,0,0,0,0,1255,70,214,140,1321,61,0,2,1339,4,34,25,18
10,Morgan Amalfitano,fr  FRA,MF,Rennes,32,1985,8.3,260,248,12,6,3,70,7,15,0,0,0,0,194,16,50,22,222,11,5,0,207,0,6,5,4
11,Romain Amalfitano,fr  FRA,MF,Dijon,27,1989,30.0,1400,1377,23,12,2,232,83,18,2,0,0,0,984,82,334,102,1224,60,7,1,1129,5,34,31,30
12,Jordan Amavi,fr  FRA,DF,Marseille,23,1994,24.4,1324,1155,169,7,2,177,25,46,0,0,0,0,863,121,340,709,356,77,162,3,1050,5,26,17,46
13,Kelvin Amian,fr  FRA,DF,Toulouse,19,1998,35.0,1252,998,254,24,0,244,25,31,2,0,0,0,724,166,362,171,758,82,228,1,962,4,35,37,37
14,Benjamin André,fr  FRA,MF,Rennes,26,1990,33.5,1866,1836,30,17,2,358,54,21,0,0,0,0,1265,194,407,229,1364,180,11,8,1453,11,58,44,44
15,Yoann Andreu,fr  FRA,DF,Angers,28,1989,23.0,1176,965,211,8,0,191,23,55,2,0,0,0,690,135,351,342,550,72,201,5,910,3,29,28,33
16,Houssem Aouar,fr  FRA,"MF,FW",Lyon,19,1998,27.0,1538,1513,25,16,5,220,28,17,7,0,0,0,1308,89,141,96,1381,47,2,1,1312,3,25,35,31
17,Luiz Araújo,br  BRA,"FW,MF",Lille,21,1996,22.4,757,724,33,7,2,149,46,55,19,0,0,0,571,51,135,601,133,13,7,2,533,4,13,24,40
18,Alphonse Areola,fr  FRA,GK,Paris S-G,24,1993,34.0,584,489,95,15,0,54,8,0,0,0,0,0,458,24,102,60,428,3,0,91,524,0,8,4,0
19,Yoël Armougom,fr  FRA,"MF,DF",Caen,19,1998,1.5,81,57,24,0,0,13,3,4,1,0,0,0,33,18,30,39,11,6,23,1,48,0,4,3,9
20,Benoît Assou-Ekotto,cm  CMR,DF,Metz,33,1984,11.7,606,504,102,17,0,85,25,11,0,0,0,0,281,83,242,472,21,22,85,6,436,4,16,21,13
21,Danilo Avelar,br  BRA,"DF,FW",Amiens,28,1989,19.2,840,696,144,15,0,123,17,58,0,0,0,0,394,68,378,545,50,90,129,3,535,4,20,11,22
22,Durel Avounou,cg  CGO,"MF,DF",Caen,19,1997,7.2,268,238,30,0,0,36,7,12,0,0,0,0,151,35,82,153,56,28,30,0,179,0,9,8,8
23,Chidozie Awaziem,ng  NGA,DF,Nantes,20,1997,16.8,635,570,65,23,0,66,12,2,0,0,0,0,359,43,233,72,443,65,42,4,461,4,13,11,9
24,Karim Azamoum,fr  FRA,MF,Troyes,27,1990,25.3,953,905,48,19,2,200,20,34,25,0,0,0,634,89,230,99,709,100,3,7,664,4,40,24,36
25,Ludovic Baal,gf  GUF,DF,Rennes,31,1986,12.9,820,687,133,14,1,118,8,22,0,0,0,0,516,106,198,600,46,49,119,0,625,3,14,35,18
26,Dylan Bahamboula,cg  CGO,"FW,MF",Dijon,22,1995,0.3,14,14,0,0,0,2,0,0,0,0,0,0,9,1,4,2,9,2,0,0,10,0,1,1,0
27,Farès Bahlouli,fr  FRA,"MF,FW",Lille,22,1995,3.4,156,130,26,8,0,34,10,19,18,0,0,0,98,11,47,30,121,4,0,1,103,1,2,3,4
28,Stéphane Bahoken,cm  CMR,FW,Strasbourg,25,1992,18.5,328,313,15,0,0,64,5,22,1,0,0,0,219,40,69,42,241,24,4,5,222,0,10,9,26
29,Keita Baldé,sn  SEN,"FW,MF",Monaco,22,1995,16.3,392,384,8,0,4,152,8,30,0,0,0,0,287,41,64,75,283,17,5,7,269,2,13,12,29
