,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Ismael Aaneba,fr  FRA,MF,Strasbourg,18,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
1,Aymen Abdennour,tn  TUN,DF,Marseille,27,1989,8,500,63,14.6,5.6,6,,4,2,,18,2.38,10,4,+6,+1.08,+0.25,11.1,4.2,+6.9,+1.24,+0.54
2,Mehdi Abeid,dz  ALG,MF,Dijon,24,1992,19,1176,62,34.4,13.1,14,,9,5,,1,1.58,18,25,-7,-0.54,-0.09,14.2,22.4,-8.2,-0.63,+0.10
3,Karim Achahbar,ma  MAR,FW,Guingamp,21,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
4,Khaled Adénon,bj  BEN,DF,Amiens,32,1985,34,2921,86,85.4,32.5,32,,32,2,,2,1.26,32,37,-5,-0.15,-0.15,29.0,50.2,-21.2,-0.65,-0.84
5,Raphaël Adiceam,fr  FRA,GK,Amiens,27,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,
6,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,24,1993,31,2459,79,71.9,27.3,27,,25,4,,3,1.45,30,20,+10,+0.37,+1.02,32.1,27.3,+4.8,+0.17,+0.56
7,Matteo Ahlinvi,bj  BEN,MF,Guingamp,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
8,Jean-Eudes Aholou,ci  CIV,MF,Strasbourg,23,1994,35,3006,86,87.9,33.4,35,,30,0,,0,1.09,41,58,-17,-0.51,+0.80,40.4,50.1,-9.7,-0.29,-0.15
9,Youssef Aït Bennasser,ma  MAR,MF,Caen,21,1996,27,2048,76,59.9,22.8,25,,16,2,,0,1.22,17,28,-11,-0.48,+0.43,22.6,28.3,-5.7,-0.25,-0.19
10,Rayan Aït Nouri,fr  FRA,DF,Angers,16,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
11,David Alcibiade,fr  FRA,DF,Nantes,25,1991,3,208,69,6.1,2.3,2,,2,1,,6,2.33,3,2,+1,+0.43,+0.60,3.2,1.8,+1.4,+0.62,+0.60
12,Bobby Allain,fr  FRA,GK,Dijon,25,1991,0,,,,,0,,0,0,,4,,,,,,,,,,,
13,Júnior Alonso,py  PAR,DF,Lille,24,1993,34,2782,82,81.3,30.9,30,,28,4,,3,0.91,31,53,-22,-0.71,-0.15,26.4,46.3,-19.9,-0.64,-0.77
14,Dani Alves,br  BRA,DF,Paris S-G,34,1983,25,2065,83,60.4,22.9,23,,21,2,,7,2.60,65,17,+48,+2.09,+0.03,53.9,18.6,+35.3,+1.54,+0.10
15,Ibrahim Amadou,fr  FRA,"MF,DF",Lille,24,1993,30,2405,80,70.3,26.7,30,,22,0,,0,1.00,29,44,-15,-0.56,+0.41,21.6,39.0,-17.4,-0.65,-0.51
16,Morgan Amalfitano,fr  FRA,MF,Rennes,32,1985,14,747,53,21.8,8.3,10,,2,4,,3,0.71,8,16,-8,-0.96,-1.44,8.9,17.1,-8.2,-0.99,-1.13
17,Romain Amalfitano,fr  FRA,MF,Dijon,27,1989,33,2703,82,79.0,30.0,31,,26,2,,0,1.33,47,55,-8,-0.27,+0.99,33.3,52.6,-19.3,-0.64,+0.23
18,Jordan Amavi,fr  FRA,DF,Marseille,23,1994,27,2193,81,64.1,24.4,24,,22,3,,2,1.89,49,31,+18,+0.74,-0.36,42.4,27.7,+14.7,+0.60,-0.47
19,Kelvin Amian,fr  FRA,DF,Toulouse,19,1998,36,3154,88,92.2,35.0,35,,33,1,,0,1.03,34,47,-13,-0.37,+0.64,40.9,47.7,-6.8,-0.19,-0.03
20,Yanis Ammour,fr  FRA,FW,Montpellier,18,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
21,Benjamin André,fr  FRA,MF,Rennes,26,1990,34,3012,89,88.1,33.5,34,,29,0,,0,1.59,45,37,+8,+0.24,+0.68,42.1,44.0,-1.9,-0.06,+0.43
