,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Aymen Abdennour,tn  TUN,DF,Marseille,27,1989,5.6,304,336,90.5,6306,1794,90,99,90.9,166,174,95.4,45,56,80.4,0,0.0,0.0,0,11,0,0,7
1,Mehdi Abeid,dz  ALG,MF,Dijon,24,1992,13.1,519,611,84.9,10250,2390,177,196,90.3,250,281,89.0,81,109,74.3,1,0.2,+0.8,6,48,2,0,47
2,Khaled Adénon,bj  BEN,DF,Amiens,32,1985,32.5,958,1168,82.0,21066,7904,254,295,86.1,503,565,89.0,189,278,68.0,1,0.3,+0.7,3,39,1,0,44
3,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,24,1993,27.3,1114,1478,75.4,18488,8970,558,631,88.4,428,564,75.9,99,215,46.0,3,2.6,+0.4,31,90,30,20,125
4,Jean-Eudes Aholou,ci  CIV,MF,Strasbourg,23,1994,33.4,1147,1346,85.2,22056,4826,440,498,88.4,500,552,90.6,178,239,74.5,0,0.6,-0.6,11,97,9,0,91
5,Youssef Aït Bennasser,ma  MAR,MF,Caen,21,1996,22.8,938,1145,81.9,20285,5737,303,337,89.9,420,491,85.5,198,279,71.0,0,1.1,-1.1,16,135,6,1,129
6,David Alcibiade,fr  FRA,DF,Nantes,25,1991,2.3,69,94,73.4,1326,645,28,30,93.3,27,34,79.4,12,28,42.9,0,0.2,-0.2,2,5,2,1,9
7,Júnior Alonso,py  PAR,DF,Lille,24,1993,30.9,1495,1875,79.7,34187,14235,366,425,86.1,797,904,88.2,324,515,62.9,0,0.6,-0.6,9,101,6,2,100
8,Dani Alves,br  BRA,DF,Paris S-G,34,1983,22.9,1686,1987,84.9,27933,11149,919,997,92.2,530,618,85.8,186,284,65.5,4,5.6,-1.6,48,139,63,20,176
9,Ibrahim Amadou,fr  FRA,"MF,DF",Lille,24,1993,26.7,1339,1539,87.0,29082,8432,372,417,89.2,699,749,93.3,251,342,73.4,0,0.5,-0.5,11,118,3,1,104
10,Morgan Amalfitano,fr  FRA,MF,Rennes,32,1985,8.3,207,260,79.6,3038,894,116,128,90.6,72,84,85.7,11,34,32.4,0,0.5,-0.5,5,16,5,0,22
11,Romain Amalfitano,fr  FRA,MF,Dijon,27,1989,30.0,1129,1400,80.6,24954,6440,346,403,85.9,545,604,90.2,222,345,64.3,1,2.0,-1.0,26,138,25,5,121
12,Jordan Amavi,fr  FRA,DF,Marseille,23,1994,24.4,1050,1324,79.3,19323,6392,432,493,87.6,480,569,84.4,124,215,57.7,3,1.4,+1.6,19,65,21,13,72
13,Kelvin Amian,fr  FRA,DF,Toulouse,19,1998,35.0,962,1252,76.8,17603,7531,410,470,87.2,414,506,81.8,113,210,53.8,1,0.9,+0.1,11,80,18,10,74
14,Benjamin André,fr  FRA,MF,Rennes,26,1990,33.5,1453,1866,77.9,24773,5877,702,850,82.6,569,694,82.0,136,225,60.4,2,1.7,+0.3,28,150,23,5,148
15,Yoann Andreu,fr  FRA,DF,Angers,28,1989,23.0,910,1176,77.4,15622,7141,429,480,89.4,375,458,81.9,84,189,44.4,2,1.8,+0.2,19,67,19,15,94
16,Houssem Aouar,fr  FRA,"MF,FW",Lyon,19,1998,27.0,1312,1538,85.3,22771,5695,567,626,90.6,556,637,87.3,143,192,74.5,4,3.9,+0.1,35,138,20,1,138
17,Luiz Araújo,br  BRA,"FW,MF",Lille,21,1996,22.4,533,757,70.4,10652,2688,218,284,76.8,214,286,74.8,91,148,61.5,2,2.3,-0.3,26,43,30,12,60
18,Alphonse Areola,fr  FRA,GK,Paris S-G,24,1993,34.0,524,584,89.7,11967,6058,118,120,98.3,308,311,99.0,94,148,63.5,0,0.0,0.0,0,1,0,0,0
19,Yoël Armougom,fr  FRA,"MF,DF",Caen,19,1998,1.5,48,81,59.3,780,428,24,36,66.7,21,30,70.0,3,10,30.0,0,0.0,0.0,1,2,3,1,6
20,Benoît Assou-Ekotto,cm  CMR,DF,Metz,33,1984,11.7,436,606,71.9,10200,5030,133,149,89.3,189,241,78.4,110,202,54.5,0,0.3,-0.3,8,57,7,4,50
21,Danilo Avelar,br  BRA,"DF,FW",Amiens,28,1989,19.2,535,840,63.7,10542,6072,207,245,84.5,228,337,67.7,89,225,39.6,0,1.9,-1.9,14,56,18,9,88
22,Durel Avounou,cg  CGO,"MF,DF",Caen,19,1997,7.2,179,268,66.8,3071,1067,80,103,77.7,73,102,71.6,17,45,37.8,0,0.7,-0.7,5,14,1,0,17
23,Chidozie Awaziem,ng  NGA,DF,Nantes,20,1997,16.8,461,635,72.6,9971,4682,140,158,88.6,233,279,83.5,84,182,46.2,0,0.2,-0.2,3,38,3,1,45
24,Karim Azamoum,fr  FRA,MF,Troyes,27,1990,25.3,664,953,69.7,11079,3333,318,405,78.5,237,318,74.5,75,151,49.7,0,2.0,-2.0,24,60,10,4,69
25,Ludovic Baal,gf  GUF,DF,Rennes,31,1986,12.9,625,820,76.2,11127,5941,270,313,86.3,290,353,82.2,58,134,43.3,1,0.6,+0.4,7,77,8,2,91
26,Dylan Bahamboula,cg  CGO,"FW,MF",Dijon,22,1995,0.3,10,14,71.4,146,39,7,8,87.5,2,5,40.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1
27,Farès Bahlouli,fr  FRA,"MF,FW",Lille,22,1995,3.4,103,156,66.0,2058,714,44,55,80.0,35,52,67.3,21,41,51.2,0,0.9,-0.9,10,11,5,3,9
28,Stéphane Bahoken,cm  CMR,FW,Strasbourg,25,1992,18.5,222,328,67.7,3398,759,119,146,81.5,70,98,71.4,20,38,52.6,1,1.3,-0.3,13,7,18,7,22
29,Keita Baldé,sn  SEN,"FW,MF",Monaco,22,1995,16.3,269,392,68.6,4021,794,152,198,76.8,97,135,71.9,12,25,48.0,5,1.8,+3.2,15,9,11,5,24
30,Iván Balliu,al  ALB,DF,Metz,25,1992,21.7,878,1175,74.7,16075,7774,374,425,88.0,387,481,80.5,99,217,45.6,1,1.0,0.0,12,85,27,5,115
31,Fodé Ballo-Touré,sn  SEN,DF,Lille,20,1997,22.8,946,1150,82.3,14186,5424,514,568,90.5,360,438,82.2,43,76,56.6,0,0.4,-0.4,8,57,13,6,70
32,Florent Balmont,fr  FRA,MF,Dijon,37,1980,9.6,416,506,82.2,7321,2036,179,196,91.3,179,207,86.5,42,81,51.9,2,1.2,+0.8,7,38,8,2,50
33,Mario Balotelli,it  ITA,FW,Nice,26,1990,25.2,568,760,74.7,9903,2039,292,359,81.3,178,226,78.8,81,130,62.3,1,4.0,-3.0,33,70,15,1,57
34,Abdoulaye Bamba,ci  CIV,DF,Angers,27,1990,17.0,621,810,76.7,10272,4933,294,326,90.2,287,348,82.5,33,104,31.7,0,0.3,-0.3,6,43,5,2,51
35,Jonathan Bamba,fr  FRA,"FW,MF",Saint-Étienne,21,1996,28.6,874,1185,73.8,14408,3399,431,523,82.4,325,409,79.5,85,173,49.1,6,5.9,+0.1,51,63,31,7,81
36,Yacine Bammou,ma  MAR,"MF,FW",Nantes,25,1991,8.1,189,257,73.5,2951,817,101,119,84.9,64,84,76.2,15,31,48.4,0,0.2,-0.2,6,9,9,2,14
37,Sekou Baradji,fr  FRA,MF,Amiens,33,1984,0.1,2,5,40.0,24,0,1,3,33.3,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
38,Nicolas Basin,fr  FRA,DF,Metz,19,1998,3.5,109,161,67.7,2029,883,42,51,82.4,56,76,73.7,11,32,34.4,0,0.1,-0.1,2,5,3,2,11
39,Gil Bastião Dias,pt  POR,FW,Monaco,20,1996,0.1,1,1,100.0,8,5,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
