,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
0,Aymen Abdennour,tn  TUN,DF,Marseille,27,1989,5.6,0,2,1,50.0,0.36,0.18,0.00,0.00,11.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
1,Mehdi Abeid,dz  ALG,MF,Dijon,24,1992,13.1,0,21,6,28.6,1.61,0.46,0.00,0.00,24.7,2,0,0,1.0,1.0,0.05,-1.0,-1.0
2,Khaled Adénon,bj  BEN,DF,Amiens,32,1985,32.5,0,5,1,20.0,0.15,0.03,0.00,0.00,6.3,0,0,0,0.5,0.5,0.10,-0.5,-0.5
3,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,24,1993,27.3,0,15,5,33.3,0.55,0.18,0.00,0.00,17.9,0,0,0,0.7,0.7,0.05,-0.7,-0.7
4,Jean-Eudes Aholou,ci  CIV,MF,Strasbourg,23,1994,33.4,5,44,7,15.9,1.32,0.21,0.11,0.71,21.4,0,0,0,2.9,2.9,0.07,+2.1,+2.1
5,Youssef Aït Bennasser,ma  MAR,MF,Caen,21,1996,22.8,0,24,3,12.5,1.05,0.13,0.00,0.00,29.9,0,0,0,0.7,0.7,0.03,-0.7,-0.7
6,David Alcibiade,fr  FRA,DF,Nantes,25,1991,2.3,0,2,0,0.0,0.87,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
7,Júnior Alonso,py  PAR,DF,Lille,24,1993,30.9,2,16,4,25.0,0.52,0.13,0.13,0.50,14.6,0,0,0,0.9,0.9,0.05,+1.1,+1.1
8,Dani Alves,br  BRA,DF,Paris S-G,34,1983,22.9,1,30,6,20.0,1.31,0.26,0.03,0.17,25.5,9,0,0,1.4,1.4,0.05,-0.4,-0.4
9,Ibrahim Amadou,fr  FRA,"MF,DF",Lille,24,1993,26.7,0,19,3,15.8,0.71,0.11,0.00,0.00,18.6,0,0,0,1.1,1.1,0.06,-1.1,-1.1
