,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Deyverson,14.0,br  BRA,FW,29-176,56,0,0,0,0,0,0,2,0.0,2,12,1,8.3,2,5,5,0,0,0,0,1,1,1,0
1,Joselu,9.0,es  ESP,FW,30-218,34,2,2,2,0,0,0,0,,0,11,1,9.1,3,2,6,2,1,0,1,0,2,0,0
2,Luis Rioja,11.0,es  ESP,LM,27-015,71,2,1,1,0,1,1,2,50.0,1,11,2,18.2,4,5,2,0,0,0,0,0,2,2,0
3,Manu García,19.0,es  ESP,LM,34-188,19,3,2,3,0,0,1,3,33.3,2,15,4,26.7,10,2,3,1,0,0,1,2,5,1,0
4,Jota,24.0,es  ESP,CM,29-137,61,2,2,2,0,0,0,1,0.0,1,25,5,20.0,6,16,3,1,0,0,1,0,2,1,0
5,Tomás Pina Isla,8.0,es  ESP,CM,33-017,71,1,0,0,1,0,1,4,25.0,3,25,6,24.0,11,10,4,3,0,0,3,1,2,4,0
6,Adrián Marín,17.0,es  ESP,CM,23-296,19,0,0,0,0,0,0,0,,0,5,1,20.0,3,1,1,1,0,0,1,0,0,1,0
7,Édgar Méndez,16.0,es  ESP,RM,30-303,57,1,0,1,0,0,1,1,100.0,0,16,4,25.0,4,7,5,0,0,0,0,0,1,0,0
8,Tomás Tavares,37.0,pt  POR,RM,19-238,33,1,1,1,0,0,1,2,50.0,1,11,1,9.1,9,0,2,0,0,0,0,0,1,1,0
9,Rodrigo Battaglia,6.0,ar  ARG,DM,29-111,90,3,1,2,1,0,0,2,0.0,2,34,12,35.3,24,10,0,4,3,0,1,1,4,0,0
10,Rubén Duarte,3.0,es  ESP,LB,25-013,90,3,3,1,1,1,2,6,33.3,4,22,6,27.3,12,9,1,4,0,0,4,3,6,5,0
11,Florian Lejeune,22.0,fr  FRA,CB,29-164,90,1,1,1,0,0,0,2,0.0,2,22,8,36.4,19,3,0,7,3,0,4,0,1,4,0
12,Víctor Laguardia,5.0,es  ESP,CB,30-361,90,1,1,1,0,0,1,3,33.3,2,4,3,75.0,3,1,0,2,2,0,0,0,1,5,0
13,Ximo Navarro,23.0,es  ESP,RB,30-282,40,4,3,3,1,0,1,1,100.0,0,5,2,40.0,4,1,0,0,0,0,0,0,4,2,0
14,Martin Agirregabiria,21.0,es  ESP,RB,24-174,50,0,0,0,0,0,0,2,0.0,2,4,2,50.0,4,0,0,0,0,0,0,2,2,4,0
15,Fernando Pacheco,1.0,es  ESP,GK,28-166,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
16,16 Players,,,,,961,24,17,18,4,2,9,31,29.0,22,222,58,26.1,118,72,32,25,9,0,16,10,34,31,0
