,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,17,Édgar Méndez,Alavés,Saved,17.0,Right Foot,,Luis Rioja,Pass (Live),Deyverson,Pass (Live)
1,31,Luis Rioja,Alavés,Goal,2.0,Left Foot,Open goal,Luis Rioja,Tackle,,
2,36,Frenkie de Jong,Barcelona,Off Target,7.0,Head,,Sergi Roberto,Pass (Live),Sergio Busquets,Pass (Live)
3,45,Florian Lejeune,Alavés,Off Target,35.0,Right Foot,Free kick,Luis Rioja,Fouled,Édgar Méndez,Fouled
4,,,,,,,,,,,
5,69,Joselu,Alavés,Saved,13.0,Head,,Rubén Duarte,Pass (Live),Luis Rioja,Pass (Live)
