,Possession_Alavés,Possession_Barcelona
0,21%,79%
1,Passing Accuracy,Passing Accuracy
2,154 of 238 —  65%,89%  — 784 of 880
3,Shots on Target,Shots on Target
4,3 of 4 —  75%,32%  — 8 of 25
5,Saves,Saves
6,7 of 8 —  87%,66%  — 2 of 3
7,Cards,Cards
8,,
