,Alavés (4-1-4-1),Alavés (4-1-4-1).1
0,1,Fernando Pacheco
1,3,Rubén Duarte
2,5,Víctor Laguardia
3,6,Rodrigo Battaglia
4,8,Tomás Pina Isla
5,11,Luis Rioja
6,14,Deyverson
7,16,Édgar Méndez
8,22,Florian Lejeune
9,23,Ximo Navarro
10,24,Jota
11,Bench,Bench
12,13,Antonio Sivera
13,2,Tachi
14,4,Rodrigo Ely
15,7,Lucas Pérez
16,9,Joselu
17,10,John Guidetti
18,17,Adrián Marín
19,18,Burgui
20,19,Manu García
21,21,Martin Agirregabiria
22,29,Borja Sainz
23,37,Tomás Tavares
