,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Deyverson,14.0,br  BRA,FW,29-176,56,1,0,0,2,0,0,1,1,0,0,0,0,4,3,4,42.9
1,Joselu,9.0,es  ESP,FW,30-218,34,0,0,0,2,0,0,0,0,2,0,0,0,4,4,1,80.0
2,Luis Rioja,11.0,es  ESP,LM,27-015,71,0,0,0,0,2,0,2,0,1,0,0,0,6,0,1,0.0
3,Manu García,19.0,es  ESP,LM,34-188,19,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,
4,Jota,24.0,es  ESP,CM,29-137,61,2,1,1,1,0,0,0,0,2,0,0,0,6,1,0,100.0
5,Tomás Pina Isla,8.0,es  ESP,CM,33-017,71,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,
6,Adrián Marín,17.0,es  ESP,CM,23-296,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
7,Édgar Méndez,16.0,es  ESP,RM,30-303,57,0,0,0,2,3,1,0,0,0,0,0,0,4,1,0,100.0
8,Tomás Tavares,37.0,pt  POR,RM,19-238,33,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100.0
9,Rodrigo Battaglia,6.0,ar  ARG,DM,29-111,90,0,0,0,1,1,0,0,1,1,0,0,0,12,0,1,0.0
10,Rubén Duarte,3.0,es  ESP,LB,25-013,90,1,0,0,7,0,0,2,3,3,0,0,0,6,1,0,100.0
11,Florian Lejeune,22.0,fr  FRA,CB,29-164,90,0,0,0,3,0,0,0,0,1,0,0,0,6,0,0,
12,Víctor Laguardia,5.0,es  ESP,CB,30-361,90,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,
13,Ximo Navarro,23.0,es  ESP,RB,30-282,40,0,0,0,0,0,0,0,0,3,0,0,0,3,0,2,0.0
14,Martin Agirregabiria,21.0,es  ESP,RB,24-174,50,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
15,Fernando Pacheco,1.0,es  ESP,GK,28-166,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16,16 Players,,,,,961,4,1,1,19,6,1,5,10,17,0,0,0,71,11,9,55.0
