,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Antoine Griezmann,7.0,fr  FRA,FW,29-224,90,4,4,2,2,0,1,2,50.0,1,12,6,50.0,2,6,4,0,0,0,0,0,4,3,0
1,Ansu Fati,22.0,es  ESP,LW,18-000,77,1,0,0,1,0,0,0,,0,9,2,22.2,1,4,4,1,0,0,1,1,2,0,0
2,Martin Braithwaite,9.0,dk  DEN,LW,29-148,13,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3,Ousmane Dembélé,11.0,fr  FRA,RW,23-169,45,0,0,0,0,0,0,0,,0,2,0,0.0,0,0,2,0,0,0,0,0,0,0,0
4,Francisco Trincão,17.0,pt  POR,RW,20-307,45,0,0,0,0,0,0,0,,0,5,2,40.0,1,2,2,0,0,0,0,0,0,0,0
5,Lionel Messi,10.0,ar  ARG,AM,33-129,90,2,2,0,0,2,0,0,,0,5,4,80.0,0,1,4,0,0,0,0,0,2,0,0
6,Frenkie de Jong,21.0,nl  NED,"DM,CB",23-172,90,1,1,0,1,0,0,0,,0,5,3,60.0,0,4,1,1,0,0,1,0,1,0,0
7,Sergio Busquets,5.0,es  ESP,DM,32-107,45,0,0,0,0,0,0,2,0.0,2,9,4,44.4,0,6,3,1,0,0,1,0,0,0,0
8,Miralem Pjanić,8.0,ba  BIH,DM,30-212,45,1,1,0,1,0,0,0,,0,4,2,50.0,0,3,1,1,0,0,1,0,1,0,0
9,Jordi Alba,18.0,es  ESP,LB,31-224,68,1,0,0,1,0,0,1,0.0,1,10,1,10.0,1,9,0,1,0,0,1,1,2,0,0
10,Sergiño Dest,2.0,us  USA,LB,19-363,22,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
11,Clément Lenglet,15.0,fr  FRA,CB,25-136,45,3,2,2,1,0,1,1,100.0,0,5,3,60.0,2,3,0,0,0,0,0,0,3,2,0
12,Pedri,16.0,es  ESP,DM,17-341,45,1,1,0,0,1,0,0,,0,11,5,45.5,0,4,7,2,0,0,2,1,2,0,0
13,Gerard Piqué,3.0,es  ESP,CB,33-272,90,2,1,2,0,0,2,2,100.0,0,6,4,66.7,0,5,1,0,0,0,0,1,3,2,0
14,Sergi Roberto,20.0,es  ESP,RB,28-267,90,3,2,1,1,1,1,1,100.0,0,2,2,100.0,0,1,1,0,0,0,0,0,3,1,0
15,Neto,13.0,br  BRA,GK,31-104,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1
16,16 Players,,,,,990,19,14,7,8,4,5,9,55.6,4,85,38,44.7,7,48,30,7,0,0,7,4,23,8,1
